crypto,roi,roi_perc,predictor,start_date,end_date,prob_buy,prob_sell,lookahead
ETH,3203.37,2.75,BiffPredictor,2019-01-01,2019-09-30,1,1,1
ETH,3203.37,2.75,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,1
ETH,2246.67,1.94,BiffPredictor,2019-01-01,2019-09-30,1,1,2
ETH,3005.39,2.59,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,2
ETH,1879.35,1.63,BiffPredictor,2019-01-01,2019-09-30,1,1,3
ETH,2819.77,2.44,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,3
ETH,1548.44,1.35,BiffPredictor,2019-01-01,2019-09-30,1,1,4
ETH,2188.82,1.9,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,4
ETH,1289.94,1.13,BiffPredictor,2019-01-01,2019-09-30,1,1,5
ETH,2445.93,2.14,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,5
BTC,3761.54,3.23,BiffPredictor,2019-01-01,2019-09-30,1,1,1
BTC,3761.54,3.23,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,1
BTC,2851.73,2.46,BiffPredictor,2019-01-01,2019-09-30,1,1,2
BTC,3903.38,3.36,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,2
BTC,2200.64,1.91,BiffPredictor,2019-01-01,2019-09-30,1,1,3
BTC,3612.18,3.13,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,3
BTC,1545.17,1.34,BiffPredictor,2019-01-01,2019-09-30,1,1,4
BTC,3409.21,2.96,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,4
BTC,1921.1,1.68,BiffPredictor,2019-01-01,2019-09-30,1,1,5
BTC,3065.4,2.68,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,5
XRP,-13.67,-0.01,BiffPredictor,2019-01-01,2019-09-30,1,1,1
XRP,-13.67,-0.01,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,1
XRP,17.75,0.02,BiffPredictor,2019-01-01,2019-09-30,1,1,2
XRP,55.03,0.05,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,2
XRP,91.15,0.08,BiffPredictor,2019-01-01,2019-09-30,1,1,3
XRP,84.38,0.07,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,3
XRP,62.22,0.05,BiffPredictor,2019-01-01,2019-09-30,1,1,4
XRP,84.79,0.07,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,4
XRP,119.17,0.1,BiffPredictor,2019-01-01,2019-09-30,1,1,5
XRP,109.18,0.1,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,5
LTC,4472.7,3.84,BiffPredictor,2019-01-01,2019-09-30,1,1,1
LTC,4472.7,3.84,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,1
LTC,3562.04,3.07,BiffPredictor,2019-01-01,2019-09-30,1,1,2
LTC,4556.14,3.93,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,2
LTC,1578.59,1.37,BiffPredictor,2019-01-01,2019-09-30,1,1,3
LTC,4275.41,3.7,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,3
LTC,1269.45,1.1,BiffPredictor,2019-01-01,2019-09-30,1,1,4
LTC,2747.03,2.39,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,4
LTC,1280.91,1.12,BiffPredictor,2019-01-01,2019-09-30,1,1,5
LTC,2983.6,2.61,BiffPredictorSmart,2019-01-01,2019-09-30,1,1,5
