Date	Open	High	Low	Close	Volume	Market Cap
2019-10-01	180.21	185.05	175.81	177.34	7676276225	19148222892
2019-10-02	177.22	180.83	175.33	180.71	6335595250	19514521236
2019-10-03	180.7	180.8	172.6	175.2	6381403725	18921747814
2019-10-04	175.24	178.55	173.56	176.99	6248928449	19116991692
2019-10-05	176.95	177.71	173.07	176.35	5837211771	19050956367
2019-10-06	176.36	177.36	171.3	173.06	5852890674	18697637484
2019-10-07	172.94	182.36	171.53	181.19	7844316834	19578142143
2019-10-08	181.11	184.36	179.13	182.02	7466282780	19670825764
2019-10-09	182.04	194.3	180.67	193.29	9088122101	20891536595
2019-10-10	193.19	193.9	188.31	191.66	8375913276	20717535747
2019-10-11	191.8	195.32	181.66	182.57	9128522970	19737401838
2019-10-12	182.53	186.3	179.98	180.83	7494328840	19551368532
2019-10-13	180.86	185.08	180.32	182.08	6733182273	19688808994
2019-10-14	182.03	187.3	181.66	186.96	7276520699	20219637357
2019-10-15	186.98	187.76	179.46	181.41	7731456579	19621350993
2019-10-16	181.34	181.67	174.06	176.01	7691244590	19040429002
2019-10-17	175.91	178.9	174.57	178.03	6737237423	19260755682
2019-10-18	177.99	178.18	171.01	173.62	7566257807	18786275035
2019-10-19	173.65	175.61	172.22	172.91	6551453871	18711940303
2019-10-20	172.97	176.72	171.21	175.53	6801091120	18997957789
2019-10-21	175.52	177.74	173.29	174.92	6815820627	18933882640
2019-10-22	174.91	175.65	172.27	172.3	6990951966	18652588580
2019-10-23	172.26	172.42	157.46	162.4	9624925919	17583244177
2019-10-24	162.51	164.15	160.89	162.17	7300917537	17560021218
2019-10-25	162.19	183.0	161.97	181.52	10358594018	19658140299
2019-10-26	181.67	195.94	176.13	179.84	13831784986	19477741705
2019-10-27	179.93	188.16	177.68	184.24	10815941952	19957408085
2019-10-28	184.4	187.88	180.25	182.66	10406734124	19788729316
2019-10-29	182.67	191.85	182.36	190.34	10622761958	20623205054
2019-10-30	190.34	191.11	181.55	184.69	10484902804	20013431227
2019-10-31	184.8	188.75	180.07	183.97	9607939606	19937256794
2019-11-01	183.8	185.06	181.09	183.97	9145611130	19940014311
2019-11-02	184.02	185.71	182.8	183.93	8087991830	19937622287
2019-11-03	183.99	185.02	179.82	182.43	8760247744	19777347724
2019-11-04	182.32	188.02	181.82	186.36	10551917945	20205859402
2019-11-05	186.31	191.26	184.33	189.3	10024177342	20528094420
2019-11-06	189.11	193.55	188.67	191.59	10156458684	20778894603
2019-11-07	191.5	191.86	186.57	187.98	9081247799	20389037934
2019-11-08	187.92	188.82	182.54	184.21	9176780911	19983058356
2019-11-09	184.31	185.84	183.9	185.03	7277418704	20074095541
2019-11-10	184.94	190.92	184.69	189.48	8752784211	20559121065
2019-11-11	189.5	190.34	185.09	185.49	7877424106	20128792760
2019-11-12	185.56	187.95	184.19	186.84	7792186666	20278071676
2019-11-13	186.94	189.33	185.94	188.26	7343173596	20434064781
2019-11-14	188.27	188.63	184.99	186.0	7872664470	20191206220
2019-11-15	186.06	186.25	179.38	180.52	8815678477	19598770324
2019-11-16	180.5	184.16	179.99	183.35	6789888120	19908020821
2019-11-17	183.35	188.19	182.34	185.12	7364325471	20102654601
2019-11-18	185.04	186.93	179.18	180.56	7787662111	19609782345
2019-11-19	180.5	182.53	175.2	177.46	7536699743	19274876583
2019-11-20	177.42	178.99	175.29	175.7	7205785149	19086228092
2019-11-21	175.67	176.21	159.37	161.46	8546371325	17541867626
2019-11-22	161.51	163.03	142.34	150.27	12020749863	16327536038
2019-11-23	150.21	154.1	147.6	153.42	8289198330	16671705910
2019-11-24	153.43	153.97	142.83	142.83	7782769098	15523459920
2019-11-25	142.7	150.21	133.8	146.48	10962753356	15921080564
2019-11-26	146.4	150.0	145.22	148.97	7648516297	16193326033
2019-11-27	148.4	154.89	143.53	153.01	8778095308	16634910472
2019-11-28	153.07	156.61	151.09	151.72	7346531960	16496129470
2019-11-29	151.77	156.85	151.46	155.3	7503898278	16887922522
2019-11-30	155.29	156.69	151.23	152.54	6565950868	16589132426
2019-12-01	152.49	152.49	147.07	151.19	7102780298	16443650814
2019-12-02	151.18	152.12	147.61	149.06	6670561362	16214125032
2019-12-03	149.06	150.31	146.0	147.96	6204379850	16095928402
2019-12-04	147.92	150.68	145.0	146.75	7865937094	15966157442
2019-12-05	146.69	153.16	145.46	149.25	6745910228	16240052430
2019-12-06	149.4	149.67	147.61	149.19	6458766441	16235876301
2019-12-07	149.2	149.8	148.37	148.77	5911233284	16191247024
2019-12-08	148.74	152.39	148.31	151.26	6441727252	16464729150
2019-12-09	151.22	151.91	147.62	148.23	6744206747	16135631420
2019-12-10	148.18	148.56	144.91	146.27	6859512025	15924221614
2019-12-11	146.32	147.14	143.05	143.61	7037180049	15636405555
2019-12-12	143.62	145.75	141.44	145.6	7890383413	15855473988
2019-12-13	145.66	145.86	143.75	144.94	7264810247	15785338920
2019-12-14	144.95	145.53	142.43	142.87	7048066973	15560820323
2019-12-15	142.86	143.93	139.43	143.11	7235153411	15589117504
2019-12-16	143.14	143.22	132.46	133.61	8992282119	14555616655
2019-12-17	133.65	134.01	121.4	122.6	9057166141	13357486656
2019-12-18	122.66	133.39	119.78	133.09	11864518321	14501554620
2019-12-19	133.05	134.19	125.97	129.32	9564699140	14092012421
2019-12-20	129.38	129.76	126.99	129.07	8173594150	14065549620
2019-12-21	129.1	129.15	127.61	128.13	7449064703	13964992761
2019-12-22	128.1	133.16	127.93	132.37	9121058481	14428651183
2019-12-23	132.31	134.73	127.42	128.61	9622497693	14020312860
