Date	Open	High	Low	Close	Volume	Market Cap
Feb 13, 2020	81.23	83.69	78.58	80.40	6,579,062,946	5,151,873,617
Feb 12, 2020	76.49	82.27	76.45	81.30	5,701,884,854	5,208,558,724
Feb 11, 2020	74.35	76.63	72.85	76.60	4,742,120,918	4,906,933,361
Feb 10, 2020	77.14	77.56	73.12	74.34	5,373,709,984	4,761,554,712
Feb 09, 2020	76.45	78.20	75.69	77.09	5,145,711,108	4,937,660,994
Feb 08, 2020	74.40	77.42	72.14	76.47	5,496,860,399	4,897,092,475
Feb 07, 2020	73.47	74.96	73.22	74.36	5,051,951,258	4,761,261,677
Feb 06, 2020	72.53	74.66	71.11	73.39	5,463,272,394	4,698,795,737
Feb 05, 2020	68.11	73.18	67.88	72.49	5,169,585,841	4,640,906,808
Feb 04, 2020	69.77	70.33	66.90	68.20	4,449,652,117	4,365,253,454
Feb 03, 2020	69.99	72.39	68.97	69.78	4,965,069,690	4,466,102,181
Feb 02, 2020	70.80	73.25	68.13	70.23	5,482,993,030	4,494,447,999
Feb 01, 2020	67.91	72.28	67.66	70.82	6,009,767,449	4,531,596,557
Jan 31, 2020	68.18	69.38	65.79	67.88	5,718,104,791	4,342,918,713
Jan 30, 2020	60.01	69.74	58.78	68.16	6,042,169,957	4,360,322,858
Jan 29, 2020	60.66	62.25	59.78	60.08	3,894,445,882	3,842,950,242
Jan 28, 2020	58.77	61.15	57.76	60.67	4,220,742,210	3,880,511,637
Jan 27, 2020	56.28	59.58	56.08	58.76	3,832,184,228	3,758,010,753
Jan 26, 2020	53.69	56.48	53.30	56.21	3,283,750,798	3,594,505,100
Jan 25, 2020	54.56	54.56	52.77	53.70	2,938,756,558	3,433,273,431
Jan 24, 2020	54.64	55.42	51.36	54.53	3,532,776,556	3,486,182,447
Jan 23, 2020	58.35	58.48	53.39	54.63	3,348,002,983	3,492,096,602
Jan 22, 2020	57.64	58.99	57.32	58.35	3,076,205,980	3,729,779,086
Jan 21, 2020	57.23	57.96	56.27	57.65	3,130,143,642	3,684,221,719
Jan 20, 2020	57.78	58.09	56.23	57.20	3,306,438,947	3,655,443,935
Jan 19, 2020	59.45	61.79	56.18	57.80	4,197,776,579	3,693,201,722
Jan 18, 2020	61.30	62.17	58.53	59.41	4,426,051,530	3,795,493,154
Jan 17, 2020	57.64	62.89	56.90	61.49	5,067,456,613	3,927,821,846
Jan 16, 2020	58.05	58.30	55.15	57.62	4,347,723,835	3,680,300,934
Jan 15, 2020	58.39	59.92	56.17	58.05	5,070,738,793	3,707,655,223
Jan 14, 2020	49.70	59.88	49.69	58.48	5,729,547,956	3,734,400,000
Jan 13, 2020	51.12	51.39	48.93	49.73	3,336,204,744	3,175,647,876
Jan 12, 2020	49.32	51.30	49.01	51.08	3,858,852,964	3,261,300,810
Jan 11, 2020	48.63	51.33	48.09	49.26	3,915,781,115	3,144,901,794
Jan 10, 2020	45.21	49.17	44.03	48.73	3,808,140,302	3,110,300,142
Jan 09, 2020	45.62	45.78	44.31	45.22	2,986,327,757	2,885,860,528
Jan 08, 2020	46.45	48.20	44.63	45.65	3,633,957,130	2,913,485,629
Jan 07, 2020	45.84	46.86	44.72	46.42	3,611,521,907	2,962,310,517
Jan 06, 2020	43.60	45.96	43.49	45.82	3,349,237,768	2,923,126,044
Jan 05, 2020	43.29	44.73	43.00	43.55	3,017,148,033	2,778,396,525
Jan 04, 2020	42.38	43.34	41.93	43.33	2,843,192,897	2,763,617,782
Jan 03, 2020	39.86	42.45	39.45	42.42	3,260,961,326	2,705,193,552
Jan 02, 2020	42.02	42.13	39.68	39.82	2,759,827,139	2,539,554,281
Jan 01, 2020	41.33	42.29	41.29	42.02	2,782,992,323	2,679,229,284
Dec 31, 2019	42.77	43.06	41.17	41.34	3,015,923,778	2,635,704,909
Dec 30, 2019	43.75	44.60	42.43	42.75	3,330,795,171	2,725,146,760
Dec 29, 2019	42.80	44.45	42.44	43.67	3,573,796,558	2,783,708,412
Dec 28, 2019	41.17	43.81	41.13	42.84	3,260,638,656	2,730,585,594
Dec 27, 2019	40.26	41.65	39.96	41.18	2,949,759,036	2,624,203,892
Dec 26, 2019	40.61	41.37	39.81	40.27	2,848,923,906	2,565,795,345
Dec 25, 2019	40.73	40.76	39.88	40.63	2,773,383,486	2,588,660,479
Dec 24, 2019	40.86	41.68	40.22	40.68	2,860,933,776	2,591,459,879
Dec 23, 2019	41.95	42.55	40.72	40.85	3,163,414,128	2,601,950,200
Dec 22, 2019	40.01	42.25	39.95	41.97	3,141,032,976	2,672,823,095
Dec 21, 2019	40.30	40.34	39.74	40.00	2,655,178,488	2,547,148,313
Dec 20, 2019	39.94	40.59	39.67	40.29	2,778,859,161	2,565,522,972
Dec 19, 2019	40.79	41.12	39.07	39.92	3,173,676,635	2,541,689,077
Dec 18, 2019	37.12	41.10	36.67	40.78	3,845,534,650	2,596,036,805
Dec 17, 2019	40.36	40.42	36.93	37.08	3,283,924,746	2,360,532,950
Dec 16, 2019	43.78	43.87	40.05	40.37	3,046,141,449	2,569,728,492
Dec 15, 2019	43.85	44.31	42.76	43.76	2,668,105,124	2,784,724,201
Dec 14, 2019	44.45	44.66	43.52	43.72	2,721,787,991	2,791,200,748
Dec 13, 2019	44.01	44.50	43.71	44.45	2,766,557,274	2,837,399,801
Dec 12, 2019	43.92	44.28	43.50	44.08	2,740,797,932	2,813,611,017
Dec 11, 2019	44.61	44.93	43.72	43.95	2,507,211,954	2,804,621,325
Dec 10, 2019	45.01	45.10	44.11	44.64	2,349,745,528	2,848,915,169
Dec 09, 2019	45.90	46.07	44.71	44.94	2,473,452,708	2,867,412,869
Dec 08, 2019	45.68	46.51	45.45	45.95	2,266,427,857	2,931,804,622
Dec 07, 2019	45.67	46.21	45.40	45.64	2,380,335,463	2,911,520,839
Dec 06, 2019	45.29	45.70	44.75	45.67	2,585,078,804	2,913,078,062
Dec 05, 2019	45.14	46.75	44.36	45.30	2,818,768,679	2,889,242,709
Dec 04, 2019	45.40	46.54	44.58	45.19	2,951,880,019	2,882,011,362
Dec 03, 2019	45.78	46.62	44.76	45.38	2,557,212,174	2,893,726,010
Dec 02, 2019	47.65	47.81	45.32	45.82	2,680,452,035	2,921,144,389
Dec 01, 2019	47.46	48.30	46.24	47.71	2,781,413,686	3,041,545,709
Nov 30, 2019	48.91	49.28	47.09	47.48	2,678,481,167	3,026,175,357
Nov 29, 2019	47.09	49.32	47.09	48.88	2,944,492,393	3,115,330,867
Nov 28, 2019	48.00	48.55	47.02	47.06	2,662,459,127	2,998,875,250
Nov 27, 2019	47.16	48.52	45.44	48.01	2,979,663,352	3,059,223,170
Nov 26, 2019	45.81	47.54	45.66	47.27	2,659,405,400	3,012,041,642
Nov 25, 2019	44.77	47.27	42.96	45.83	3,408,224,795	2,919,784,838
Nov 24, 2019	48.71	48.78	44.73	44.73	2,709,705,879	2,849,656,912
Nov 23, 2019	47.62	48.71	46.78	48.71	2,746,902,870	3,104,760,987
Nov 22, 2019	50.88	51.39	44.89	47.62	3,734,545,939	3,034,882,008
Nov 21, 2019	55.28	55.44	50.15	50.88	3,158,748,317	3,242,806,030
Nov 20, 2019	55.63	56.66	55.09	55.29	2,858,714,058	3,523,320,531
Nov 19, 2019	56.80	57.59	54.94	55.62	3,030,389,859	3,544,160,660
Nov 18, 2019	59.57	60.08	55.86	56.80	3,131,873,188	3,618,749,968
Nov 17, 2019	58.60	60.67	58.34	59.57	3,215,100,478	3,794,900,734
Nov 16, 2019	57.79	59.18	57.47	58.57	2,841,793,395	3,730,285,758
Nov 15, 2019	59.48	60.47	57.54	57.81	3,195,878,562	3,681,894,624
Nov 14, 2019	61.08	61.22	59.42	59.43	3,040,274,519	3,784,543,703
Nov 13, 2019	61.37	62.06	60.87	61.11	3,094,050,321	3,891,188,361
Nov 12, 2019	61.93	62.47	60.69	61.34	3,333,604,208	3,905,317,178
Nov 11, 2019	63.78	64.34	61.37	61.90	3,033,016,472	3,940,458,193
Nov 10, 2019	61.90	64.60	61.81	63.84	3,611,586,094	4,063,643,936
Nov 09, 2019	60.49	62.15	60.38	61.95	2,849,228,741	3,943,126,748
Nov 08, 2019	61.88	62.45	59.51	60.53	3,414,910,991	3,852,007,191
Nov 07, 2019	64.24	64.41	61.08	61.84	3,557,191,963	3,935,124,153
Nov 06, 2019	63.35	64.27	62.96	64.27	3,755,244,863	4,088,991,803
Nov 05, 2019	61.58	64.00	61.32	63.30	4,725,921,529	4,027,051,778
Nov 04, 2019	58.60	62.18	58.38	61.57	4,164,854,559	3,916,584,191
Nov 03, 2019	58.59	58.97	57.64	58.63	3,259,935,586	3,728,676,102
Nov 02, 2019	58.58	59.33	58.22	58.60	3,353,942,166	3,726,483,415
Nov 01, 2019	58.75	58.75	57.72	58.58	3,425,154,368	3,725,245,520
Oct 31, 2019	58.36	60.08	57.69	58.78	3,165,801,278	3,737,406,895
Oct 30, 2019	59.87	60.89	57.60	58.42	3,387,114,095	3,714,109,861
Oct 29, 2019	58.05	60.66	58.05	59.87	3,582,210,705	3,805,805,251
Oct 28, 2019	59.92	61.91	57.67	58.13	3,793,848,576	3,694,652,651
Oct 27, 2019	56.80	61.87	55.92	59.91	4,218,140,032	3,807,830,063
Oct 26, 2019	56.95	61.73	54.73	56.78	5,234,627,157	3,607,985,867
Oct 25, 2019	50.11	57.32	49.61	56.94	3,770,902,916	3,618,037,380
Oct 24, 2019	49.68	50.47	49.02	50.07	2,650,862,714	3,181,078,150
Oct 23, 2019	53.75	53.82	48.50	49.63	3,077,488,277	3,152,820,838
Oct 22, 2019	54.93	55.29	53.64	53.74	2,490,194,232	3,413,955,637
Oct 21, 2019	54.92	55.56	54.02	54.94	2,727,253,951	3,489,419,289
Oct 20, 2019	54.06	55.44	53.22	54.93	2,612,273,453	3,488,800,281
Oct 19, 2019	53.47	54.46	53.07	54.03	2,453,091,268	3,431,292,105
Oct 18, 2019	54.93	55.04	52.79	53.49	2,683,486,531	3,396,445,202
Oct 17, 2019	52.90	55.13	52.35	54.88	2,925,315,824	3,484,535,289
Oct 16, 2019	54.99	55.55	52.17	52.92	2,978,803,244	3,359,652,970
Oct 15, 2019	57.01	57.37	54.71	54.94	2,602,960,066	3,487,585,899
Oct 14, 2019	56.72	57.33	56.48	56.98	2,243,495,397	3,616,122,089
Oct 13, 2019	55.94	57.73	55.88	56.71	2,235,957,909	3,599,137,699
Oct 12, 2019	56.40	56.93	55.74	55.98	2,098,404,880	3,552,381,331
Oct 11, 2019	57.77	58.24	56.00	56.30	2,441,054,545	3,571,918,357
Oct 10, 2019	59.40	59.41	57.43	57.78	2,440,262,585	3,665,380,676
Oct 09, 2019	57.42	59.93	56.98	59.43	2,790,624,239	3,769,908,817
Oct 08, 2019	57.79	58.32	57.01	57.40	2,417,116,506	3,640,571,611
Oct 07, 2019	55.34	58.65	54.45	57.79	2,891,486,029	3,664,860,552
Oct 06, 2019	56.84	56.94	54.59	55.41	2,381,501,439	3,513,746,874
Oct 05, 2019	56.81	57.43	55.89	56.84	2,063,875,681	3,604,148,251
Oct 04, 2019	56.52	57.52	56.04	56.85	2,292,624,175	3,604,329,719
Oct 03, 2019	56.53	56.91	54.84	56.55	2,221,643,896	3,584,521,184
Oct 02, 2019	56.01	56.89	55.60	56.51	2,113,331,224	3,581,752,017
Oct 01, 2019	56.09	57.57	55.51	56.06	2,325,767,310	3,552,792,224
