date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2016-01-30,-1.0433488531387722,-1.0450866126037603,-1.0474194515563675,-1.048080094541159,-1.0498102017616295,-1.0519798640650844,-1.0461491148849211,-1.0488197477676626,-1.0517037906394808,-1.053089105731891,-1.0544820296734425,-1.0591941236552376,-1.0615161370718478,-1.0635292961605765,-1.0816400232422192,-1.0773210211492126,-1.0801649784898264,-1.0804734499040733,-1.083777708199995,-1.0752389955172714,-1.0792798623058866,-1.0878132137352488,-1.088120774390175,-1.0858239200019153,-1.0902804097279737,-1.0918167611950653,-1.0927512246789055,-1.0980866021204254,-1.0999483368699783,-1.1019100517076545,0
2016-01-31,-1.0435741153449685,-1.0459545504217513,-1.0466403826707367,-1.048365789310842,-1.0505304340082042,-1.0446695791205274,-1.0473661968915562,-1.050238235407915,-1.0516079166942311,-1.0529781340312703,-1.0576941987912747,-1.0600309413668283,-1.0620351754738402,-1.0801477974938718,-1.0757961060567034,-1.0786399403208542,-1.078939567928217,-1.0822393317551562,-1.0736984137839325,-1.0777455081202532,-1.0862594626021909,-1.0865568225369657,-1.0842318953439771,-1.088647210293996,-1.0901749042454363,-1.09110828733403,-1.0964399605767143,-1.0982926809970976,-1.100252478465713,-1.10429587595601,1
2016-02-01,-1.0444422607014314,-1.0451751776872287,-1.0469262098917635,-1.0490863469157945,-1.0432169177921093,-1.0458871179399043,-1.0487852842104959,-1.0501423234322396,-1.0514969047576264,-1.0561912691810527,-1.058531278969548,-1.0605501716336585,-1.0786595219609585,-1.0743018530266728,-1.0771154565975092,-1.0774141509380497,-1.0807059708322206,-1.0721572028959834,-1.0762056634178683,-1.0847270382089995,-1.0850027826784774,-1.082667035387081,-1.0870556033852734,-1.0885417136816584,-1.0894665102912575,-1.094796371121262,-1.0966460071323139,-1.0985967729980408,-1.10263785346036,-1.1032173526656577,1
2016-02-02,-1.0436627016058317,-1.045461116385284,-1.0476471015554156,-1.0417695268851543,-1.044434994784562,-1.0473067378911278,-1.048689331687151,-1.0500312674604046,-1.0547112049220473,-1.0570286011039158,-1.0590506720922115,-1.0771806633838883,-1.072811521324917,-1.0756216612562344,-1.0758892663048139,-1.0791810999046387,-1.0706208670726103,-1.0746651576047148,-1.083189246400255,-1.0834700108253579,-1.0811121016346608,-1.0854914028008218,-1.0869500911630898,-1.087833379284535,-1.0931541781094642,-1.0950023812510665,-1.096950051439967,-1.1009817590219668,-1.1015595332573003,-1.1028679010634224,0
2016-02-03,-1.04394870867662,-1.0461822892078132,-1.040326889363805,-1.0429881541328283,-1.0458552422321934,-1.0472107493535006,-1.0485782287653835,-1.0532468426448915,-1.0555488404437017,-1.0575481504295476,-1.0756863799724754,-1.0713305010085803,-1.0741317937649366,-1.0743950455925007,-1.0776567931743668,-1.0690928784543707,-1.0731295617952477,-1.0816507044714618,-1.0819318493922632,-1.079578254045603,-1.0839371181031685,-1.0853858659401658,-1.0862416519569993,-1.091520737068142,-1.0933601650039417,-1.095306371808461,-1.0993346634066024,-1.0999036146549863,-1.1012101474572416,-1.1039992192001558,1
2016-02-04,-1.0446700539436522,-1.038859222020449,-1.0415460815809285,-1.044409043164349,-1.0457592112659835,-1.0470996047309846,-1.0517951633638338,-1.0540848104323717,-1.0560685781468968,-1.0741888613544008,-1.0698343827020764,-1.0726512614931392,-1.0729047466689643,-1.0761631856252338,-1.0675652722439284,-1.071602348710338,-1.0801171698642196,-1.0803929538652777,-1.0780389482555204,-1.0824040516040294,-1.0838315569895767,-1.084677261304334,-1.089929555341895,-1.0917267066446104,-1.093664121275061,-1.0976905622131499,-1.0982566881340137,-1.0995542858274567,-1.102341252565346,-1.0990616440433905,0
2016-02-05,-1.0373452356882453,-1.0400788897413575,-1.042967629352762,-1.0443129688170218,-1.0456480175156349,-1.0503177467556446,-1.0526334854098978,-1.0546047543005066,-1.072715322640499,-1.0683351041466735,-1.0711555574412788,-1.0714237608137875,-1.0746735086019679,-1.0660681638998857,-1.0700755632538201,-1.0785921169157757,-1.0788590481377212,-1.0764989579885313,-1.080865576729486,-1.0822984613038038,-1.083122789512602,-1.0883660258624934,-1.0901355553947298,-1.0920306373611066,-1.0960480427733432,-1.0966127775096604,-1.0979074140946437,-1.1006852064921215,-1.0974046071601966,-1.0998259122957614,0
2016-02-06,-1.0385651950521382,-1.0415009919387654,-1.042871510464275,-1.0442017248359061,-1.0488675820143583,-1.0511563834528088,-1.053153649089082,-1.071258102076993,-1.0668594429845957,-1.0696566762176984,-1.0699276717580888,-1.0731931765774527,-1.064574936198153,-1.068579325741246,-1.0770676175511824,-1.077333606255812,-1.0749639032724823,-1.0793263813512333,-1.0807599553808147,-1.0815894978594296,-1.0868124017686247,-1.0885720740190117,-1.0904395310824495,-1.094414358435114,-1.094970379630284,-1.0962635652164552,-1.0990381573875687,-1.0957493660801185,-1.0981687314998938,-1.1023474947205247,1
2016-02-07,-1.0399876372980053,-1.0414048355624284,-1.0427602149091848,-1.0474227437436587,-1.0497065894033504,-1.0516767423673141,-1.0698140372214016,-1.0653998995627123,-1.0681814942296166,-1.0684284212585589,-1.0716976424964861,-1.0630908711917417,-1.0670869812796409,-1.075573805614323,-1.075808695279421,-1.073437257252565,-1.0777921609136507,-1.079220730300314,-1.0800507834683073,-1.085280130257802,-1.0870184972761137,-1.0888761206889963,-1.092823604864647,-1.093336785894809,-1.094621206723792,-1.0973941086117238,-1.0941030911046692,-1.0965133658180253,-1.1006898391075133,-1.1023223543174865,0
2016-02-08,-1.0398914579290677,-1.0412934966003535,-1.0459827271179314,-1.0482621301466208,-1.0502271783254358,-1.0683433837163765,-1.063953358098165,-1.066722475227289,-1.0669527939312862,-1.0701989243002756,-1.0615921685370897,-1.06560384486179,-1.0740839212909665,-1.0743144466166497,-1.071911071926048,-1.076266389216163,-1.0776864786886247,-1.078511358958426,-1.0837425010837713,-1.085486282748719,-1.0873226138176524,-1.0912607511833374,-1.091745872880914,-1.0929876423444542,-1.0957516226081196,-1.09245991477104,-1.0948669710181118,-1.0990340623217112,-1.1006647034384445,-1.1031193050938075,1
