date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,price 51,price 52,price 53,price 54,price 55,price 56,price 57,price 58,price 59,price 60,transaction
2016-02-29,-1.0253812729384206,-1.027040377154369,-1.029316821478739,-1.0299027116419532,-1.031435330435483,-1.033470781568699,-1.0272786671880214,-1.0297321810202238,-1.0324130396900562,-1.0336513163566534,-1.0348499342334057,-1.0394380939196286,-1.041699794919203,-1.0437394812640586,-1.0620454257161585,-1.0576418923789779,-1.0604958390837718,-1.0607683733394582,-1.0639967063307132,-1.0552747435979304,-1.0593389551442034,-1.0679317354953888,-1.0681818267166072,-1.065799075526184,-1.0701993803411312,-1.0716229345559172,-1.0724600288973034,-1.0777749586580647,-1.0796008507434163,-1.0815229530844783,-1.0855448745650187,-1.086071267257348,-1.087278930626714,-1.089948656960695,-1.0865156551928905,-1.0888224392335402,-1.092926554206418,-1.0944563747326317,-1.0968246727909243,-1.097755819145119,-1.0979437067419229,-1.1000514963359662,-1.1004698359763696,-1.100140908047186,-1.097852831124729,-1.1012201979600253,-1.1009788598100891,-1.1003589485535756,-1.1004445021816378,-1.1024473769755352,-1.0999401767142125,-1.1011556407633052,-1.103046723910794,-1.1089869439567552,-1.109639731811841,-1.1114582527431862,-1.1112577283912535,-1.112882225358001,-1.114355970493847,-1.1150189241864201,0
2016-03-01,-1.0256104206220769,-1.0279230212409824,-1.0285247420630108,-1.0301931168634013,-1.0321670656469395,-1.0260466586336687,-1.0285139342602858,-1.03117102562085,-1.0323158444266138,-1.0335388610323495,-1.0381033502960852,-1.0402852721972515,-1.0422251387562678,-1.060559988388722,-1.0561308656870225,-1.0589766392552509,-1.0592558031299328,-1.0625551416507135,-1.0538011322859635,-1.057809610972894,-1.0663970769952202,-1.0666613374104565,-1.0642502402714367,-1.06865286349122,-1.070092778183194,-1.070907447471841,-1.0761834212731893,-1.0779828982370865,-1.0799076455809833,-1.083928758501983,-1.0844574947528742,-1.0857190123242015,-1.088418935327278,-1.0849752405193844,-1.0872851612958485,-1.091360295219972,-1.0929012598929264,-1.0952579082919303,-1.096172544913878,-1.0963357326935872,-1.0984489503318973,-1.0988872147902993,-1.0985510279067687,-1.0962615500478594,-1.0996317020523367,-1.0993762718708726,-1.0987521262502131,-1.0988336691379155,-1.1008427407628145,-1.0983224110612944,-1.0995270222851088,-1.101420108587953,-1.1073302224414925,-1.107926896773068,-1.1097429794237572,-1.1095415929910313,-1.111164520173309,-1.1126353023172835,-1.1132975230539988,-1.1156692560046695,0
2016-03-02,-1.0264935403467297,-1.027130442877493,-1.028815342627872,-1.0309255548113014,-1.024736743885694,-1.0272831573395032,-1.029954224913009,-1.0310737371958967,-1.032203302542628,-1.0367949538315122,-1.0389511792857318,-1.0408109310080658,-1.0590514428191435,-1.0546429836848203,-1.0574661648922214,-1.057736139772913,-1.0610432882215035,-1.0523537636001268,-1.0563373067676538,-1.0648701191978436,-1.0651262592330637,-1.0627281849395065,-1.0671049580778784,-1.068546227286121,-1.0693770208370423,-1.0746320398102227,-1.0763914036811066,-1.07828973590857,-1.082313829885537,-1.0828412026283165,-1.0841051735550002,-1.0868594059926617,-1.0834434481452615,-1.0857450565062268,-1.0898240251815952,-1.0913349925680633,-1.0937030896306112,-1.0946055560575485,-1.0947520182979869,-1.0968411015375488,-1.097284363857006,-1.0969677918516727,-1.0946704910607465,-1.098040956286978,-1.0977872273742073,-1.09714893023377,-1.0972264481032994,-1.0992320065720877,-1.0967166866021412,-1.0979091585200995,-1.099791541889108,-1.1057044873472457,-1.1062700502595855,-1.1080301317719543,-1.1078266030172124,-1.1094484045405324,-1.1109176443528068,-1.111577060714208,-1.1139477121956198,-1.1184747572206055,0
2016-03-03,-1.0257005348796946,-1.0274212264978642,-1.0295482732560624,-1.023488097192975,-1.025974275015245,-1.028724884046306,-1.029856838712291,-1.0309610874406874,-1.0354619016380378,-1.0376434803694417,-1.0394772418515967,-1.0576473234049222,-1.053132398907362,-1.0559788348114227,-1.0562251520812826,-1.059524293030821,-1.0508378177841595,-1.0548913818427503,-1.0634014557502562,-1.0635988717680722,-1.0611918074414273,-1.0655840398344343,-1.0669982871278156,-1.0678302413375975,-1.0731030200716185,-1.074840089246018,-1.076698304551326,-1.0806962561584683,-1.0812261027341632,-1.0824888243848676,-1.0852457817495569,-1.0818822211818717,-1.0842135846540868,-1.0882849428049206,-1.0897987124808397,-1.0921370866335656,-1.093050496342527,-1.0931845407252905,-1.095257543784069,-1.0956762263522173,-1.0953644382151035,-1.09308601151395,-1.0964504380200475,-1.096195926555353,-1.095559223077643,-1.0956228354541018,-1.0976248896689396,-1.0951049282193017,-1.096303325036869,-1.098173740939767,-1.1040767594738965,-1.1046440973074676,-1.106373297431695,-1.1061139894755503,-1.1077334283430436,-1.1092015810770484,-1.1098596051220837,-1.1122271234132401,-1.1167525979112178,-1.119064593055762,0
2016-03-04,-1.0259914751971457,-1.0281546188147295,-1.0221058127719136,-1.0247268168101253,-1.0274172055023978,-1.028627400745846,-1.0297440757430387,-1.0342228098983346,-1.0363110813081133,-1.03816997575141,-1.0563265661699326,-1.0517247306869617,-1.054468710415235,-1.05473730905063,-1.0580140452913014,-1.049315007763449,-1.0533764540181996,-1.0619595522136285,-1.0621295528005619,-1.0596630897255004,-1.0640486057707552,-1.0654773263953,-1.0662820678916798,-1.0715574306015416,-1.0733111480942583,-1.0751470890232278,-1.079105320467345,-1.0796083771413907,-1.0808736689951401,-1.083629617259343,-1.0802676606515358,-1.0826526204601201,-1.0867545284644546,-1.0882596199106167,-1.0906011250947796,-1.091484278214324,-1.0916289559242969,-1.093690240131788,-1.0940923075386493,-1.0937558247451638,-1.09148164122615,-1.094866528845176,-1.0946048476267864,-1.093967251790613,-1.094032674267426,-1.0960213858263126,-1.0934967324350588,-1.0946914640471228,-1.0965679772585373,-1.1024599761383767,-1.1030161618235754,-1.1047473656961395,-1.1044569291883903,-1.1060208261838722,-1.1074866413682194,-1.1081437662335463,-1.1105095435066707,-1.1150314636613907,-1.1173423043419906,-1.1217642263012852,0
2016-03-05,-1.0267252627234607,-1.0207074701655774,-1.0233453656238003,-1.0261711330442302,-1.027319640807537,-1.0285145253453134,-1.0330090762618453,-1.0350728035058219,-1.0368379819467746,-1.0550331627913445,-1.0503994243477353,-1.053061843390198,-1.0532267567810094,-1.0565269416668037,-1.0478005353400834,-1.0518545929459764,-1.0604474598576468,-1.0606869252113098,-1.0581917412683082,-1.0625208539476263,-1.063941857078734,-1.064760821875398,-1.070010471574826,-1.0717656250972114,-1.073618263834983,-1.077554880664321,-1.0780172173820213,-1.0792558941964638,-1.082014641531546,-1.078650690136077,-1.0810382048540808,-1.08519443123671,-1.0867291950266644,-1.0890623556600543,-1.0899480574152955,-1.0900622691770612,-1.0921348421941297,-1.092524602999811,-1.0921713106915365,-1.0898720651793194,-1.0932626248808097,-1.093020347044997,-1.0923754956196052,-1.0924402435995964,-1.0944313432129043,-1.0918921012737226,-1.0930831601770523,-1.0949561819622373,-1.1008553432495607,-1.1013991266271392,-1.1031194504308515,-1.1028306036527407,-1.1043637549111205,-1.1057740693572657,-1.106428982904686,-1.108793566780269,-1.113313347468087,-1.1156210554116757,-1.1200413453136038,-1.1243781569040936,1
2016-03-06,-1.0192741009650197,-1.021947803838311,-1.0247906533888629,-1.026073474651177,-1.0272066711608558,-1.0317827812607343,-1.0338599241207496,-1.0356002091779375,-1.0537141490044788,-1.049101144434314,-1.0517375640783821,-1.0518191451335641,-1.0550170061675113,-1.0463092101488207,-1.050341171423258,-1.0589282419448518,-1.0591743223280379,-1.056746872012131,-1.061050979099221,-1.0624140691635255,-1.0632251158608776,-1.068490710652759,-1.0702187339059008,-1.0720728389261878,-1.0760269649750462,-1.076466426908758,-1.0776646618368932,-1.0803970260325588,-1.0770349302837658,-1.0794213591001671,-1.0835804937855043,-1.0851690891551886,-1.087532265004617,-1.0884090249870104,-1.0885254836328533,-1.090568322215233,-1.090968774342165,-1.0906029452551207,-1.0882863473309938,-1.0916534903542838,-1.0914159595594535,-1.0907902806570928,-1.0908480234063045,-1.0928390325155972,-1.0903008301512103,-1.0914784160772504,-1.0933479472934589,-1.0992446121870934,-1.099794213865539,-1.1015024397624378,-1.1012023131104376,-1.1027374102288172,-1.1041169689875412,-1.1047165401003805,-1.1070786873894278,-1.1115967761155494,-1.1139028264680615,-1.1183195714995187,-1.1226547024448483,-1.122578401407078,1
2016-03-07,-1.0205151030270683,-1.023394002021042,-1.0246929293051044,-1.025960396511852,-1.0304776559306645,-1.0326344774647531,-1.034387859840431,-1.0524925520158932,-1.0477775646242224,-1.0504403851146602,-1.050493911313449,-1.053610467877213,-1.0447957532599625,-1.0488508963572611,-1.0574177475546285,-1.0576546285132935,-1.055232688536369,-1.0596077375133433,-1.0609441392514467,-1.0616970856131345,-1.066956236810569,-1.0686990559386877,-1.0705260478334626,-1.0744823093699771,-1.0749381000761133,-1.076113757743203,-1.0788060287096102,-1.075416619530135,-1.077805720619471,-1.0819640596626088,-1.0835551469367362,-1.085972433139415,-1.0868786623096272,-1.0869858783271242,-1.0890317376479572,-1.0894018699622467,-1.0890464065168006,-1.086716645316187,-1.0900683246694338,-1.0898063672296046,-1.0891853091097163,-1.089262318975686,-1.0912469335049846,-1.0887072764681687,-1.0898870218786887,-1.091743275501821,-1.0976374985792448,-1.098183219403634,-1.099897554256857,-1.0995848471779923,-1.101109101440457,-1.1024905735924793,-1.103059315029344,-1.1053661652153244,-1.1098814823177914,-1.1121861300997864,-1.1166008265064054,-1.1209324204099698,-1.120855341797106,-1.1209122412060595,0
2016-03-08,-1.0219620805351,-1.0232962163787933,-1.0245797751028574,-1.0292345226368513,-1.0313300632647122,-1.0331629395672466,-1.0512971796387722,-1.04655027742861,-1.0491178361516909,-1.0491957091388422,-1.0522866099602317,-1.0433830867425355,-1.0473383154228433,-1.0559303974614125,-1.0561436070916523,-1.0537115213291885,-1.0580947017029294,-1.0595008368451488,-1.060226785987819,-1.065429468066943,-1.0671646509235626,-1.0690064922752414,-1.072936303347976,-1.0733930967036065,-1.0745852976962729,-1.077255492451835,-1.0738245964029074,-1.0761875174816302,-1.0803488216283936,-1.0819387087098429,-1.0843586420426794,-1.0853186074361645,-1.0854549231058122,-1.0874923362132047,-1.0878648221431426,-1.087478868417194,-1.0851586705331357,-1.0884992357240908,-1.0882206290178031,-1.0875751637835147,-1.0876569472500437,-1.0896613569024005,-1.0871139219129624,-1.0882933436692814,-1.0901519601019494,-1.0960339981798637,-1.0965758283315576,-1.0982865854466788,-1.0979794557741005,-1.0994916133729666,-1.100862216476724,-1.1014327022938886,-1.1037090167465222,-1.1081686177460703,-1.1104707491760457,-1.1148835579507166,-1.1192131757498813,-1.1191334096847412,-1.119189547135821,-1.1210004645147364,1
2016-03-09,-1.0218642421982582,-1.0231829908982948,-1.027856103595188,-1.0300877485972122,-1.0318589666105369,-1.0500891189471118,-1.0453489330107106,-1.0478918336042826,-1.0478722021175741,-1.0509898827220545,-1.0420513732418488,-1.0459271733172044,-1.0544202563720106,-1.0546557303558757,-1.0521988682182775,-1.0565746043233317,-1.0579877581504427,-1.058783075215841,-1.0639610930481216,-1.0656379526454254,-1.0674721888220045,-1.0714177078404425,-1.0718467357866206,-1.0730401816438735,-1.0757274636741743,-1.0722724547457165,-1.0745956531346985,-1.07873097355186,-1.08032346668314,-1.0827423339125288,-1.083704693344467,-1.0838943824546656,-1.0859615918616181,-1.086324950785789,-1.0859410568857475,-1.0835898508188435,-1.086941919634296,-1.0866509043933426,-1.0859887339967498,-1.0860464230305311,-1.0880560896861236,-1.0855270209148589,-1.0866998633295222,-1.0885583616197885,-1.0944439593187738,-1.0949720380108712,-1.0966792213960592,-1.0963680108428484,-1.0978861973721794,-1.0992446697812772,-1.099804138060727,-1.1020825375201657,-1.1065117997357448,-1.1087578126177635,-1.113167778258056,-1.1174953531714586,-1.117414509057652,-1.1174679389713293,-1.1192777510891416,-1.1207761252441002,1
