date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2017-01-20,-1.398365335071337,-1.3950183105969822,-1.3920143220305028,-1.3645790945136234,-1.406333168661311,-1.439949817916289,-1.4413845674279198,-1.4438773261412363,-1.4494065099865934,-1.451327330842803,-1.4903473762587336,-1.4863040528455862,-1.484452424589086,-1.4894005816552398,-1.4919465843883235,-1.492818082213493,-1.4752551540484387,-1.4846250735563287,-1.4846938717771472,-1.4893310367069923,1
2017-01-21,-1.3919414337188045,-1.3889569131308896,-1.3615756931930818,-1.40338976572136,-1.4368680408260621,-1.4381942745874026,-1.4406672419311923,-1.44617865224006,-1.4480724390581576,-1.4870799689439504,-1.482894768440177,-1.4810291474336454,-1.4859875592353287,-1.488465758326048,-1.4892616874640894,-1.471714204831707,-1.48114912512137,-1.4811798824038942,-1.485812913618888,-1.4819115667818676,0
2017-01-22,-1.3858823397445326,-1.358529191763076,-1.4003754062976852,-1.4339166169762323,-1.4351130684107647,-1.4374772216784208,-1.4429676305931116,-1.4448451478697737,-1.4838090359699834,-1.4796305853740763,-1.4776226059087634,-1.4825634149607738,-1.485053249280075,-1.4857826223399024,-1.4681771063766544,-1.4776026312913284,-1.477707289293134,-1.4822978400148048,-1.478400646370129,-1.4811130588078631,0
2017-01-23,-1.35546618171796,-1.3973150012620432,-1.4308936383668032,-1.4321621055576441,-1.4343962486918405,-1.4397767361796383,-1.4416346694210316,-1.480566568032161,-1.476362994726117,-1.4743607037574125,-1.4791560756372217,-1.4816296327494693,-1.4823715867831384,-1.4647118699553805,-1.4740601487635687,-1.474164033288407,-1.4788241581080797,-1.4748927544534274,-1.4776029135720563,-1.4821278293581606,0
2017-01-24,-1.3942372515804908,-1.4278222973362928,-1.4291396223304507,-1.4314454741331504,-1.4366950153766667,-1.4384442815403427,-1.4773415385914668,-1.4731236890004813,-1.4710954775550773,-1.475893510055314,-1.4782227789802247,-1.47894948498664,-1.4613124057563198,-1.4705910538428038,-1.4706246948368764,-1.4752798514355396,-1.4714262844724495,-1.4740957945723823,-1.4786166990029403,-1.4899798244358706,1
2017-01-25,-1.4247329540730003,-1.4260689098393107,-1.42842319324518,-1.4337436369772165,-1.4353629940598915,-1.4741375818985474,-1.469901691389776,-1.467858408858011,-1.4726275961264974,-1.4749606171738263,-1.4755440248585197,-1.457902199215026,-1.467188360991129,-1.4671578531205514,-1.4717394927375862,-1.4678889371738384,-1.470630100762785,-1.4751085977545437,-1.4864610715173223,-1.4875260759740863,1
2017-01-26,-1.4229802329097772,-1.4253527374813886,-1.4307207072082895,-1.4324119655562222,-1.471044686735233,-1.4667005618808704,-1.4646385560402237,-1.4693898767636802,-1.4716951218074463,-1.4722830219712082,-1.4545076833950579,-1.4637748354229938,-1.463757045668738,-1.468271919860945,-1.464355336345756,-1.4670935024550902,-1.4716419175604833,-1.4829453699181536,-1.484009705106578,-1.4830760575772908,1
2017-01-27,-1.4222643327163482,-1.4276494281464496,-1.429389411781637,-1.468084285353245,-1.4636100852826353,-1.4614394265525175,-1.4661694001079524,-1.4684577984512532,-1.469018727965451,-1.4512557815362581,-1.4603772659104486,-1.4603454582752828,-1.4648705006006624,-1.4608926065013086,-1.4635606289313885,-1.468104367410166,-1.4794710573721817,-1.4804963786170258,-1.4795640067006517,-1.4824771765967875,0
2017-01-28,-1.4245601505780345,-1.4263186097801954,-1.465051659581779,-1.4606516368241087,-1.4583506609081525,-1.4629696888908426,-1.465237701474272,-1.46578254123004,-1.4480009218537468,-1.4571228246729306,-1.456949671993159,-1.4614582842734156,-1.457495239714945,-1.460098420310137,-1.4645705696038136,-1.4759261421445224,-1.477024451181026,-1.476054987613285,-1.4789657071020972,-1.4819670187245069,0
2017-01-29,-1.4232298379580608,-1.4619680782634346,-1.4576211096437415,-1.455393593996884,-1.4598804255956654,-1.4620383443079121,-1.4625635340094603,-1.4447736610375523,-1.4538653326154474,-1.4536967136479977,-1.4580619193366007,-1.454087189295685,-1.456701489664464,-1.4611076985947509,-1.4723851925117595,-1.473481837540036,-1.4725873857157097,-1.475457267702501,-1.4784560444811061,-1.4825464915250866,1
