date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,transaction
2017-02-19,-1.3706705419461613,-1.3669192748809504,-1.3635734144207536,-1.3358457197425992,-1.3778258392093055,-1.411580381232532,-1.41297150869322,-1.4154408327860895,-1.4209330713040316,-1.4226591422185686,-1.4616944051310339,-1.4575984674796665,-1.45567826171845,-1.4605385843823813,-1.4629877589388889,-1.463694400946638,-1.4458738214755125,-1.4551196663661454,-1.4551028481745836,-1.4596926806350243,-1.4557345011493528,-1.4583923944290098,-1.4628644724587272,-1.4741192810839963,-1.4750106315735065,-1.4739081057218468,-1.4766761851637027,-1.4795940636588611,-1.4835850933839103,-1.486781584001931,-1.4762989991605047,-1.4745796148223358,-1.4716788791699396,-1.4700265291152883,-1.4698090531482182,-1.4775789501376921,-1.478002742039164,-1.474971860299412,-1.4779526822622553,-1.500693630005608,-1.505857144711414,-1.505027833939881,-1.5101332887443022,-1.5161724080523231,-1.5159756173130103,-1.5189269230551061,-1.517088006564895,-1.515549312551088,-1.516989555708278,-1.5226062227023627,1
2017-02-20,-1.3642040243941445,-1.3608214900339501,-1.3329686946232506,-1.3748577560206081,-1.4085197359416162,-1.409815813662886,-1.4122505615866376,-1.4177536282800784,-1.4195925049011422,-1.4585737610032543,-1.4542099460403943,-1.452301337488581,-1.4572196999248634,-1.45960009555415,-1.460292865918258,-1.4425213245112058,-1.451783909951329,-1.4516669136365723,-1.456223916404114,-1.4522621104873386,-1.4549342851668787,-1.4594099749274316,-1.4707429212783645,-1.4716562266108568,-1.4705421922190804,-1.4733065288246243,-1.476163541836906,-1.4801766232988647,-1.483339706047011,-1.4728274172466256,-1.4711020361613998,-1.4682181335350084,-1.4666188986548578,-1.4663954859116113,-1.4741604733876534,-1.4745544914075517,-1.4715086511797877,-1.474490157959003,-1.4971998924356833,-1.5022944533022708,-1.5014307070288262,-1.5065069913837168,-1.5125317915696193,-1.5122632264665956,-1.5151515722717264,-1.5133076487950432,-1.5117982801459628,-1.513233061249544,-1.5188394553458981,-1.5135277396757112,1
2017-02-21,-1.3581047343546888,-1.3302111069789992,-1.3719801216534342,-1.40554299262046,-1.4067556236901368,-1.4090950747964108,-1.4145625643767121,-1.4164134779639677,-1.4555031001719405,-1.4510906273017345,-1.44891525111665,-1.4538420692927765,-1.4562815535119835,-1.4569064388288726,-1.4391297851673417,-1.448429058964856,-1.4483326622250667,-1.4527873249640804,-1.4487982268441548,-1.4514624078705474,-1.4559512263112726,-1.4672837125545661,-1.4682809060222277,-1.4671893312104176,-1.4699408321564287,-1.472794074430694,-1.476745837789626,-1.4799313350293894,-1.469391666738259,-1.467632963328517,-1.4647439901291974,-1.463160783837313,-1.4629894592903678,-1.470744911027024,-1.4711374108691255,-1.4680635161495255,-1.4710271927195235,-1.493727445030329,-1.498799857060669,-1.4978704617748906,-1.5029089913499438,-1.5089039561978266,-1.5086250966866968,-1.5114397971318592,-1.5095379412055043,-1.5080233913871581,-1.5094845532466854,-1.515080984029704,-1.5097707107101752,-1.5035416910771022,1
2017-02-22,-1.3274867953562626,-1.3692297528877133,-1.4026648790444198,-1.4037793781046022,-1.4060350707986875,-1.4114064097820036,-1.413222873393216,-1.4523129272565678,-1.4480208048057113,-1.4457968699916457,-1.450455274653217,-1.4529043528087149,-1.4535888795894703,-1.435753066744756,-1.4450347306143976,-1.4449791858903747,-1.4494525851820226,-1.4453659865670214,-1.4479990494924102,-1.4524786966127194,-1.463820016805599,-1.4648231695460867,-1.4638158953034714,-1.4665881789322277,-1.4694285624734291,-1.4733761557803213,-1.4765006605463755,-1.4659889268030821,-1.4641994937688672,-1.461277986945353,-1.4596893714442465,-1.4595332315141178,-1.4673369632558384,-1.4677232345811622,-1.4646494321059578,-1.4675822886734997,-1.490254740182048,-1.4953265847766861,-1.4943782385348765,-1.4993479291607774,-1.5053045412744874,-1.5049997664362027,-1.50780219115061,-1.5058303604351575,-1.5042589905485413,-1.5057120566338957,-1.5113304620396535,-1.5060219305226905,-1.499795374038306,-1.502936647362464,1
2017-02-23,-1.3665150727250746,-1.399920188346722,-1.400901292070788,-1.403059028513618,-1.408345809381611,-1.4100671057580938,-1.449110018254204,-1.4448329542551002,-1.442727640555128,-1.4473366208123872,-1.4495179892332957,-1.4502129128706855,-1.4324432254867732,-1.4416553032692079,-1.441586486204649,-1.4460986627755879,-1.4420344816354536,-1.4445672775018672,-1.4490146707102523,-1.4603424390111672,-1.461361019776122,-1.4603608288357934,-1.4632149966646857,-1.4660760862508064,-1.470010434015532,-1.4731310688962678,-1.4625645631516089,-1.460798850010322,-1.4578473079341334,-1.4562258086179123,-1.4560637780308,-1.4638784750975602,-1.4643166214906238,-1.461238230553041,-1.4641684267838608,-1.4868006115387495,-1.491853070303041,-1.4909072458629355,-1.4958549134164307,-1.501742155247205,-1.5014026560929414,-1.5041773885784344,-1.5021963227204784,-1.5005553540825975,-1.5019499769686975,-1.507556056954708,-1.502281281682066,-1.496057253790591,-1.4991909793475418,-1.4890036780833178,0
2017-02-24,-1.397213083887894,-1.398156275029731,-1.4001809537294454,-1.4053691151329808,-1.4070068509434772,-1.4459438848893016,-1.4416326089916813,-1.4395414329038585,-1.4442672188776213,-1.4463995013721154,-1.4468277865383596,-1.4290769492874553,-1.438343308531787,-1.438208640758447,-1.4427054345914267,-1.4386835139022447,-1.4412361207156434,-1.4455823036055007,-1.456873248002406,-1.4578850195116522,-1.4569014827904603,-1.4597602895252493,-1.4627031200464606,-1.4666577567422034,-1.4697654354714886,-1.4592001076004029,-1.4573768355728292,-1.454449228670952,-1.452797348080445,-1.4526019656320779,-1.4604066751449822,-1.4608597036877267,-1.4578344819020048,-1.4607574457716457,-1.4833778776994646,-1.4883981748457895,-1.4874359688478274,-1.492383159429188,-1.4982478552548508,-1.4978424263406234,-1.500580763671523,-1.4985751148442856,-1.4969246718971527,-1.49824806574192,-1.5037921254398277,-1.4985162324812296,-1.4923274651068559,-1.4954535049738669,-1.4852729558144238,-1.4870358723572046,0
2017-02-25,-1.39544873516213,-1.3974358033932135,-1.4024910042723717,-1.404030534475405,-1.4428743726511746,-1.4384686354197682,-1.4363429012939604,-1.44108053336999,-1.4433302044228182,-1.443709775073047,-1.4257015390645589,-1.4349743284733534,-1.4348979035641312,-1.4393270758221797,-1.4352937863661355,-1.4378854709741717,-1.4422507043845687,-1.4534362760795183,-1.454417442598608,-1.4534283434701591,-1.456301320803605,-1.4592487190014523,-1.4632845451182488,-1.466412842851089,-1.4558394955021186,-1.4540142919400867,-1.4510300882986833,-1.44940130757982,-1.449175096368716,-1.4569427660061796,-1.4573895338979186,-1.454380934334522,-1.4573539094842278,-1.4799580891635276,-1.4849747035071237,-1.4839831925366669,-1.4889111351766597,-1.4947748675612178,-1.4943502181386419,-1.4970209881165915,-1.4949817968689596,-1.493306844403906,-1.49461885126532,-1.5000888378042145,-1.4947613792706702,-1.4885727070871702,-1.4917243742951076,-1.4815503546522966,-1.4833072609323115,-1.4954725566772071,1
2017-02-26,-1.394728085682593,-1.3997462813999764,-1.401152444519302,-1.4398879363377248,-1.4354010520490552,-1.4331804556140213,-1.437881474237893,-1.4401438097469765,-1.440640779453723,-1.4225872687511734,-1.4315962072512023,-1.4315305024478173,-1.4360159305576514,-1.4319188277267607,-1.4344961201894224,-1.4388996505285976,-1.450101253429368,-1.4509819096813876,-1.4499636938154488,-1.4528285665075658,-1.4557900717036911,-1.4598297963898956,-1.4630397345617066,-1.4524917146311531,-1.4506555490361113,-1.4476698837369717,-1.4459844520767875,-1.4457805182383618,-1.4535139906438894,-1.4539270814275138,-1.4509142631364134,-1.4539006117790259,-1.4765460719127736,-1.4815541828273455,-1.4805617593311413,-1.4854576511405373,-1.491301632415413,-1.4908792399129118,-1.4935292205289734,-1.4914251154368379,-1.4897166362034227,-1.4910025023519338,-1.4964584523784143,-1.491064839190432,-1.484827839728638,-1.4879702398067827,-1.4778363765367173,-1.479586760369867,-1.491734895311943,-1.4894334287591358,1
2017-02-27,-1.3970391340135229,-1.3984074739528078,-1.437009286399468,-1.4324167242963686,-1.4301142367727129,-1.4347185841528207,-1.4369450716741707,-1.4374552195251709,-1.4195206394857294,-1.428480893077601,-1.4281539643373322,-1.4326480170777904,-1.4286103854223526,-1.4311215274833076,-1.4355098209556618,-1.446747072654647,-1.4476479568528684,-1.4465307706203714,-1.4493643108016405,-1.4523176453912823,-1.456370783996528,-1.4595851322263405,-1.4491244799727854,-1.4473095593441634,-1.4443134276346268,-1.4426261070662778,-1.4423653016338045,-1.4501176608213555,-1.450499630289479,-1.447454936910859,-1.4504341999592674,-1.4730827956959058,-1.4781414605787657,-1.47714326198408,-1.4820355372657057,-1.48784700151569,-1.4874079770768818,-1.4900586655772152,-1.4879363494405815,-1.4861628644248654,-1.487413654367298,-1.4928409238428495,-1.4874401940972752,-1.4811387217491738,-1.4842259774800552,-1.4740966007518772,-1.4758749223078538,-1.4880053887301685,-1.485702245501322,-1.4852574962053007,1
2017-02-28,-1.3956999960917773,-1.4342709509705662,-1.429538191035428,-1.427131400669033,-1.4316519684222808,-1.4337824520618816,-1.4342574029588275,-1.4163416348542381,-1.4254136035495644,-1.4250392597350108,-1.4292709652507487,-1.4252458657168792,-1.427813376080437,-1.4321347632093626,-1.443353538360006,-1.4442947532402566,-1.4431987579768433,-1.4459317388215058,-1.4488537252713591,-1.4528979851374955,-1.4561262735574387,-1.445678198747906,-1.4439445111513998,-1.4409696292991787,-1.4392714689611903,-1.439008290448259,-1.4467004810712807,-1.4471045174201884,-1.4440303277712252,-1.446975105507038,-1.4696060253302932,-1.4746773548772334,-1.4737324880482308,-1.4786163641921921,-1.4844237846207684,-1.4839552141950374,-1.4865878181881758,-1.4844686779524714,-1.4826769210673796,-1.48386115527152,-1.4892509906677385,-1.483828448411811,-1.477520390843154,-1.4805373091975236,-1.4703662711201648,-1.472137174456785,-1.48428437549597,-1.48197918558754,-1.481530792425345,-1.4852574962053007,1
