date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.3775658155383295,-1.3740151558284457,-1.370857999055539,-1.3433509117766278,-1.3852495805513871,-1.4189335922729578,-1.4203759280295767,-1.4228703898487414,-1.4283614539883518,-1.430260234058827,-1.4694519212183415,-1.4654636304480344,-1.463635592320837,-1.4686340853700415,-1.4711566829672826,-1.47183235405302,-1.453974234953106,-1.4631412814120488,-1.4629865206055157,-1.4674531825978472,-1.4633574531236226,-1.4658907569538764,-1.4702726262036734,-1.4815653871221148,-1.4825626193424835,-1.4815162368240569,-1.4843406051750927,-1.4872666472266616,-1.4913019065327426,-1.494540912327883,-1.484099799597993,-1.4823792327426362,-1.4794772059650467,-1.4778813105665014,-1.477734585993168,-1.4855603760775247,-1.4860910519561443,-1.4832087192837773,-1.4863251338305188,-1.5091900202521726,0
2017-02-10,-1.3711173967465553,-1.3679327010010154,-1.3403216482412335,-1.3822873806197649,-1.415883927199205,-1.4171724641978505,-1.4196563175829888,-1.4251790199558534,-1.4270232820925481,-1.466120953570868,-1.4619760123280157,-1.4601714613693801,-1.4651758628351261,-1.467696061104913,-1.468462740970757,-1.4506677894997597,-1.4598815493730324,-1.4596905593860614,-1.464106654747264,-1.4600305642888627,-1.462558307757745,-1.4669067401413622,-1.4781374536484402,-1.479106353898284,-1.4781007033238758,-1.4809154862314367,-1.4838286168908077,-1.487848473901097,-1.4910568085478562,-1.4806021450624818,-1.478908307561544,-1.4760244895768322,-1.4744226273052006,-1.4742538001472363,-1.4820823265420962,-1.482538139672815,-1.479600397057678,-1.4827270613756114,-1.5055791967861003,-1.5107922006924839,1
2017-02-11,-1.365035177655595,-1.3373992733951416,-1.3792459262428753,-1.4129131790349045,-1.4141232375510706,-1.416453130195342,-1.4219640338427366,-1.42384128327491,-1.4628697341962198,-1.4586490502673661,-1.4566873660313866,-1.4617107502345554,-1.4642384271002178,-1.465003737771669,-1.447307128642439,-1.456573148958934,-1.4564319215809085,-1.4608103117543336,-1.456687152362811,-1.4592317174753395,-1.463573888326881,-1.4747681182478105,-1.4756796950719506,-1.4746467512720145,-1.4775002211681008,-1.480403735726612,-1.4844101688006748,-1.4876034942487033,-1.4771252162705621,-1.4754134236214227,-1.4725569547908501,-1.470972496656169,-1.4707970626010924,-1.4785989935362867,-1.4790618204152381,-1.4760519338828733,-1.479119193332447,-1.5019625739988203,-1.5071797310629436,-1.5063644585999953,1
2017-02-12,-1.3345029334275922,-1.3763198252220896,-1.4098621358518075,-1.411152980691023,-1.4134040826243681,-1.4187599599275247,-1.4206268266910307,-1.4596760770044208,-1.455400803635518,-1.4533632376237735,-1.4582256302544794,-1.460773911948569,-1.4615477929702303,-1.4438608368576702,-1.4532099902422262,-1.4531246627831966,-1.4575513188724893,-1.4533933381466688,-1.455888640895426,-1.4602469186341918,-1.4714321510913415,-1.4723114375895456,-1.471222404094249,-1.474046580451283,-1.4769886993316994,-1.480985017550027,-1.4841653048386254,-1.473678628097857,-1.4719391657267153,-1.4690654604405782,-1.4675076572194166,-1.4673487866595143,-1.4751399253259518,-1.4755802569980068,-1.4725793280800754,-1.4755710600053433,-1.498336567684845,-1.5035615662404642,-1.5027565382628407,-1.5078431785510353,1
2017-02-13,-1.373421976818594,-1.406933103977803,-1.4081024886184823,-1.4104340264378883,-1.4157103380789662,-1.4174232664745872,-1.456447435587858,-1.4522095755707858,-1.4501170939850767,-1.4549006776459568,-1.4572894155836922,-1.4580849926203547,-1.4404181574232273,-1.449760151705026,-1.4497629627132698,-1.4542436896225523,-1.4501366972084542,-1.452595098834633,-1.4569034158852279,-1.4681022456338344,-1.4689764439774478,-1.4678561014804885,-1.4706225443738854,-1.4735353238262152,-1.4775697214176118,-1.480740267308589,-1.4702470146321451,-1.4684950813619762,-1.4655944701634054,-1.4640188575781947,-1.463885880551668,-1.4716894277332593,-1.4721228079701851,-1.4691015624847699,-1.4720987295103996,-1.4947752615446142,-1.4999340521447693,-1.4991426349667092,-1.5042337389001372,-1.5102394344109755,1
2017-02-14,-1.404034069101662,-1.4051736251934082,-1.4073837594668426,-1.4127396383531134,-1.4143739773914152,-1.45323011459946,-1.4489838896916365,-1.446927584346031,-1.4516539223272678,-1.4539649645983441,-1.45460228615987,-1.4369688234663096,-1.4463137709536829,-1.4463151953330946,-1.450881516224674,-1.4468315217460277,-1.4493387110203964,-1.453609527960345,-1.4647554453145144,-1.4656474559464463,-1.4645228734488605,-1.467256504845251,-1.4701115527602424,-1.4741160446666455,-1.4773250805393328,-1.46682844108504,-1.4650659157987853,-1.4621534489965966,-1.4605504650426178,-1.4603990137801626,-1.4682242057980242,-1.4686738538253425,-1.465647588483248,-1.4686212454777539,-1.491291936342396,-1.49637165098688,-1.4955192877353816,-1.5006184123946362,-1.5066275327222463,-1.5063363993978882,1
2017-02-15,-1.40227465850903,-1.4044549648448528,-1.40968864950486,-1.4114036505647212,-1.4501719115206153,-1.4457694358837865,-1.4437039892885097,-1.4484639128641452,-1.4507185815588606,-1.4512792749366128,-1.4335001731820418,-1.4428606795893857,-1.4428709759980463,-1.4474330767582033,-1.4434724835600254,-1.4460337996427246,-1.4503528184677197,-1.4614588811953624,-1.4623016861178624,-1.4611955492252502,-1.4639235144244525,-1.4667457373411596,-1.470691972582261,-1.4738715306285695,-1.4634194706171677,-1.461649748476434,-1.4587272782357377,-1.4571118791047168,-1.456932484561169,-1.4647350237491679,-1.4652102407650478,-1.4622019468259282,-1.4651675291074926,-1.487803207810265,-1.4928874118266107,-1.4919599127383767,-1.496993673567921,-1.5030098999154136,-1.5027285078902164,-1.5055142647761521,1
2017-02-16,-1.401556026013448,-1.4067596342384965,-1.4083530800085176,-1.4471915956096477,-1.4427130901160783,-1.4404915637964149,-1.4452397096668603,-1.4475288762974654,-1.4480339604153207,-1.4301884684563553,-1.439388107335782,-1.4394200788045688,-1.4439881560479075,-1.4400284958334735,-1.4426750988786283,-1.447047571482339,-1.4581996826502859,-1.4590059583094195,-1.4578516482527477,-1.460596414115108,-1.4634129493295862,-1.467325902603959,-1.4704475852887795,-1.4599731304188504,-1.4582430920335867,-1.4553140547264847,-1.4536880891985655,-1.4534956453722199,-1.461266262566661,-1.4617226672090042,-1.4587417866702241,-1.4617221330311443,-1.484339202666014,-1.489397748571928,-1.488478199367608,-1.4934332879329022,-1.499382906017615,-1.4991146315999553,-1.5019072179723267,-1.4999136480355901,1
2017-02-17,-1.4038606060854868,-1.4054241925946287,-1.4441298200012542,-1.4397348555206224,-1.4374365319373976,-1.4420266942155617,-1.4443050432247402,-1.444845128275697,-1.426951545042464,-1.4360732478590394,-1.4359497968191748,-1.440536546850405,-1.4365882208661536,-1.439231590263099,-1.4436884419112372,-1.4548918388314862,-1.455747537593234,-1.4545574371433874,-1.4572527646522089,-1.460086039762024,-1.463992884681907,-1.4670816224933065,-1.4565563893570268,-1.4547994356586549,-1.4519102292981425,-1.4502772060078029,-1.4500735632133157,-1.4578273310440946,-1.4582554566386812,-1.4552576651986624,-1.4582622288666423,-1.4808839990565648,-1.4859328881518077,-1.4849911192866316,-1.4899507310316726,-1.4958208826504065,-1.4954913107746124,-1.4982941329540678,-1.4963123555965308,-1.494646935800101,1
2017-02-18,-1.4025252161990605,-1.44119750772273,-1.4366754145855878,-1.4344597697169714,-1.4389712801909358,-1.441092386832993,-1.4416223575368852,-1.423769569555932,-1.432833983149378,-1.4326367795868342,-1.4370655216775758,-1.4331413278141236,-1.4357918152860545,-1.44024432442545,-1.4515293912783092,-1.4524405052848777,-1.451300427066038,-1.4539587576593607,-1.456742604548046,-1.4606657584565597,-1.4637487013756667,-1.4531965189309992,-1.4513853763972255,-1.4484698563548282,-1.446875631223564,-1.4466643586938501,-1.4544032032695502,-1.4548179787232098,-1.4517937824916758,-1.4547783633254818,-1.477413871615498,-1.4824768692706447,-1.4815286224835376,-1.4864627882558021,-1.492336958813668,-1.4919319549547994,-1.4946715858240733,-1.4927046609500028,-1.4910510546549633,-1.4923432753071142,1
