date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
2016-01-10,-1.0543293163857341,-1.05603449321391,-1.0583744077238713,-1.0590906641315487,-1.0608791624447442,-1.0630982136704057,-1.0573685684987715,-1.0601430261324398,-1.0631236686510408,-1.0646010925035463,0
2016-01-11,-1.0545530125229443,-1.0568963350927005,-1.0576007603280004,-1.0593744175078246,-1.0615946411550492,-1.0558348855487825,-1.0585780719161975,-1.0615533494282072,-1.0630283012174213,-1.0644906511835117,0
2016-01-12,-1.055415122355114,-1.0561224362627661,-1.057884598495966,-1.0600900786780783,-1.0543293941809342,-1.0570446036395298,-1.0599883227887978,-1.0614579894900593,-1.062917875767967,-1.067688429404506,0
2016-01-13,-1.054640982913982,-1.0564063666776446,-1.058600473521366,-1.052822978935223,-1.055539431859415,-1.0584551048158781,-1.05989296774759,-1.061347572719572,-1.0661151944635272,-1.068521759364765,0
2016-01-14,-1.0549250016050467,-1.057122474361188,-1.0513312022108126,-1.0540333251950902,-1.0569503056671044,-1.0583597328502177,-1.0597825566472439,-1.0645446401195855,-1.066948404673045,-1.0690388255449255,0
2016-01-15,-1.0556413319320685,-1.0498508405500513,-1.0525419101485065,-1.055444558800994,-1.0568549085057302,-1.0582493021531367,-1.0629794598708966,-1.065377784842352,-1.067465396550035,-1.0856000034900737,1
2016-01-16,-1.048367437313119,-1.0510619419657277,-1.0539535654617518,-1.0553491373116268,-1.0567444486346655,-1.061446772791336,-1.0638125618098704,-1.065894736085996,-1.0840241946295524,-1.0797742238582628,1
2016-01-17,-1.0495789152696962,-1.0524740560645043,-1.053858115458365,-1.0552386492713068,-1.05994276399231,-1.0622800225965807,-1.0643294865069444,-1.0824522327149513,-1.0781992521708437,-1.0810894795786716,1
2016-01-18,-1.0509914684057877,-1.0523785750400318,-1.053747594401812,-1.0584377802569316,-1.060776233928525,-1.0627970390420038,-1.0808861328724548,-1.0766277480717557,-1.0795143188870708,-1.0798670949682916,1
2016-01-19,-1.0508959576955181,-1.0522680180643267,-1.05694768135746,-1.0592714627429811,-1.0612933869612364,-1.079356624026962,-1.075061947329207,-1.077942711429375,-1.0782921099351575,-1.0816291360288395,1
2016-01-20,-1.050785366346785,-1.0554691450426918,-1.0577816129659963,-1.059788747659024,-1.0778573467177022,-1.0735314047559574,-1.0763768431605993,-1.076720598537847,-1.080053897787813,-1.071568935785712,0
2016-01-21,-1.053987488580559,-1.056303347677556,-1.0582990524580396,-1.0763569315233497,-1.0720305885190424,-1.0748465339666453,-1.0751547930272252,-1.078482247921528,-1.0699951432102583,-1.07407143569649,0
2016-01-22,-1.0548219505755454,-1.056820955336538,-1.0748721872565996,-1.0705286873964779,-1.0733460651653577,-1.073624266933048,-1.0769163519463807,-1.0684242839189737,-1.0724972835081181,-1.0810417890086568,1
2016-01-23,-1.055339719162796,-1.073399476375197,-1.0690422015234293,-1.0718444995130143,-1.0721234752288014,-1.0753861385091985,-1.0668589044421424,-1.0709262275593296,-1.079466635170261,-1.0797867740082667,1
2016-01-24,-1.0719233945932825,-1.0675675959067632,-1.0703584068332876,-1.0706215977940197,-1.0738858122626054,-1.065326905920579,-1.0693607196022534,-1.077895031460301,-1.0782118005173726,-1.0759012475670588,0
2016-01-25,-1.0660897009476082,-1.068884228981067,-1.0691351396846216,-1.0723843842554863,-1.0638239221892627,-1.0678291651248837,-1.0763291656399956,-1.0766402954320382,-1.0743268324320296,-1.0787225212879357,0
2016-01-26,-1.0674067433734304,-1.0676605642726968,-1.0708984529050807,-1.0623199282190785,-1.066326842449523,-1.074798847983815,-1.0750744940451553,-1.0727556326885368,-1.077147700731723,-1.0786171000279032,0
2016-01-27,-1.0661826982181337,-1.069424450566898,-1.0608309893899808,-1.0648234867690531,-1.0732983665846707,-1.0735439536988076,-1.0711900307875302,-1.0755762792800714,-1.0770422946208804,-1.077909271567683,0
