date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.1910280141825613,-1.191661222945253,-1.1878753366595851,-1.1834304476062418,-1.1887877792742378,-1.1902254987977439,-1.1931656267683857,-1.1929745283330335,-1.1941776235487056,-1.1946477001342817,-1.199228181586887,-1.2000435501166737,-1.2017562946027989,-1.2036364066064176,-1.2040749336090582,-1.2064938198275637,-1.2052879142867123,-1.2069189332781742,-1.2076653319121524,-1.2083147105005367,-1.2085287194065475,-1.2107834634881525,-1.211733982426504,-1.2139257589556818,-1.2156099329110697,-1.2170287166198492,-1.2187385159133555,-1.2202232978784755,-1.2221813714686967,-1.223487608937588,-1.2245795232321954,-1.2262884742410927,-1.227627917965123,-1.2281494125934673,-1.228488725575049,-1.2301867034880385,-1.2314304037917347,-1.2322872609936257,-1.234079881604755,-1.2371131153529842,1
2017-02-10,-1.1902097709932942,-1.1863978745659765,-1.1819455221590354,-1.1873340650632729,-1.1887877792742378,-1.1917106756395337,-1.1915231119514778,-1.1928180026711548,-1.1933162317048815,-1.1978993571658032,-1.1986793961961966,-1.2003965469237243,-1.2022272313992624,-1.2026546998499625,-1.20509652538437,-1.2038990022199128,-1.205563285867449,-1.2062497840986068,-1.2068776227218565,-1.2070930159363535,-1.2093568239719092,-1.2103099736922986,-1.2124841295047248,-1.2141627926082699,-1.2155308731078598,-1.2172264909823467,-1.2186593558170362,-1.2205401450408166,-1.2218246773872363,-1.2228530529440962,-1.2245795232321954,-1.2259310374729648,-1.2264753779195807,-1.2268767688965168,-1.228807099820437,-1.2300274216604645,-1.2309124254947201,-1.2326460743320637,-1.235675587024532,-1.2361151855874104,1
2017-02-11,-1.1849496362051481,-1.1804717341685689,-1.185846715909397,-1.1873340650632729,-1.1902720568010454,-1.1900691643933448,-1.1913666819689153,-1.1919571115308218,-1.1965660282065804,-1.197350884895426,-1.1990321868044977,-1.200867209333125,-1.2012461130732968,-1.203675674876676,-1.202503253954732,-1.2041742101479969,-1.2048945263142314,-1.2054625497697038,-1.205656673476898,-1.2079206154798328,-1.208883621363131,-1.2110596658690673,-1.212721018055742,-1.2140837813907406,-1.2157285226158843,-1.2171473812373477,-1.2189759962023134,-1.220183691983183,-1.2211905545757509,-1.2228530529440962,-1.2242223352838975,-1.2247792967756639,-1.2252036095934653,-1.2271949298207543,-1.228647912697743,-1.229509755720849,-1.2312710258541917,-1.234240800280678,-1.2346782711371713,-1.2358357652530494,0
2017-02-12,-1.1790271140733097,-1.1843705107458107,-1.185846715909397,-1.1888174396969446,-1.188631539534574,-1.189912829988946,-1.1905063170648205,-1.1952050190148054,-1.1960178697605108,-1.197703474212097,-1.1995025742822325,-1.1998866626468736,-1.202266476132301,-1.2010839690396344,-1.2027782978942392,-1.2035058480369354,-1.2041077503692692,-1.2042423365599042,-1.2064837681267089,-1.2074477014549876,-1.2096328588270298,-1.2112964107669943,-1.2126420552054031,-1.214281309434564,-1.2156494628126744,-1.217463820217344,-1.2186197757688766,-1.2195499976585005,-1.2211905545757509,-1.2224961151977574,-1.2230713963393813,-1.223508410488987,-1.2255215516749942,-1.2270358493586357,-1.2281305545489876,-1.2298681398328906,-1.2328648052296214,-1.233244096562794,-1.2343990226887103,-1.2356361792999349,1
2017-02-13,-1.1829235102126772,-1.1843705107458107,-1.1873291695345345,-1.1871779203649915,-1.18847529979491,-1.1890529907647518,-1.1937522392029953,-1.1946571791982297,-1.1963702573329842,-1.1981735933009918,-1.1985226003702854,-1.200906431200575,-1.1996763237517516,-1.2013588469314418,-1.2021103340411508,-1.2027195396709804,-1.2028882476545781,-1.2050689326052524,-1.2060111426125313,-1.2081964819943256,-1.2098694601314188,-1.2112174958010187,-1.2128394623312504,-1.2142022982170346,-1.2159657020255141,-1.2171078263648483,-1.217986494998322,-1.2195499976585005,-1.2208338604942903,-1.2213459824595538,-1.2218013947454325,-1.2238261320606563,-1.2253625806342299,-1.2265188378567495,-1.228488725575049,-1.2314609581086309,-1.2318686931199778,-1.2329650195217865,-1.2341995595112383,-1.2361551027780333,1
2017-02-14,-1.1829235102126772,-1.1858520458451627,-1.1856906681593826,-1.1870217756667105,-1.1876159812267582,-1.1922969296560295,-1.1932047342640262,-1.195009361937457,-1.1968401074296156,-1.1971941785324614,-1.1995417732387104,-1.1983177879488711,-1.199951036883022,-1.2006912863370525,-1.2013244942139876,-1.2015007617037505,-1.2037143623967883,-1.2045965920079105,-1.2067594663433123,-1.208432939006748,-1.209790593029956,-1.2114147832159576,-1.2127604994809116,-1.214518343087152,-1.2156099329110697,-1.2164749484048558,-1.217986494998322,-1.2191935446008666,-1.2196845128984732,-1.2200768704725706,-1.2221188951439197,-1.2236672712748218,-1.2248459247517454,-1.2268767688965168,-1.2300805968019894,-1.2304654466862932,-1.2315897817292776,-1.23276567877821,-1.2347181637726659,-1.2291296772283935,0
2017-02-15,-1.1844041407456367,-1.184214559682721,-1.1855346204093682,-1.1861629798261635,-1.1908579558247852,-1.1917497592406332,-1.1935567017247923,-1.1954789389230933,-1.195861253061634,-1.198212769891733,-1.1969546421111694,-1.1985923410210215,-1.1992838764213656,-1.1999059209318883,-1.200106442481885,-1.2023263854880033,-1.203242296829811,-1.2053444646203684,-1.2069957791004011,-1.2083541200026073,-1.2099877607836134,-1.2113358682499822,-1.2130763508822675,-1.2141627926082699,-1.21497745448539,-1.2164749484048558,-1.217630274564885,-1.2180449736373797,-1.2184162672755026,-1.2203941484693164,-1.2219601449446762,-1.2231509737208592,-1.2252036095934653,-1.228467573517705,-1.2290856772851517,-1.2301867034880385,-1.231390559307349,-1.2332839647115095,-1.2276970599256465,-1.229568766325246,0
2017-02-16,-1.1827676543671024,-1.1840586086196314,-1.1846763577842885,-1.1894029823154992,-1.1903111167359612,-1.192101511650531,-1.1940259916724802,-1.1945006535363512,-1.1968792616043347,-1.1956271149028124,-1.1972290348065147,-1.1979255692743707,-1.1984989817605929,-1.198688604553884,-1.2009315743004063,-1.2018546004684303,-1.203989733977525,-1.2055806349190392,-1.2069170081813716,-1.2085511675129594,-1.2099088936821503,-1.2116515281138847,-1.212721018055742,-1.2135307028680349,-1.21497745448539,-1.21611895455236,-1.216482453168255,-1.2167775849880151,-1.2187333286812452,-1.2202355094709436,-1.2214442067971345,-1.223508410488987,-1.2267933200011099,-1.2274733206294626,-1.228807099820437,-1.229987601203571,-1.2319085376043635,-1.2262671705376078,-1.228135878916085,-1.229648600706492,0
2017-02-17,-1.1826117985215279,-1.1832008777726382,-1.1879143485970887,-1.188856475871515,-1.1906626561502054,-1.1925705148637278,-1.1930483042814637,-1.1955180703385628,-1.1942950860728632,-1.1959013510380008,-1.1965626525463906,-1.197141131925369,-1.1972823950363956,-1.1995132382293066,-1.2004600704041084,-1.2026015934160874,-1.2042257667610137,-1.2055019114861492,-1.2071139354789453,-1.2084723485088185,-1.2102243620880024,-1.2112964107669943,-1.2120893152530297,-1.2135307028680349,-1.2146216853709455,-1.2149718632498738,-1.215215891627146,-1.2170944321503563,-1.2185747979783739,-1.2197199327262318,-1.2218013947454325,-1.2250970183473333,-1.225799750996332,-1.2271949298207543,-1.2286081159170696,-1.2305052671431866,-1.2248959083524738,-1.2267057201734763,-1.228215664187074,-1.2305267789001968,1
2017-02-18,-1.181754591370867,-1.1864368623317487,-1.187368181472038,-1.189207801442648,-1.1911313753691972,-1.1915934248362345,-1.194065099168121,-1.1929353969175638,-1.194569165295898,-1.1952353489954002,-1.1957786734168325,-1.1959252540344174,-1.1981065344302069,-1.199042018986208,-1.2012066182399133,-1.202837485925874,-1.2041470891665176,-1.2056987200683746,-1.2070351645599158,-1.208787624525382,-1.2098694601314188,-1.210665091039189,-1.2120893152530297,-1.2131751523891527,-1.2134753182244016,-1.213706107329889,-1.2155325320124233,-1.2169360085691858,-1.2180595731940422,-1.2200768704725706,-1.2233888967378688,-1.224104138435867,-1.2255215516749942,-1.226996079243106,-1.2291254740658253,-1.223496866729929,-1.2253341976807168,-1.2267854564709073,-1.2290933021679513,-1.2300078554220983,0
