date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
2017-01-10,-1.189232469781509,-1.1900287843755524,-1.1863100058868434,-1.181889224737871,-1.1873801978274605,-1.1888793423091533,-1.191669123710953,-1.1913196811290683,-1.192443229650682,-1.1929086104603714,0
2017-01-11,-1.1884051275303464,-1.1847066832006845,-1.1803138261138169,-1.1858366055245524,-1.1873801978274605,-1.1903812184550653,-1.1900082377959937,-1.1911614126526961,-1.1915722730084202,-1.1961963655495382,0
2017-01-12,-1.183086498772872,-1.1787143915075,-1.18425868122765,-1.1858366055245524,-1.1888811452181878,-1.1887212500832676,-1.1898500581850455,-1.190290936032648,-1.1948581548860435,-1.1956418044501609,1
2017-01-13,-1.1770981167644563,-1.1826566886740688,-1.18425868122765,-1.1873366102234915,-1.1872222033652786,-1.1885631578573823,-1.1889800703248288,-1.1935750069173745,-1.194303909750059,-1.1959983080140466,0
2017-01-14,-1.181037841769993,-1.1826566886740688,-1.1857577261709067,-1.185678710293085,-1.187064208903097,-1.1876936506150122,-1.1922622972520096,-1.1930210672500712,-1.1946602101946207,-1.1964736460992274,1
2017-01-15,-1.181037841769993,-1.1841547615973649,-1.1841008870230967,-1.1855208150616179,-1.1861952393610966,-1.1909740643021356,-1.19170866861369,-1.1933771713219092,-1.195135277454036,-1.1954833584217675,1
2017-01-16,-1.1825349372720968,-1.182498996787406,-1.1839430928185435,-1.184652391288548,-1.1894736244513697,-1.1904207415115367,-1.1920645727383243,-1.1938519767510263,-1.1941455539969206,-1.1965132576063255,1
2017-01-17,-1.1808802527697713,-1.1823413049007434,-1.1830752246935001,-1.1879287173414936,-1.1889206438337332,-1.190776449019779,-1.1925391115711697,-1.192862798773699,-1.1951748663923207,-1.1938988981378313,1
2017-01-18,-1.18072266376955,-1.1814739995240982,-1.1863494544379816,-1.187376084031358,-1.1892761313736426,-1.1912507256974354,-1.1915504890027417,-1.1938915438701194,-1.1925619964655358,-1.19417617868752,1
2017-01-19,-1.179855924268332,-1.18474610617235,-1.185797174722045,-1.1877313483021597,-1.189750114760188,-1.1902626492856512,-1.1925786564739067,-1.1912801140099751,-1.1928391190335281,-1.1935027830668477,1
2017-01-20,-1.1831258960229272,-1.1841941845690307,-1.1861522116822902,-1.1882050339965615,-1.1887626493715515,-1.1912902487539068,-1.1899686928932567,-1.191557083843627,-1.1921661070826897,-1.1927105529248794,1
2017-01-21,-1.1825743345221522,-1.184548991314022,-1.18662559429595,-1.1872181887998912,-1.1897896133757335,-1.1886817270267964,-1.1902455072124165,-1.1908844428190444,-1.191374328316997,-1.1914825962048292,0
2017-01-22,-1.1829289097726505,-1.1850220669740101,-1.1856393805174918,-1.1882445078044281,-1.1871827047497332,-1.188958388422096,-1.1895732438658857,-1.1900931004371824,-1.1901470712301738,-1.1923144378538957,0
2017-01-23,-1.1834016767733149,-1.1840364926823679,-1.1866650428470884,-1.1856392364852184,-1.1874591950585514,-1.1882864964620827,-1.188782345811143,-1.1888665197452966,-1.1909784389341511,-1.1918390997687147,0
2017-01-24,-1.1824167455219308,-1.1850614899456757,-1.1840614384719583,-1.185915553140286,-1.1867877185942788,-1.1874960353326551,-1.1875564538262924,-1.1896974292462517,-1.1905033716747355,-1.1925917184035844,0
2017-01-25,-1.1834410740233703,-1.1824595738157404,-1.1843375783299268,-1.1852444984065502,-1.1859977462833693,-1.186270820582043,-1.188386896783772,-1.1892226238171346,-1.1912555615021434,-1.1928293874461748,0
2017-01-26,-1.180840855519716,-1.1827355346174002,-1.1836669529605752,-1.1844550222492138,-1.1847732892014602,-1.1871008047679417,-1.1879123579509265,-1.1899743990799032,-1.1914930951318512,-1.192750164431978,0
2017-01-27,-1.1811166362701035,-1.1820653440990836,-1.1828779819378084,-1.1832313342053424,-1.1856027601279149,-1.1866265280902852,-1.188663711102932,-1.1902118017944618,-1.191413917255282,-1.1929482219674699,1
2017-01-28,-1.1804468830191626,-1.1812768846657697,-1.18165507685252,-1.1840602841705459,-1.1851287767413694,-1.1873774661632412,-1.1889009805193544,-1.1901326675562758,-1.1916118619467049,-1.192868998953273,1
2017-01-29,-1.179658938018055,-1.1800547725441335,-1.1824834964264253,-1.183586598476144,-1.185879250436733,-1.1876146045020695,-1.1888218907138803,-1.190330503151741,-1.1915326840701357,-1.1931858910100601,1
2017-01-30,-1.1784376232663387,-1.180882654949113,-1.1820101138127652,-1.1843366008256135,-1.1861162421300058,-1.1875355583891267,-1.1890196152275658,-1.190251368913555,-1.1918493955764127,-1.1928293874461748,1
2017-01-31,-1.1792649655175014,-1.1804095792891247,-1.1827596362843935,-1.1845734436728144,-1.186037244898915,-1.1877331736714836,-1.1889405254220915,-1.1905679058662995,-1.1914930951318512,-1.1921956033326002,1
