date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
2017-01-10,-1.1895622924146836,-1.1903234669892873,-1.186560932518489,-1.182053410652377,-1.187274837669403,-1.1885758022122759,-1.1913551431027178,-1.1910273953645982,-1.1922006522847242,-1.1926353244944392,0
2017-01-11,-1.1887342214418424,-1.1849967263396528,-1.1805595888982878,-1.1860041017168461,-1.187274837669403,-1.190078719391795,-1.1896931128857773,-1.1908690166972986,-1.191329074983341,-1.1959253885998533,1
2017-01-12,-1.183410908045006,-1.178999210941546,-1.1845078412799992,-1.1860041017168461,-1.188776918398357,-1.1884176004039053,-1.1895348242936878,-1.1899979340271498,-1.1946172984385592,-1.1953704380278558,0
2017-01-13,-1.1774172514796792,-1.18294494475609,-1.1845078412799992,-1.1875053643213445,-1.1871167239084603,-1.188259398595535,-1.1886642370371951,-1.19328429137362,-1.194062658337679,-1.1957271919669972,0
2017-01-14,-1.1813604465884469,-1.18294494475609,-1.1860081771850495,-1.1858460740742673,-1.1869586101475178,-1.1873892886494977,-1.1919487253230538,-1.1927299660380708,-1.1944192126882451,-1.1962028638858522,1
2017-01-15,-1.1813604465884469,-1.1844443236056166,-1.1843499111847307,-1.1856880464316888,-1.186088984462334,-1.1906719761731839,-1.1913947152507403,-1.1930863180394955,-1.1948946184889995,-1.1952118807215708,0
2017-01-16,-1.1828588607297785,-1.1827871154035081,-1.1841919810894623,-1.1848188943975053,-1.1893698450018915,-1.1901182698438875,-1.191750864582942,-1.1935614540413948,-1.1939041897374278,-1.1962425032124235,1
2017-01-17,-1.181202718784096,-1.1826292860509264,-1.1833233655654856,-1.1880979679810146,-1.1888164468385927,-1.190474223912721,-1.1922257303592108,-1.1925715873707712,-1.1949342356390624,-1.1936263076587206,0
2017-01-18,-1.1810449909797456,-1.1817612246117266,-1.186600415042306,-1.1875448712319892,-1.1891722028007135,-1.1909488293378325,-1.1912364266586508,-1.1936010487082196,-1.1923195037349128,-1.1939037829447194,1
2017-01-19,-1.1801774880558165,-1.185036183677798,-1.1860476597088665,-1.1879004334277914,-1.189646544083541,-1.1899600680355171,-1.1922653025072332,-1.1909878006977734,-1.1925968237853528,-1.1932299143930083,1
2017-01-20,-1.1834503399960936,-1.184483780943762,-1.1864030024232206,-1.1883745163555277,-1.1886583330776503,-1.190988379789925,-1.1896535407377549,-1.1912649633655479,-1.1919233322342841,-1.1924371278615828,1
2017-01-21,-1.1828982926808662,-1.1848388969870711,-1.186876792709026,-1.1873868435894104,-1.1896860725237768,-1.1883780499518128,-1.1899305457739118,-1.190591854029524,-1.1911309892330264,-1.191208308737874,0
2017-01-22,-1.1832531802406554,-1.1853123850448164,-1.1858897296135982,-1.1884140232661724,-1.1870771954682247,-1.188654903116461,-1.1892578192575312,-1.189799960693025,-1.1899028575810775,-1.1920407345958706,1
2017-01-23,-1.1837263636537076,-1.1843259515911804,-1.186916275232843,-1.1858065671636226,-1.187353894549874,-1.1879825454308868,-1.188466376297083,-1.1885725260214517,-1.190734817732398,-1.1915650626770153,0
2017-01-24,-1.1827405648765157,-1.1853518423829619,-1.1843104286609134,-1.1860831155381355,-1.1866819110658684,-1.1871915363890344,-1.1872396397083889,-1.1894040140247757,-1.1902594119316434,-1.1923182098818692,0
2017-01-25,-1.1837657956047951,-1.1827476580653626,-1.1845868063276332,-1.185411498057176,-1.1858913422611557,-1.1859654723741637,-1.1880706548168594,-1.1889288780228764,-1.191012137782838,-1.1925560458412967,1
2017-01-26,-1.1811632868330084,-1.1830238594323808,-1.1839156034227425,-1.1846213598442819,-1.1846659606138508,-1.1867960318681086,-1.1875957890405906,-1.1896811766925504,-1.1912498406832153,-1.1924767671881544,0
2017-01-27,-1.1814393104906222,-1.1823530846839083,-1.1831259529464,-1.1833966456142964,-1.1854960578587994,-1.1863214264429973,-1.188347659853016,-1.1899187446935,-1.1911706063830896,-1.1926749638210103,1
2017-01-28,-1.1807689673221318,-1.1815639379209995,-1.1819019947080696,-1.1842262907378351,-1.1850217165759718,-1.1870728850327568,-1.1885850927411503,-1.1898395553598502,-1.1913686921334037,-1.192595685167868,0
2017-01-29,-1.179980328300378,-1.1803407604384908,-1.182731127708229,-1.1837522078100988,-1.1857727569404488,-1.1873101877453125,-1.1885059484451057,-1.1900375286939746,-1.191289457833278,-1.192912799780438,1
2017-01-30,-1.1787579378166602,-1.1811693645395451,-1.1822573374224237,-1.184502839112348,-1.1860099275818625,-1.1872310868411273,-1.1887038091852176,-1.1899583393603248,-1.191606395033781,-1.1925560458412967,1
2017-01-31,-1.1795860087895014,-1.1806958764817999,-1.183007505374949,-1.1847398805762162,-1.1859308707013914,-1.1874288391015901,-1.1886246648891727,-1.1902750966949243,-1.1912498406832153,-1.1919218166161567,0
2017-02-01,-1.1791128253764493,-1.1814455659065632,-1.1832444005178515,-1.1846608667549268,-1.1861285129025694,-1.187349738197405,-1.1889412420733518,-1.1899187446935,-1.1906159662822091,-1.1919218166161567,1
2017-02-02,-1.1798620324471152,-1.1816823099354359,-1.1831654354702172,-1.18485840130815,-1.1860494560220982,-1.1876661418141459,-1.1885850927411503,-1.1892852300243006,-1.1906159662822091,-1.1915650626770153,1
2017-02-03,-1.1800986241536413,-1.181603395259145,-1.1833628480893028,-1.1847793874868606,-1.1863656835439833,-1.1873101877453125,-1.1879519383727921,-1.1892852300243006,-1.1902594119316434,-1.190415522206449,1
2017-02-04,-1.180019760251466,-1.181800681949872,-1.1832838830416685,-1.1850954427720182,-1.1860099275818625,-1.1866773805118307,-1.1879519383727921,-1.1889288780228764,-1.18911051457982,-1.189147063756169,0
2017-02-05,-1.1802169200069041,-1.1817217672735814,-1.1835997432322054,-1.1847398805762162,-1.1853774725380923,-1.1866773805118307,-1.1875957890405906,-1.187780632684953,-1.1878427657778081,-1.1894641783687387,1
2017-02-06,-1.1801380561047288,-1.1820374259787447,-1.1832444005178515,-1.1841077700059008,-1.1853774725380923,-1.1863214264429973,-1.186448196747941,-1.1865136033465549,-1.188159702978311,-1.189305621062454,1
2017-02-07,-1.1804535117134303,-1.1816823099354359,-1.1826126801367776,-1.1841077700059008,-1.1850217165759718,-1.1851744633323116,-1.1851818880112246,-1.1868303606811543,-1.1880012343780597,-1.1887903098170276,0
2017-02-08,-1.1800986241536413,-1.1810509925251087,-1.1826126801367776,-1.1837522078100988,-1.1838753918091383,-1.1839088488653482,-1.1854984651954035,-1.1866719820138547,-1.1874862114272424,-1.189147063756169,0
2017-02-09,-1.1794677129362383,-1.1810509925251087,-1.1822573374224237,-1.1826065074014027,-1.1826104817215979,-1.1842252524820889,-1.185340176603314,-1.1861572513451304,-1.1878427657778081,-1.1907326368190192,1
2017-02-10,-1.1794677129362383,-1.1806958764817999,-1.1811123442317273,-1.1813422862607725,-1.182926709243483,-1.1840670506737185,-1.184825738679023,-1.1865136033465549,-1.1894274517803232,-1.1897416536547378,1
2017-02-11,-1.1791128253764493,-1.179551613675582,-1.1798489034695798,-1.18165834154593,-1.1827685954825404,-1.1835528947965148,-1.1851818880112246,-1.1880973900195526,-1.1884370230287513,-1.1894641783687387,1
2017-02-12,-1.1779692987949066,-1.178288978854928,-1.1801647636601167,-1.1815003139033515,-1.1822547257594773,-1.1839088488653482,-1.1867647739321203,-1.187107523348929,-1.188159702978311,-1.1892659817358828,0
2017-02-13,-1.1767074763601009,-1.1786046375600914,-1.1800068335648484,-1.1809867240649705,-1.1826104817215979,-1.1854908669490525,-1.1857754702315606,-1.1868303606811543,-1.1879616172279968,-1.189781292981309,1
2017-02-14,-1.1770229319688024,-1.1784468082075097,-1.1794935607552257,-1.1813422862607725,-1.1841916193310233,-1.1845021056467373,-1.1854984651954035,-1.1866323873470297,-1.1884766401788143,-1.1828047715047683,0
2017-02-15,-1.1768652041644516,-1.177933862811619,-1.1798489034695798,-1.1829225626865603,-1.1832034083251326,-1.1842252524820889,-1.1853006044552918,-1.187147118015754,-1.1815040217677486,-1.183240804097052,0
2017-02-16,-1.176352588800312,-1.178288978854928,-1.1814282044222644,-1.1819348899204432,-1.182926709243483,-1.184027500221626,-1.1858150423795828,-1.180178456654564,-1.18193981041844,-1.1833200827501946,0
2017-02-17,-1.1767074763601009,-1.1798672723807457,-1.1804411413268365,-1.18165834154593,-1.182729067042305,-1.18454165609883,-1.1788503443276417,-1.1806139979896382,-1.182019044718566,-1.1841921479347621,1
2017-02-18,-1.1782847544036081,-1.1788808389271097,-1.1801647636601167,-1.1814608069927068,-1.183242936765368,-1.177580776530531,-1.1792856379558878,-1.1806931873232882,-1.182890622019949,-1.1836768366893358,0
2017-02-19,-1.1772989556264162,-1.1786046375600914,-1.1799673510410311,-1.1819743968310878,-1.1762859312838962,-1.1780158315035494,-1.1793647822519326,-1.1815642699934368,-1.1823755990691318,-1.1838750333221921,0
2017-02-20,-1.1770229319688024,-1.1784073508693644,-1.1804806238506536,-1.175021180557622,-1.1767207441264882,-1.1780949324077348,-1.1802353695084253,-1.1810495393247127,-1.1825736848194461,-1.1851831310990435,1
2017-02-21,-1.1768257722133642,-1.178920296265255,-1.1735316996588419,-1.1754557565747137,-1.1767998010069596,-1.178965042353772,-1.1797209315841342,-1.1812475126588373,-1.183881050771521,-1.1842317872613333,0
2017-02-22,-1.1773383875775039,-1.1719758047516575,-1.1739660074208298,-1.175534770396003,-1.1776694266921435,-1.1784508864765681,-1.1799187923242462,-1.1825541366640604,-1.1829302391700118,-1.1845092625473321,1
2017-02-23,-1.1703983641860727,-1.172409835471257,-1.1740449724684643,-1.176403922430186,-1.1771555569690801,-1.1786486387370314,-1.181224673208985,-1.1816038646602618,-1.183207559220452,-1.182448017565627,0
2017-02-24,-1.170832115648037,-1.1724887501475483,-1.1749135879924406,-1.1758903325918053,-1.1773531991702584,-1.1799538036560873,-1.1802749416564475,-1.1818810273280362,-1.1811474674171827,-1.1826462141984833,1
2017-02-25,-1.1709109795502126,-1.1733568115867479,-1.1744003151828182,-1.1760878671450288,-1.1786576376980344,-1.1790045928058648,-1.1805519466926044,-1.1798221046531394,-1.181345553167497,-1.180743526523063,1
2017-02-26,-1.1717784824741413,-1.1728438661908571,-1.1745977278019037,-1.1773915951963034,-1.1777089551323792,-1.179281445970513,-1.17849419499544,-1.180020077987264,-1.1794439299644792,-1.1768985118456514,1
2017-02-27,-1.1712658671100016,-1.1730411528815843,-1.1759006510878685,-1.1764434293408308,-1.1779856542140286,-1.1772248224616975,-1.178692055735552,-1.1781195339796668,-1.1756010664083807,-1.173410251107381,1
