date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2017-01-20,-1.189329706729605,-1.1898877950702704,-1.1859579441553851,-1.1813576756041084,-1.1866551039050968,-1.188076806196099,-1.1910089507357615,-1.1908415081141335,-1.1922398634904323,-1.1929469520113725,-1.197859252770846,-1.1989349820525954,-1.2009069072202638,-1.2029787628715458,-1.2035319096760695,-1.2058849257851607,-1.2046156257006964,-1.2062065719602346,-1.2069027592413157,-1.2074789279519589,1
2017-01-21,-1.1885052854862612,-1.1845848405344208,-1.1799837258286463,-1.1852903739575156,-1.1866551039050968,-1.1895729869360723,-1.1893542824085146,-1.1906838231922214,-1.1913720432899635,-1.1962231080600274,-1.1973062838586725,-1.1992906966792842,-1.2013815049895964,-1.201989372229121,-1.204561532686179,-1.2032697810169655,-1.204893149703939,-1.2055322038755878,-1.2061089205715387,-1.2062477577123931,0
2017-01-22,-1.183205434636193,-1.1786141065385014,-1.1839141326225535,-1.1852903739575156,-1.188150391779826,-1.187919313486628,-1.189196694948777,-1.1898165561217044,-1.1946460922280953,-1.1956705034253146,-1.1976617638736413,-1.1997649828482022,-1.2003927596368202,-1.2030183384972428,-1.201947874275901,-1.2035471448560164,-1.2042191628389214,-1.2047388296583557,-1.2048784706333844,-1.2070817762617765,1
2017-01-23,-1.177238195160561,-1.1825422210095011,-1.1839141326225535,-1.1867847993318104,-1.186497705181441,-1.1877618207771572,-1.188329963920219,-1.1930885182513815,-1.1940938430096153,-1.196025749261916,-1.198135737226933,-1.1987768866629562,-1.2014210548037074,-1.2004063472012416,-1.2022250804709305,-1.2028735469611784,-1.2034262371153708,-1.2035090996216462,-1.2057120012366502,-1.2066051942335576,0
2017-01-24,-1.1811640106050558,-1.1825422210095011,-1.1854076872042383,-1.1851330660233792,-1.1863403064577855,-1.1868956108750675,-1.1915999037097782,-1.192536621024689,-1.1944488603643526,-1.196499410377384,-1.1971482927409087,-1.199804506695612,-1.1988107670723782,-1.2006833765811205,-1.2015518654258592,-1.202081078849604,-1.2021972022438676,-1.2043421425497398,-1.205235698034784,-1.2073597824449043,0
2017-01-25,-1.1811640106050558,-1.1840349045084808,-1.183756916350797,-1.184975758089243,-1.185474613477679,-1.1901635845965879,-1.191048347600696,-1.1928914120989915,-1.1949222168373357,-1.1955126163868253,-1.198175235006374,-1.1971959327665624,-1.1990876157711556,-1.200010590944272,-1.2007598477257748,-1.2008527532766637,-1.2030297742535958,-1.2038661180194006,-1.2059898447710722,-1.2075980734590137,0
2017-01-26,-1.182655820473964,-1.182385096430661,-1.183599700079041,-1.1841105644514933,-1.188740636993535,-1.1896123601134398,-1.1914029193851061,-1.193364466864728,-1.193936057518621,-1.1965388821370064,-1.1955683815632698,-1.1974725996984315,-1.198415268931268,-1.199219078430332,-1.1995322202906442,-1.2016848447938169,-1.2025540188194654,-1.204619823525771,-1.2062279963720053,-1.2075186431209775,0
2017-01-27,-1.1810069779872758,-1.1822279718518212,-1.1827350105843812,-1.1873747040848213,-1.1881897414607399,-1.1899667187097493,-1.1918756817643195,-1.192378936102777,-1.1949616632100841,-1.1939337460019313,-1.1958448660193566,-1.1968006942924643,-1.197624272649047,-1.1979922340337255,-1.200363838875733,-1.2012093639268724,-1.2033072982568382,-1.2048578357909405,-1.2061486125050276,-1.2077172189660685,0
2017-01-28,-1.1808499453694963,-1.1813637866682012,-1.1859972482233243,-1.1868241263153443,-1.1885438885889654,-1.190439196838162,-1.1908907601409582,-1.193403888095206,-1.192358202608678,-1.1942100483192877,-1.1951734037688604,-1.1960102173442673,-1.1963982284116044,-1.1988233221733624,-1.1998886282556824,-1.2019622086328678,-1.2035451759739035,-1.2047784983692174,-1.2063470721724718,-1.207637788628032,0
2017-01-29,-1.1799862659717073,-1.1846241216791307,-1.1854469912721772,-1.1871780691671512,-1.1890160847599325,-1.189454867403969,-1.1919150786292538,-1.1908020868836555,-1.192634327217918,-1.193539028405708,-1.1943834481800408,-1.1947849780745623,-1.1972287745079366,-1.1983484146649985,-1.2006410450707623,-1.2021999490663402,-1.2034658834015484,-1.2049768419235252,-1.2062676883054941,-1.207955509980178,1
2017-01-30,-1.183244692790638,-1.184074185653191,-1.1858007278836291,-1.18764999296956,-1.1880323427370842,-1.1904785700155298,-1.18931488554358,-1.1910780354970016,-1.1919637388811923,-1.1927495932132606,-1.1931590170173707,-1.1956149788701689,-1.196754176738604,-1.1991003515532412,-1.2008786503807876,-1.2021207022551827,-1.2036641148324358,-1.204897504501802,-1.206585223773405,-1.2075980734590137,1
2017-01-31,-1.1826950786284087,-1.184427715955581,-1.1862723766988978,-1.1866668183812081,-1.1890554344408464,-1.1878799403092604,-1.1895906635981213,-1.190407874578875,-1.1911748114262206,-1.1915259686649677,-1.1939884703856314,-1.195140692701251,-1.1975056232067138,-1.199337805307423,-1.2007994486107791,-1.2023188192830763,-1.203584822260081,-1.205214854188695,-1.2062279963720053,-1.2069626307547217,1
2017-02-01,-1.1830484020184133,-1.184899089692101,-1.1852897750004212,-1.187689319953094,-1.1864583555005273,-1.1881555525508343,-1.1889209168942358,-1.1896194499693142,-1.1899519738710147,-1.1923548756170372,-1.1935144970323397,-1.1958916458020379,-1.1977429220913802,-1.1992586540560293,-1.2009974530358,-1.2022395724719188,-1.203901992549501,-1.2048578357909405,-1.2055929254361837,-1.2069626307547217,1
2017-02-02,-1.1835194998717529,-1.183917061074351,-1.186311680766837,-1.1850937390398453,-1.1867338032669246,-1.1874862085355833,-1.1881329795955466,-1.188397391824495,-1.190780347698735,-1.1918812145015691,-1.1942649548417181,-1.1961287888864969,-1.1976638224631582,-1.199456532184514,-1.2009182512657917,-1.2025565597165486,-1.2035451759739035,-1.204223136417155,-1.2055929254361837,-1.2066051942335576,1
2017-02-03,-1.1825380460106292,-1.1849383708368109,-1.183717612282858,-1.1853690279245837,-1.186064858691388,-1.1866987449882287,-1.1869116767825787,-1.189225237664534,-1.190306991225752,-1.1926311779343937,-1.1945019415183638,-1.1960497411916773,-1.197861571533713,-1.19937738093312,-1.2012350583458253,-1.2021999490663402,-1.202910835395063,-1.204223136417155,-1.205235698034784,-1.2054534543320283,1
