date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.1910134550319125,-1.1917095926275953,-1.18789845580572,-1.1834356310859473,-1.188814175639702,-1.1902816518494606,-1.1932088019866163,-1.1930286137215438,-1.1943233082850937,-1.1948246876669713,-1.199410024033907,-1.2002018619436625,-1.2019214794446722,-1.2037569476278707,-1.204189309799798,-1.2066328278504679,-1.2054412035921414,-1.2071027987187393,-1.2077936329730445,-1.2084235330383877,-1.2086406417995854,-1.2109055427635704,-1.211864713219615,-1.2140418441215155,-1.2157265670119917,-1.217099333878517,-1.218799043442154,-1.2202366960497786,-1.2221218135358376,-1.2234117607546828,-1.224443799376991,-1.2261735621289505,-1.2275298868905151,-1.228077868159221,-1.228480728056671,-1.230412458959707,-1.2316375520262766,-1.232526053945602,-1.234262419891185,-1.237297469324753,1
2017-02-10,-1.1901955483756959,-1.1864483079400983,-1.1819710152560172,-1.187337662413639,-1.188814175639702,-1.1917662497247583,-1.1915669335303722,-1.1928721491268752,-1.1934622268663324,-1.1980752073191405,-1.198861429395516,-1.2005547332781734,-1.2023922500318176,-1.2027756016966815,-1.2052105240844169,-1.2040389472798592,-1.205716477000983,-1.2064338810600053,-1.2070062109149786,-1.2072022914908207,-1.209468440152124,-1.2104322263527236,-1.2126145878238495,-1.214278790600469,-1.2156475362543784,-1.2172970326883201,-1.218719913821672,-1.2205534166749332,-1.2217652694765715,-1.2227774744724145,-1.224443799376991,-1.225816281008574,-1.226377843248482,-1.2268057631383733,-1.228798973424917,-1.2302532295175337,-1.2311197473400333,-1.232884750990653,-1.2358575775635332,-1.2362998811459018,1
2017-02-11,-1.184937577014303,-1.1805244911067683,-1.1858706471966112,-1.187337662413639,-1.1902978606020709,-1.190125378388903,-1.191410565105968,-1.1920115938561973,-1.1967108522189311,-1.197526926895883,-1.1992140973773389,-1.2010252283908542,-1.2014114779752647,-1.2037962014651182,-1.202618210900384,-1.2043140558252268,-1.2050479558652247,-1.2056469191085535,-1.2057857067249769,-1.2080295841520758,-1.208995412522102,-1.2111816440032313,-1.2128513903304496,-1.2141998084408179,-1.2158451131484118,-1.217217953164399,-1.2190364323036005,-1.2201971059716343,-1.2211314133712088,-1.2227774744724145,-1.2240867690211652,-1.2246650418429166,-1.2251066226779626,-1.2271237893935851,-1.228639850740794,-1.22973573383047,-1.2314782275074323,-1.23447896007977,-1.2348606040183157,-1.2360205564558233,1
2017-02-12,-1.1790174907407347,-1.1844217390234328,-1.1858706471966112,-1.1888204343181619,-1.1886579982752419,-1.1899691049283454,-1.190550538771745,-1.1952582341955726,-1.196162891316083,-1.1978793928822629,-1.1996843213531028,-1.2000450302394357,-1.2024314809140797,-1.2012054482067789,-1.2028931532077813,-1.2036459350721913,-1.2042614604113913,-1.204427128083803,-1.206612499885946,-1.2075568454885015,-1.2097443729363035,-1.2114183022086547,-1.2127724561615831,-1.2143972638399458,-1.2157660823907983,-1.217534271260084,-1.218680349011431,-1.219563664721325,-1.2211314133712088,-1.2224206884386388,-1.2229363378746145,-1.2233947089704669,-1.2254244278205924,-1.2269647762659794,-1.2281227020173946,-1.2300940000753602,-1.233071472695873,-1.233482579399072,-1.2345814514256543,-1.2358210388200532,1
2017-02-13,-1.1829122843417665,-1.1844217390234328,-1.187352507334037,-1.1871815811605313,-1.1885018209107823,-1.1891096008952782,-1.193795183578132,-1.1947106081142322,-1.1965151518964856,-1.1983493475307694,-1.1987046880702614,-1.201064436316911,-1.1998422426847801,-1.2014802250675116,-1.2022254361755307,-1.2028599106568552,-1.2030423924579496,-1.2052534381328277,-1.2061400466511065,-1.2083053483724941,-1.2099808867513147,-1.2113394161401803,-1.2129697915837498,-1.2143182816802947,-1.216082205421252,-1.2171784134024382,-1.218047312047574,-1.219563664721325,-1.2207748693119427,-1.2212710445520276,-1.2216668966094555,-1.2237122921885792,-1.2252655252492777,-1.22644798360126,-1.228480728056671,-1.231686294497095,-1.2320756944530977,-1.2332035928084764,-1.234382056716611,-1.2363397846730557,1
2017-02-14,-1.1829122843417665,-1.1859026932317651,-1.1857146619189873,-1.1870254999074237,-1.1876428454062526,-1.1923522752018494,-1.1932478940927174,-1.195062653452237,-1.1969848326703554,-1.197370275346381,-1.1997235066844163,-1.198476713197166,-1.200116858860615,-1.2008129098343032,-1.2014398867258236,-1.2016415728130845,-1.2038682126844749,-1.2047812609619566,-1.206888097606269,-1.2085417177042814,-1.2099020488129777,-1.2115366313113662,-1.2128908574148831,-1.2146342103188996,-1.2157265670119917,-1.2165457772110677,-1.218047312047574,-1.2192073540180264,-1.219626005120973,-1.2200024719874911,-1.221984256925745,-1.2235535005795233,-1.2247490918925041,-1.2268057631383733,-1.2300719548979007,-1.2306911104835108,-1.2317968765451204,-1.233004316672337,-1.2349004829601242,-1.229316763893944,0
2017-02-15,-1.1843923059101584,-1.1842658491067661,-1.1855586766413637,-1.1861670530153314,-1.1908835257187955,-1.1918053180898978,-1.193599723047627,-1.1955320472362432,-1.1960063310581268,-1.1983885104181449,-1.1971372748177151,-1.198751168679563,-1.1994499338621594,-1.200027833089352,-1.2002222850787778,-1.2024668984491873,-1.2033963154121747,-1.2055288748158357,-1.2071243242236886,-1.208462927927019,-1.21009914365882,-1.2114577452428918,-1.2132065940903503,-1.214278790600469,-1.2150943209510845,-1.2165457772110677,-1.2176912287554047,-1.2180592417518408,-1.218358292910248,-1.220319615128625,-1.2218255767676003,-1.2230374278500906,-1.2251066226779626,-1.228395894414433,-1.2290774381221323,-1.230412458959707,-1.2315977208965656,-1.2335224346262998,-1.227881789201792,-1.2297557026926382,0
2017-02-16,-1.1827564925977252,-1.1841099591900996,-1.1847007576144328,-1.1894057390173154,-1.190336904943186,-1.1921569333761526,-1.1940688283208396,-1.1945541435195637,-1.1970239727348444,-1.1958037598513596,-1.1974115721369107,-1.198084633936599,-1.198665316216917,-1.1988109641346774,-1.2010471120009703,-1.2019952837999859,-1.2041434860933165,-1.2057649634012713,-1.2070455820178823,-1.2086599023701747,-1.210020305720483,-1.2117732895167896,-1.2128513903304496,-1.2136469333232591,-1.2150943209510845,-1.216189919353422,-1.2165438492584137,-1.2167923592512224,-1.2186752209629292,-1.2201610435580583,-1.2213098662536295,-1.2233947089704669,-1.2266956483911118,-1.2274020623668958,-1.228798973424917,-1.2302134221569905,-1.2321155255828087,-1.2265079146341864,-1.2283204575616875,-1.2298355097469464,0
2017-02-17,-1.182600700853684,-1.1832525646484333,-1.1879374521251258,-1.1888594546314386,-1.1906883040132208,-1.1926257537578255,-1.1930915256683132,-1.1955711633849102,-1.194440728478561,-1.1960779000629884,-1.1967454215045787,-1.197300475415464,-1.1974491588667915,-1.1996352947168762,-1.200575782331146,-1.202742006994555,-1.2043794347294665,-1.2056862672061261,-1.2072424375323985,-1.2085811125929125,-1.210335657473831,-1.2114183022086547,-1.2122199169795154,-1.2136469333232591,-1.2147386825418243,-1.2150432662565631,-1.2152777753307,-1.217109079876377,-1.218516756936589,-1.2196456859537153,-1.2216668966094555,-1.2249826250610292,-1.2257025073203938,-1.2271237893935851,-1.2286000700697635,-1.2307309178440542,-1.2251052467536707,-1.2269463221336934,-1.228400215445305,-1.2307133873443352,0
2017-02-18,-1.181743846261457,-1.1864872804192648,-1.1873915036534428,-1.189210637450931,-1.1911568361066005,-1.1916490446293402,-1.1941079204269407,-1.1929894975728765,-1.194714708929985,-1.1954121309776045,-1.1959617148783057,-1.196085029707705,-1.198273007394296,-1.1991642486699055,-1.2013220543083676,-1.2029778143191556,-1.2043007851840832,-1.2058830076939888,-1.2071636953265918,-1.208896271701962,-1.2099808867513147,-1.2107872136608586,-1.2122199169795154,-1.2132915136048288,-1.21359273655643,-1.2137779938738225,-1.2155942938126283,-1.2169507195637999,-1.218001748850982,-1.2200024719874911,-1.2232536981909046,-1.2239901775044277,-1.2254244278205924,-1.226925022984078,-1.229117218793163,-1.2237248223884218,-1.2255433891804917,-1.2270260325881492,-1.2292775521650965,-1.2301946414913327,0
