date,price 1,price 2,price 3,price 4,price 5,transaction
2019-01-05,140.82,155.05,149.14,154.58,155.64,1
2019-01-06,155.05,149.14,154.58,155.64,157.75,0
2019-01-07,149.14,154.58,155.64,157.75,151.7,0
2019-01-08,154.58,155.64,157.75,151.7,150.36,1
2019-01-09,155.64,157.75,151.7,150.36,150.8,0
2019-01-10,157.75,151.7,150.36,150.8,128.63,0
2019-01-11,151.7,150.36,150.8,128.63,127.55,0
2019-01-12,150.36,150.8,128.63,127.55,125.97,0
2019-01-13,150.8,128.63,127.55,125.97,116.9,1
2019-01-14,128.63,127.55,125.97,116.9,129.07,0
2019-01-15,127.55,125.97,116.9,129.07,122.03,1
2019-01-16,125.97,116.9,129.07,122.03,123.55,1
2019-01-17,116.9,129.07,122.03,123.55,123.74,0
2019-01-18,129.07,122.03,123.55,123.74,121.01,1
2019-01-19,122.03,123.55,123.74,121.01,124.52,0
