date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2017-01-30,-1.1844164783087863,-1.1840081889746679,-1.1862069009671088,-1.1847216526732838,-1.195535851500895,-1.204400410493241,-1.2046726253585776,-1.2061599280574853,-1.2031184745533008,-1.2003810245813453,-1.2144454812454275,-1.2146687565129148,-1.2178172856657734,-1.2196627550985057,-1.221216510811134,-1.2237514388091135,-1.2251899691393142,-1.228958312449385,-1.2308363301691898,-1.232539033003834,-1.2345403718676662,-1.2376683825753674,-1.239801325493972,-1.242647281596464,-1.2457408739451157,-1.245589422557452,-1.2468676367477851,-1.2488296799463767,-1.2506141280263794,-1.2495545439958784,1
2017-01-31,-1.1821489274059225,-1.1843323529779186,-1.182800775755529,-1.1936488292076803,-1.2025202184359165,-1.2027749784002943,-1.20418464232741,-1.20111372449138,-1.1983943330766647,-1.2124446099075292,-1.2126509286578275,-1.2158116007555875,-1.2176539000482112,-1.2191722299689292,-1.2217074073998624,-1.2230964135534423,-1.226828786731352,-1.2286302964904514,-1.230343923572683,-1.232374769490463,-1.2355267220113457,-1.2376683825753674,-1.2406245696673812,-1.243965486902385,-1.2437621455338133,-1.2450943775982544,-1.2470327704375765,-1.2488296799463767,-1.2478027848772746,-1.2485615948584632,0
2017-02-01,-1.182472863249189,-1.1809286309437868,-1.1917215798810945,-1.2006282581345724,-1.200895947055679,-1.2022873487724102,-1.1991421510053466,-1.1963930824456688,-1.2104490389135985,-1.2106513742509344,-1.2137929166681183,-1.2156483372923486,-1.217163743195524,-1.2196627550985057,-1.2210528786148913,-1.2247339766926204,-1.2265010232129445,-1.2281382725520509,-1.2301797880405139,-1.2333603505706874,-1.2355267220113457,-1.238490982673407,-1.2419417603448364,-1.2419881789435034,-1.2432674634309877,-1.2452593925846536,-1.2470327704375765,-1.2460203693474952,-1.246810546118767,-1.2485615948584632,1
2017-02-02,-1.1790715368948934,-1.1898431410331791,-1.1986960267429,-1.1990051351283184,-1.2004086656416078,-1.197248509284275,-1.1944249817040613,-1.2084388587002424,-1.2086571231810812,-1.2117925242142218,-1.2136297755237908,-1.2151585469026316,-1.2176539000482112,-1.2190087215924037,-1.2226892005773191,-1.224406464064785,-1.2260093779353332,-1.227974264572584,-1.2311646012335276,-1.2333603505706874,-1.236348680464412,-1.2398071428302706,-1.2399659743286537,-1.241493851953783,-1.243432357465263,-1.2452593925846536,-1.2442254977111218,-1.2450288479596545,-1.246810546118767,-1.2483961033355606,0
2017-02-03,-1.1879797725847148,-1.1968126671030679,-1.1970740623564338,-1.1985181982264423,-1.1953734243628713,-1.192534756214729,-1.2064618964728582,-1.206648270338076,-1.2097974331926828,-1.211629502790895,-1.213140352090809,-1.2156483372923486,-1.217000357577962,-1.220643805357659,-1.2223619361848337,-1.2239151951230314,-1.2258454961761294,-1.228958312449385,-1.2311646012335276,-1.2341816681375408,-1.237663813989318,-1.2378329025949755,-1.239472027824608,-1.2416586276170232,-1.243432357465263,-1.2424541378158673,-1.243234695572373,-1.2450288479596545,-1.246645172992349,-1.2485615948584632,0
2017-02-04,-1.1949443932149388,-1.1951918470868148,-1.196587473040494,-1.193486516907055,-1.1906630373601825,-1.2045629537025357,-1.2046726253585776,-1.2077877356594544,-1.209634531762454,-1.2111404385209146,-1.2136297755237908,-1.2149952834393927,-1.218634213753585,-1.220316788604608,-1.2218710395961052,-1.2237514388091135,-1.226828786731352,-1.228958312449385,-1.2319852788943724,-1.2354957762445065,-1.235691113701959,-1.2373393425361516,-1.2396366766592901,-1.2416586276170232,-1.2406291588825848,-1.2414640478974721,-1.243234695572373,-1.2448635943950144,-1.246810546118767,-1.2488925779042683,0
2017-02-05,-1.1933247139986076,-1.1947056010819388,-1.1915593834424478,-1.1887794601889186,-1.2026826455739403,-1.2027749784002943,-1.2058112524313014,-1.2076249548992575,-1.2091458274717675,-1.211629502790895,-1.212977210946482,-1.2166279180717825,-1.2183074425184606,-1.2198262634750314,-1.2217074073998624,-1.2247339766926204,-1.226828786731352,-1.229778352346719,-1.2332983631517243,-1.2335246140840581,-1.2351979386301193,-1.2375038625557597,-1.2396366766592901,-1.2388574413419409,-1.2396397946769337,-1.2414640478974721,-1.2430695618825816,-1.2450288479596545,-1.2471412923716028,-1.2492235609500733,0
2017-02-06,-1.1928388102337084,-1.189681059031554,-1.186855686721695,-1.2007905704351978,-1.200895947055679,-1.203912780865357,-1.205648591420912,-1.2071366126186667,-1.209634531762454,-1.2109774170975878,-1.2146086223897545,-1.2163013911453044,-1.2178172856657734,-1.2196627550985057,-1.2226892005773191,-1.2247339766926204,-1.227648195527371,-1.2310904161824536,-1.2313287367656967,-1.233031823543946,-1.2353623303207326,-1.2375038625557597,-1.2368376464696982,-1.2378687873625,-1.2396397946769337,-1.2412990329110727,-1.243234695572373,-1.2453593550889346,-1.2474720386244387,-1.2492235609500733,0
2017-02-07,-1.1878178046630816,-1.1849806809844197,-1.1988582231815468,-1.1990051351283184,-1.2020329370218452,-1.2037502376560623,-1.2051606083897448,-1.2076249548992575,-1.2089829260415388,-1.2126076313308558,-1.2142823401011,-1.2158116007555875,-1.2176539000482112,-1.220643805357659,-1.2226892005773191,-1.2255527582622094,-1.2289592496010016,-1.229122320428852,-1.2308363301691898,-1.2331960870573169,-1.2353623303207326,-1.2347070222224248,-1.2358497534616069,-1.2378687873625,-1.2394749006426584,-1.2414640478974721,-1.2435649629519558,-1.2456898622182149,-1.2474720386244387,-1.2492235609500733,0
2017-02-08,-1.1831207349357213,-1.1969747491046931,-1.1970740623564338,-1.2001413212326961,-1.2018705098838214,-1.203262608028178,-1.205648591420912,-1.20697383185847,-1.2106119403438271,-1.2122815884842022,-1.2137929166681183,-1.2156483372923486,-1.218634213753585,-1.220643805357659,-1.223507361558533,-1.2268628087735522,-1.226992668490556,-1.2286302964904514,-1.231000465701359,-1.2331960870573169,-1.2325676715803076,-1.2337199021047773,-1.2358497534616069,-1.23770401169926,-1.2396397946769337,-1.2417940778702703,-1.2438952303315387,-1.2456898622182149,-1.2474720386244387,-1.2495545439958784,0
2017-02-09,-1.195106361136572,-1.1951918470868148,-1.1982094374269603,-1.1999790089320705,-1.20138322846975,-1.2037502376560623,-1.2049979473793557,-1.208601639460439,-1.2102861374833696,-1.2117925242142218,-1.2136297755237908,-1.2166279180717825,-1.218634213753585,-1.2214613472402867,-1.2248164191284756,-1.2248977330065385,-1.2265010232129445,-1.2287943044699183,-1.231000465701359,-1.2304036073300149,-1.2315813214366282,-1.2337199021047773,-1.235685104626925,-1.2378687873625,-1.2399695827454842,-1.2421241078430687,-1.2438952303315387,-1.2456898622182149,-1.2478027848772746,-1.253195357499734,0
2017-02-10,-1.1933247139986076,-1.1963264210981919,-1.1980472409883134,-1.1994920720301945,-1.2018705098838214,-1.2031000648188837,-1.206624557483247,-1.2082760779400454,-1.2097974331926828,-1.211629502790895,-1.2146086223897545,-1.2166279180717825,-1.2194511418413967,-1.2227694142524912,-1.222852832773562,-1.224406464064785,-1.2266649049721485,-1.2287943044699183,-1.2282101616544865,-1.2294180262497907,-1.2315813214366282,-1.2335553820851692,-1.2358497534616069,-1.2381983386889803,-1.2402993708140344,-1.2421241078430687,-1.2438952303315387,-1.2460203693474952,-1.2514409936584692,-1.253526340545539,1
2017-02-11,-1.1944584894500394,-1.1961643390965664,-1.1975606516723736,-1.1999790089320705,-1.2012208013317265,-1.2047254969118304,-1.2062992354624689,-1.2077877356594544,-1.209634531762454,-1.2126076313308558,-1.2146086223897545,-1.2174442353879773,-1.2207582267818953,-1.2208073137341846,-1.2223619361848337,-1.2245702203787028,-1.2266649049721485,-1.2260061688189825,-1.2272253484614728,-1.2294180262497907,-1.231416929746015,-1.2337199021047773,-1.2361790511309707,-1.2385278900154606,-1.2402993708140344,-1.2421241078430687,-1.2442254977111218,-1.2496559477695772,-1.2517717399113049,-1.2533608490226364,0
2017-02-12,-1.1942965215284063,-1.1956780930916906,-1.1980472409883134,-1.1993297597295691,-1.202845072711964,-1.204400410493241,-1.2058112524313014,-1.2076249548992575,-1.2106119403438271,-1.2126076313308558,-1.2154243281113908,-1.2187503430938893,-1.2187975993711475,-1.220316788604608,-1.2225255683810765,-1.2245702203787028,-1.223878915065684,-1.2250221209421814,-1.2272253484614728,-1.22925376273642,-1.2315813214366282,-1.234048942143993,-1.2365083488003343,-1.2385278900154606,-1.2402993708140344,-1.2424541378158673,-1.247858438886534,-1.2499864548988573,-1.251606366784887,-1.253857323591344,0
2017-02-13,-1.1938106177635068,-1.1961643390965664,-1.1973984552337271,-1.2009528827358231,-1.2025202184359165,-1.203912780865357,-1.205648591420912,-1.208601639460439,-1.2106119403438271,-1.2134227384474898,-1.2167294572660092,-1.2167911815350214,-1.2183074425184606,-1.2204802969811337,-1.2225255683810765,-1.2217863630421,-1.2228956245104612,-1.2250221209421814,-1.2270612129293037,-1.2294180262497907,-1.2319101048178547,-1.2343779821832088,-1.2365083488003343,-1.2385278900154606,-1.2406291588825848,-1.2460844675166496,-1.2481887062661168,-1.2498212013342171,-1.2521024861641408,-1.2545192896829542,1
