date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.1791492045178198,-1.178889737727204,-1.1812188923136775,-1.1798740338737022,-1.1907627413575106,-1.1997307679291722,-1.2001866435867543,-1.2017558822548435,-1.1986865912999132,-1.1958564968247842,-1.2097284320923924,-1.209857513117897,-1.212942028897905,-1.21475196341119,-1.216285639635444,-1.2187620135386548,-1.2200647098393276,-1.2236493608805605,-1.2253669268099059,-1.2269555270444052,-1.2288673737868947,-1.231941830322866,-1.234025573674395,-1.236920092425981,-1.2403105871525344,-1.2404619614669579,-1.2420840857196305,-1.2444121620687862,-1.246614219985465,-1.2460925246900558,-1.247361535066836,-1.249586891420775,-1.2516222891352256,-1.2539758078274033,-1.2563810203820334,-1.258529323687945,-1.260399433093649,-1.262219602083068,-1.2643970871458274,-1.2698811231179787,0
2017-02-10,-1.1768942742679216,-1.1792121028906246,-1.1778316162242286,-1.1887519107666493,-1.1977086401809807,-1.1981142569383134,-1.1997013279237478,-1.1967372108762038,-1.1939882490304197,-1.2078540097228905,-1.2079437380448361,-1.210994063153705,-1.2127795442441203,-1.214264145022897,-1.216773826854429,-1.2181106074434656,-1.2216944446470683,-1.2233231695798121,-1.2248772648825372,-1.226792180360026,-1.2298482116907732,-1.231941830322866,-1.2348442104990311,-1.2382309318721227,-1.2383427904387834,-1.2399696234696094,-1.2422483279950276,-1.2444121620687862,-1.2438176339533489,-1.2451046957061997,-1.247361535066836,-1.2494219872278953,-1.2517873265021278,-1.254306149369713,-1.2567116243117091,-1.258529323687945,-1.260399433093649,-1.2625509442585774,-1.2680445775056113,-1.270212960409867,0
2017-02-11,-1.1772164071607643,-1.1758272686747107,-1.1867030536013563,-1.195692796337499,-1.196093314873197,-1.197629303641056,-1.1946863994060166,-1.192042324747799,-1.205977122407748,-1.2060705956434423,-1.2090794524387354,-1.2108316988628753,-1.2122920902827667,-1.21475196341119,-1.2161229105624491,-1.2197391226814387,-1.2213684976855204,-1.2228338826286893,-1.224714044240081,-1.2277722604663017,-1.2298482116907732,-1.232759830314839,-1.2361540294184492,-1.2362646727029105,-1.2378508412603457,-1.2401337361353921,-1.2422483279950276,-1.2416178186494373,-1.2428306035890726,-1.2451046957061997,-1.2471967639060115,-1.249586891420775,-1.2521174012359322,-1.254636490912023,-1.2567116243117091,-1.258529323687945,-1.2607305301090042,-1.2661957081891786,-1.268376167538319,-1.270047041763923,0
2017-02-12,-1.173834011785917,-1.1846923106687708,-1.1936389046416565,-1.1940786369024177,-1.1956087172808618,-1.1926181195693935,-1.1899950146636227,-1.2040223790064872,-1.2041949925813884,-1.2072054955121818,-1.2089172075253212,-1.210344605990386,-1.2127795442441203,-1.2141015388934662,-1.2177502012923993,-1.219413419633844,-1.220879577243198,-1.222670786978315,-1.225693368094818,-1.2277722604663017,-1.2306655766106718,-1.2340686303019963,-1.2341893010393223,-1.2357731079106076,-1.238014824319825,-1.2401337361353921,-1.2394562093132793,-1.2406315797955494,-1.2428306035890726,-1.2449400575422236,-1.247361535066836,-1.249916699806534,-1.2524474759697366,-1.254636490912023,-1.2567116243117091,-1.2588601716531753,-1.264372597277907,-1.2665270503646877,-1.2682103725219651,-1.2705447977017554,1
2017-02-13,-1.1826926663390882,-1.1916231616823088,-1.1920259160276332,-1.1935943890718934,-1.1906012088267324,-1.187930237695903,-1.2019661343511105,-1.2022415601301957,-1.2053290751981627,-1.2070433669595046,-1.2084304727850785,-1.2108316988628753,-1.2121296056289823,-1.215727600187776,-1.2174247431464094,-1.218924865062452,-1.2207166037624237,-1.2236493608805605,-1.225693368094818,-1.228588993888198,-1.23197336048251,-1.2321054303212606,-1.2336981189445406,-1.2359369628413752,-1.238014824319825,-1.2373438208170842,-1.2384707556608976,-1.2406315797955494,-1.2426660985283597,-1.2451046957061997,-1.2476910773884844,-1.250246508192293,-1.2524474759697366,-1.254636490912023,-1.2570422282413851,-1.2624994992707088,-1.2647036942932617,-1.266361379276933,-1.2687077575710264,-1.2712084722855326,1
2017-02-14,-1.1896185235352041,-1.190011335865207,-1.1915420194434263,-1.1885904948231412,-1.1859167654341594,-1.1998924190282583,-1.2001866435867543,-1.2033748085060174,-1.2051670633957663,-1.2065569813014734,-1.2089172075253212,-1.2101822416995565,-1.2137544521668278,-1.215402387928914,-1.2169365559274243,-1.2187620135386548,-1.2216944446470683,-1.2236493608805605,-1.226509471307099,-1.2298957673632325,-1.230011684674753,-1.2316146303260769,-1.233861846309468,-1.2359369628413752,-1.235227112308678,-1.2363591448223874,-1.2384707556608976,-1.2404672066532345,-1.2428306035890726,-1.2454339720341516,-1.248020619710133,-1.250246508192293,-1.2524474759697366,-1.2549668324543328,-1.2606788714678199,-1.262830347235939,-1.2645381457855842,-1.2668583925401968,-1.269370937636442,-1.2703788790558115,1
2017-02-15,-1.1880078590709913,-1.1895277881200763,-1.1865417547399542,-1.1839094324614055,-1.197870172711759,-1.1981142569383134,-1.2013190468004353,-1.2032129158809,-1.2046810279885771,-1.2070433669595046,-1.2082682278716645,-1.2118058846078539,-1.2134294828592587,-1.2149145695406212,-1.216773826854429,-1.2197391226814387,-1.2216944446470683,-1.2244648391324315,-1.2278152364467487,-1.227935607150681,-1.2295212657228138,-1.2317782303244715,-1.233861846309468,-1.2331514290183245,-1.2342432139518025,-1.2363591448223874,-1.2383065133855007,-1.2406315797955494,-1.2431596137104979,-1.2457632483621037,-1.248020619710133,-1.250246508192293,-1.2527775507035412,-1.258600589419741,-1.2610094753974956,-1.2626649232533238,-1.2650347913086164,-1.2675210768912153,-1.2685419625546728,-1.2697152044720343,1
2017-02-16,-1.1875246597317273,-1.1845311280870607,-1.1818640877592868,-1.1958542122810072,-1.196093314873197,-1.1992458146319145,-1.2011572749127666,-1.2027272380055476,-1.2051670633957663,-1.2063948527487964,-1.2098906770058064,-1.2114811560261944,-1.212942028897905,-1.21475196341119,-1.2177502012923993,-1.2197391226814387,-1.222509312050939,-1.2257696043354254,-1.2258565887372743,-1.2274455670975433,-1.2296847387067935,-1.2317782303244715,-1.2310784811057052,-1.2321682994337184,-1.2342432139518025,-1.2361950321566044,-1.2384707556608976,-1.2409603260801785,-1.2434886238319234,-1.2457632483621037,-1.248020619710133,-1.2505763165780526,-1.2564083727753903,-1.2589309309620509,-1.2608441734326576,-1.2631611952011692,-1.2656969853393263,-1.2666927214524424,-1.2678787824892574,-1.270047041763923,0
2017-02-17,-1.182531599892667,-1.1798568332174653,-1.1938002035030588,-1.1940786369024177,-1.1972240425886456,-1.1990841635328287,-1.2006719592497603,-1.2032129158809,-1.204519016186181,-1.2080161382755674,-1.209566187178978,-1.210994063153705,-1.2127795442441203,-1.215727600187776,-1.2177502012923993,-1.2205533803004252,-1.223813099897132,-1.2238124565309347,-1.2253669268099059,-1.2276089137819226,-1.2296847387067935,-1.2289970303517628,-1.230096116916142,-1.2321682994337184,-1.2340792308923232,-1.2363591448223874,-1.2387992402116914,-1.2412890723648078,-1.2434886238319234,-1.2457632483621037,-1.2483501620317816,-1.2542042088214032,-1.2567384475091945,-1.258765760190896,-1.2613400793271714,-1.26382289113163,-1.2648692428009392,-1.266030037101424,-1.2682103725219651,-1.269383367180146,0
2017-02-18,-1.1778606729464494,-1.191784344264019,-1.1920259160276332,-1.1952085485069746,-1.1970625100578671,-1.198599210235571,-1.2011572749127666,-1.2025653453804304,-1.2061391342101442,-1.2076918811702133,-1.2090794524387354,-1.2108316988628753,-1.2137544521668278,-1.215727600187776,-1.2185638466573745,-1.2218561924908038,-1.2218574181278425,-1.2233231695798121,-1.225530147452362,-1.2276089137819226,-1.226905697979138,-1.228015430361395,-1.230096116916142,-1.2320044445029508,-1.2342432139518025,-1.236687370153953,-1.2391277247624852,-1.2412890723648078,-1.2434886238319234,-1.2460925246900558,-1.2519751275699158,-1.2545340172071622,-1.2565734101422923,-1.2592612725043606,-1.2620012871865234,-1.2629957712185542,-1.2642070487702295,-1.266361379276933,-1.2675471924565498,-1.270047041763923,0
2017-02-19,-1.1897795899816255,-1.190011335865207,-1.1931550080574493,-1.1950471325634664,-1.1965779124655318,-1.1990841635328287,-1.2005101873620916,-1.2041842716316045,-1.2058151106053516,-1.2072054955121818,-1.2089172075253212,-1.2118058846078539,-1.2137544521668278,-1.2165406308349307,-1.2198656792413347,-1.219901974205236,-1.2213684976855204,-1.2234862652301863,-1.225530147452362,-1.2248320201474747,-1.2259248600752595,-1.228015430361395,-1.2299323895512146,-1.2321682994337184,-1.2345711800707608,-1.2370155954855184,-1.2391277247624852,-1.2412890723648078,-1.2438176339533489,-1.249714564297528,-1.2523046698915643,-1.2543691130142824,-1.257068522242999,-1.2599219555889805,-1.2611747773623336,-1.2623340752880936,-1.2645381457855842,-1.2656986949259148,-1.2682103725219651,-1.2705447977017554,1
2017-02-20,-1.1880078590709913,-1.1911396139371782,-1.192993709196047,-1.194562884732942,-1.1970625100578671,-1.1984375591364853,-1.202127906238779,-1.2038604863813696,-1.2053290751981627,-1.2070433669595046,-1.2098906770058064,-1.2118058846078539,-1.2145668754357506,-1.2178414798703787,-1.2179129303653944,-1.219413419633844,-1.2215314711662943,-1.2234862652301863,-1.2227553965306068,-1.2238519400411991,-1.2259248600752595,-1.2278518303630002,-1.230096116916142,-1.2324960092952537,-1.2348991461897192,-1.2370155954855184,-1.2391277247624852,-1.2416178186494373,-1.2474367452890285,-1.2500438406254801,-1.25213989873074,-1.2548638255929212,-1.257728671710608,-1.2590961017332059,-1.2605135695029819,-1.2626649232533238,-1.2638759517548748,-1.266361379276933,-1.2687077575710264,-1.2703788790558115,1
2017-02-21,-1.1891353241959401,-1.1909784313554679,-1.19250981261184,-1.1950471325634664,-1.1964163799347536,-1.2000540701273439,-1.2018043624634416,-1.2033748085060174,-1.2051670633957663,-1.2080161382755674,-1.2098906770058064,-1.2126177060620025,-1.2158667526660272,-1.215890206317207,-1.2174247431464094,-1.2195762711576414,-1.2215314711662943,-1.2207136391738247,-1.2217760726758695,-1.2238519400411991,-1.2257613870912796,-1.228015430361395,-1.2304235716459961,-1.232823719156789,-1.2348991461897192,-1.2370155954855184,-1.2394562093132793,-1.2452340277803595,-1.247765755410454,-1.249879202461504,-1.2526342122132128,-1.2555234423644397,-1.256903484876097,-1.258435418648586,-1.2608441734326576,-1.2620032273228634,-1.2645381457855842,-1.2668583925401968,-1.2685419625546728,-1.270212960409867,1
2017-02-22,-1.1889742577495188,-1.1904948836103373,-1.192993709196047,-1.194401468789434,-1.1980317052425373,-1.1997307679291722,-1.2013190468004353,-1.2032129158809,-1.2061391342101442,-1.2080161382755674,-1.2107019015728773,-1.213916620388641,-1.2139169368206124,-1.215402387928914,-1.2175874722194044,-1.2195762711576414,-1.2187609219931348,-1.2197350652715795,-1.2217760726758695,-1.2236885933568196,-1.2259248600752595,-1.2283426303581841,-1.2307510263758505,-1.232823719156789,-1.2348991461897192,-1.2373438208170842,-1.2430695393720124,-1.2455627740649886,-1.2476012503497411,-1.250373116953432,-1.25329329685651,-1.2546989214000417,-1.2562433354084879,-1.258765760190896,-1.260182965573306,-1.2626649232533238,-1.2650347913086164,-1.2666927214524424,-1.268376167538319,-1.2697152044720343,1
2017-02-23,-1.1884910584102548,-1.1909784313554679,-1.192348513750438,-1.1960156282245151,-1.1977086401809807,-1.1992458146319145,-1.2011572749127666,-1.2041842716316045,-1.2061391342101442,-1.2088267810389528,-1.2119998608801912,-1.2119682488986836,-1.2134294828592587,-1.215564994058345,-1.2175874722194044,-1.2168077952530871,-1.21778308110849,-1.2197350652715795,-1.2216128520334133,-1.2238519400411991,-1.2262518060432188,-1.2286698303549735,-1.2307510263758505,-1.232823719156789,-1.235227112308678,-1.2409542994643061,-1.2433980239228062,-1.245398400922674,-1.2480947655318793,-1.2510316696093362,-1.2524694410523887,-1.2540393046285234,-1.2565734101422923,-1.2581050771062763,-1.2608441734326576,-1.2631611952011692,-1.2648692428009392,-1.2665270503646877,-1.2678787824892574,-1.2692174485342018,0
