date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
2017-01-10,-1.1921481982984052,-1.1919300961035164,-1.194310708747518,-1.1929001753740913,-1.203902876073118,-1.2129623970782164,-1.2132486781795353,-1.2144388949357363,-1.2110745540867667,-1.207972974936058,0
2017-01-11,-1.189861318999958,-1.1922570281280835,-1.1908754543891904,-1.201903757148739,-1.2109470922429961,-1.2113230116547136,-1.2127565045170625,-1.2093496515816158,-1.2063103646129094,-1.2201380528528727,1
2017-01-12,-1.1901880160425935,-1.188824241870131,-1.1998725491371907,-1.2089429210816456,-1.2093089024360477,-1.2108311960276628,-1.2076707100048443,-1.2045887465084064,-1.218467261891028,-1.2183297304598326,0
2017-01-13,-1.1867576970949227,-1.1978148725457207,-1.2069066413947183,-1.2073059062135278,-1.2088174454939633,-1.2057491012148038,-1.202913031267608,-1.2167372629021131,-1.2166601555388752,-1.2194804810735853,1
2017-01-14,-1.1957418657673935,-1.2048439110739095,-1.205270805985991,-1.2068148017530924,-1.2037390570924233,-1.2009948834866455,-1.2150533149419351,-1.2149314023571027,-1.217810132308427,-1.2193160881287635,0
2017-01-15,-1.2027658521840527,-1.203209250951075,-1.2047800553633727,-1.2017400556619273,-1.1989883066522733,-1.2131263356205666,-1.2132486781795353,-1.2160805863402913,-1.2176458499127765,-1.218822909294298,0
2017-01-16,-1.2011323669708762,-1.2027188529142248,-1.199708965596318,-1.1969927125443858,-1.2111109112236909,-1.2113230116547136,-1.2143970833919715,-1.2159164171998356,-1.2171530027258257,-1.2193160881287635,0
2017-01-17,-1.2006423214069233,-1.1976514065334376,-1.1949650429110088,-1.2091066225684572,-1.2093089024360477,-1.2124705814511654,-1.2142330255044804,-1.2154239097784691,-1.2176458499127765,-1.2186585163494763,0
2017-01-18,-1.195578517246076,-1.1929108921772171,-1.207070224935591,-1.2073059062135278,-1.2104556353009115,-1.2123066429088152,-1.2137408518420076,-1.2159164171998356,-1.2169887203301757,-1.2203024457976943,0
2017-01-19,-1.1908414101278642,-1.205007377086193,-1.205270805985991,-1.2084518166212102,-1.2102918163202165,-1.2118148272817642,-1.2142330255044804,-1.2152597406380137,-1.218631544286678,-1.2199736599080508,0
2017-01-20,-1.2029292007053705,-1.203209250951075,-1.2064158907721,-1.2082881151343983,-1.2098003593781321,-1.2123066429088152,-1.213576793954517,-1.2169014320425686,-1.2183029794953777,-1.2194804810735853,0
2017-01-21,-1.2011323669708762,-1.204353513037059,-1.2062523072312272,-1.2077970106739628,-1.2102918163202165,-1.211650888739414,-1.215217372829426,-1.2165730937616577,-1.217810132308427,-1.2193160881287635,0
2017-01-22,-1.2022758066200998,-1.2041900470247755,-1.205761556608609,-1.2082881151343983,-1.2096365403974374,-1.2132902741629168,-1.2148892570544443,-1.2160805863402913,-1.2176458499127765,-1.2203024457976943,0
2017-01-23,-1.2021124580987819,-1.2036996489879253,-1.2062523072312272,-1.2076333091871514,-1.2112747302043856,-1.2129623970782164,-1.2143970833919715,-1.2159164171998356,-1.218631544286678,-1.2203024457976943,1
2017-01-24,-1.201622412534829,-1.2041900470247755,-1.2055979730677364,-1.209270324055269,-1.2109470922429961,-1.2124705814511654,-1.2142330255044804,-1.2169014320425686,-1.218631544286678,-1.2211244105218033,1
2017-01-25,-1.2021124580987819,-1.203536182975642,-1.2072338084764636,-1.2089429210816456,-1.2104556353009115,-1.2123066429088152,-1.215217372829426,-1.2169014320425686,-1.2194529562649292,-1.222439554080378,1
2017-01-26,-1.2014590640135114,-1.2051708430984764,-1.2069066413947183,-1.2084518166212102,-1.2102918163202165,-1.2132902741629168,-1.215217372829426,-1.217722277744846,-1.2207672154301314,-1.2204668387425162,1
2017-01-27,-1.203092549226688,-1.2048439110739095,-1.2064158907721,-1.2082881151343983,-1.2112747302043856,-1.2132902741629168,-1.2160376622668805,-1.2190356308684902,-1.2187958266823284,-1.2199736599080508,1
2017-01-28,-1.2027658521840527,-1.204353513037059,-1.2062523072312272,-1.209270324055269,-1.2112747302043856,-1.2141099668746682,-1.217350125366808,-1.217065601183024,-1.2183029794953777,-1.2201380528528727,1
2017-01-29,-1.2022758066200998,-1.2041900470247755,-1.2072338084764636,-1.209270324055269,-1.2120938251078597,-1.2154214752134707,-1.2153814307169168,-1.2165730937616577,-1.218467261891028,-1.2201380528528727,1
2017-01-30,-1.2021124580987819,-1.2051708430984764,-1.2072338084764636,-1.2100888314893279,-1.2134043769534186,-1.2134542127052672,-1.2148892570544443,-1.2167372629021131,-1.218467261891028,-1.2173433727909018,1
2017-01-31,-1.203092549226688,-1.2051708430984764,-1.2080517261808272,-1.2113984433838223,-1.2114385491850805,-1.2129623970782164,-1.2150533149419351,-1.2167372629021131,-1.2156744611649737,-1.2163570151219707,0
2017-02-01,-1.203092549226688,-1.2059881731598936,-1.2093603945078093,-1.2094340255420808,-1.2109470922429961,-1.2131263356205666,-1.2150533149419351,-1.2139463875143697,-1.2146887667910722,-1.2163570151219707,0
