date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,transaction
2017-01-10,-1.1939143483828716,-1.1936161902144389,-1.1959192675016068,-1.1943476613043162,-1.2049945476608672,-1.2137523756766682,-1.2137846275610902,-1.2149844950353883,-1.2115640864500106,-1.208424154393198,0
2017-01-11,-1.191624008556039,-1.1939436162253712,-1.1924788345707973,-1.2033646780513119,-1.212048829478149,-1.2121107334774675,-1.2132918021596897,-1.209888502149083,-1.206793639084493,-1.2206051032086995,1
2017-01-12,-1.1919511999598724,-1.1905056431105856,-1.201489492246727,-1.2104143456898722,-1.2104082988229674,-1.2116182408177072,-1.2081992730118838,-1.2051212829973779,-1.2189665047758136,-1.2187944216280169,0
2017-01-13,-1.1885156902196232,-1.199509858411214,-1.2085341882479084,-1.2087748880995095,-1.2099161396264126,-1.2065291500001845,-1.2034352941316784,-1.2172859111775909,-1.2171570247406174,-1.2199466735429967,1
2017-01-14,-1.1975134538250374,-1.206549517646251,-1.2068958868522848,-1.2082830508224005,-1.2048304945953492,-1.2017683876225016,-1.2155916540328922,-1.215477655637289,-1.2183085120357422,-1.219782066126571,1
2017-01-15,-1.204548069007452,-1.2049123875915912,-1.2064043964335978,-1.2032007322922758,-1.2000729556953218,-1.2139165398965883,-1.2137846275610902,-1.2166283637083901,-1.2181440138507242,-1.2192882438772938,0
2017-01-16,-1.202912111988286,-1.2044212485751935,-1.2013256621071646,-1.1984463052802232,-1.2122128825436673,-1.2121107334774675,-1.2149345534976914,-1.2164639768410899,-1.2176505192956708,-1.219782066126571,1
2017-01-17,-1.202421324882536,-1.1993461454057481,-1.1965745880598562,-1.2105782914489085,-1.2104082988229674,-1.213259883016908,-1.2147702783638912,-1.2159708162391893,-1.2181440138507242,-1.2191236364608684,0
2017-01-18,-1.1973498581231208,-1.1945984682472348,-1.2086980183874707,-1.2087748880995095,-1.2115566702815945,-1.2130957187969877,-1.2142774529624905,-1.2164639768410899,-1.217486021110653,-1.2207697106251252,1
2017-01-19,-1.1926055827675388,-1.206713230651717,-1.2068958868522848,-1.2099225084127634,-1.2113926172160763,-1.2126032261372275,-1.2147702783638912,-1.2158064293718893,-1.2191310029608313,-1.2204404957922739,1
2017-01-20,-1.2047116647093687,-1.2049123875915912,-1.2080426978292211,-1.2097585626537268,-1.2109004580195217,-1.2130957187969877,-1.2141131778286904,-1.217450298044891,-1.2188020065907956,-1.2199466735429967,1
2017-01-21,-1.202912111988286,-1.206058378629853,-1.2078788676896588,-1.209266725376618,-1.2113926172160763,-1.2124390619173075,-1.2157559291666922,-1.2171215243102906,-1.2183085120357422,-1.219782066126571,0
2017-01-22,-1.2040572819017021,-1.205894665624387,-1.2073873772709718,-1.2097585626537268,-1.2107364049540037,-1.2140807041165083,-1.215427378899092,-1.2166283637083901,-1.2181440138507242,-1.2207697106251252,0
2017-01-23,-1.2038936861997853,-1.205403526607989,-1.2078788676896588,-1.209102779617582,-1.2123769356091854,-1.2137523756766682,-1.2149345534976914,-1.2164639768410899,-1.2191310029608313,-1.2207697106251252,0
2017-01-24,-1.2034028990940355,-1.205894665624387,-1.2072235471314094,-1.2107422372079446,-1.212048829478149,-1.213259883016908,-1.2147702783638912,-1.217450298044891,-1.2191310029608313,-1.2215927477072537,0
2017-01-25,-1.2038936861997853,-1.2052398136025233,-1.208861848527033,-1.2104143456898722,-1.2115566702815945,-1.2130957187969877,-1.2157559291666922,-1.217450298044891,-1.2199534938859204,-1.2229096070386594,1
2017-01-26,-1.2032393033921192,-1.206876943657183,-1.2085341882479084,-1.2099225084127634,-1.2113926172160763,-1.2140807041165083,-1.2157559291666922,-1.2182722323813917,-1.2212694793660634,-1.220934318041551,1
2017-01-27,-1.2048752604112851,-1.206549517646251,-1.2080426978292211,-1.2097585626537268,-1.2123769356091854,-1.2140807041165083,-1.2165773048356932,-1.2195873273197932,-1.2192955011458493,-1.2204404957922739,0
2017-01-28,-1.204548069007452,-1.206058378629853,-1.2078788676896588,-1.2107422372079446,-1.2123769356091854,-1.2149015252161088,-1.2178915059060949,-1.2176146849121912,-1.2188020065907956,-1.2206051032086995,0
2017-01-29,-1.2040572819017021,-1.205894665624387,-1.208861848527033,-1.2107422372079446,-1.2131972009367762,-1.2162148389754697,-1.2159202043004924,-1.2171215243102906,-1.2189665047758136,-1.2206051032086995,1
