date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,transaction
2017-02-19,-1.172856309417446,-1.1728736656827847,-1.1754009142003663,-1.174222563682143,-1.1851143868121496,-1.1941228432314774,-1.1946092654397642,-1.196183168405665,-1.1933106684197763,-1.1907634543765961,-1.2047923100568931,-1.2051033792935766,-1.2083345825291336,-1.2103148768556953,-1.2119406674892075,-1.2145204337713664,-1.216002137258726,-1.219739539160184,-1.221431831511962,-1.2228935281480309,-1.2246885506200256,-1.227632848140956,-1.2296429944923803,-1.2324907396691902,-1.235882888169176,-1.2359817069867,-1.2375072667071545,-1.2396864009233723,-1.24179008401809,-1.2411461673718993,-1.2422920190078508,-1.2444367766537778,-1.2464046499847206,-1.248691820593403,-1.2511448575558124,-1.2536381010497788,-1.2558043315579206,-1.2580227359010392,-1.2606101798914005,-1.2665791950232912,-1.2692489369399698,-1.271394465645352,-1.2741760635257589,-1.2771139851570812,-1.2784447717369956,-1.2796715759481416,-1.2819453961247742,-1.2831720393513948,-1.2857532903736493,-1.2881575193210586,1
2017-02-20,-1.1706130392453853,-1.1731943586801263,-1.172031227924216,-1.183054300299702,-1.1920242062878001,-1.1925147211941673,-1.194126467441751,-1.1911905286235214,-1.1886366195993314,-1.2026992748602847,-1.20301674494562,-1.206234142779088,-1.2081729219678192,-1.2098295231776732,-1.2124263935070343,-1.213872302204252,-1.2176237184958207,-1.219414972192903,-1.2209446089454221,-1.222730998186398,-1.225664468045938,-1.227632848140956,-1.2304575025693816,-1.2337949615868449,-1.233925020225355,-1.2354918567387674,-1.237670676807771,-1.2396864009233723,-1.239007749860263,-1.2401633818010191,-1.2422920190078508,-1.24427271715725,-1.2465688408575455,-1.24902046540244,-1.2514737663016788,-1.2536381010497788,-1.2558043315579206,-1.2583524496307998,-1.2642400325355732,-1.2669094573766748,-1.2690836666023841,-1.2718906949820883,-1.2748382607078415,-1.276285539217992,-1.277781464758342,-1.2800034845186221,-1.2812810591054642,-1.2838368883647175,-1.2862523149674374,-1.2879910487471753,1
2017-02-21,-1.1709335064128226,-1.1698270822080425,-1.1808565967427045,-1.1899591125643394,-1.190417271526021,-1.1920322845829743,-1.1891375547956144,-1.1865199946337743,-1.2005635027963286,-1.2009250312748716,-1.20414665001643,-1.2060726051383004,-1.2076879402838758,-1.2103148768556953,-1.2117787588165987,-1.2154926311220384,-1.2172994022484018,-1.2189281217419818,-1.220782201423242,-1.2237061779561944,-1.225664468045938,-1.2284467303098483,-1.2317607154925838,-1.231838628710363,-1.2334355532394,-1.235655140154745,-1.237670676807771,-1.2369062711236682,-1.2380257495692653,-1.2401633818010191,-1.2421280907574088,-1.2444367766537778,-1.2468972226031954,-1.2493491102114769,-1.2514737663016788,-1.2536381010497788,-1.2561337746412442,-1.2619793006581648,-1.2645700191395888,-1.266744326199983,-1.269579477615141,-1.2725523340977372,-1.2740105142302385,-1.2756227824667206,-1.2781131182476686,-1.2793396673776614,-1.2819453961247742,-1.2843355251247097,-1.2860859734361747,-1.2878245781732918,1
2017-02-22,-1.167568601154731,-1.178646139634928,-1.18775643054625,-1.188353342270238,-1.1899351910974874,-1.1870471062673125,-1.1844705074814865,-1.1984379089524393,-1.1987905877265046,-1.2020540953746799,-1.2039852350063143,-1.2055879922159383,-1.2081729219678192,-1.2096677386183325,-1.2133978455426881,-1.2151685653384812,-1.2168129278772735,-1.2187658382583413,-1.2217566465563223,-1.2237061779561944,-1.2264777325675316,-1.2297489417800767,-1.2298058961077807,-1.2313495454912426,-1.233598708901385,-1.235655140154745,-1.2348927050972918,-1.2359250488414197,-1.2380257495692653,-1.2399995842058724,-1.2422920190078508,-1.2447648956468333,-1.2472256043488452,-1.2493491102114769,-1.2514737663016788,-1.2539672764607401,-1.2597576485578013,-1.2623090143879252,-1.264405025837581,-1.2672397197300584,-1.2702405589654835,-1.2717252852031764,-1.2733483170481559,-1.2759541608423561,-1.2774498112690156,-1.2800034845186221,-1.2824436488892568,-1.2841693128713791,-1.285919631904912,-1.287325166451641,1
2017-02-23,-1.176381448259256,-1.1855410390777659,-1.1861518180337975,-1.1878716111820073,-1.1849536933359717,-1.1823835523591126,-1.1963795247658129,-1.1966663270942595,-1.1999188064073016,-1.2018928005032787,-1.203500989975967,-1.2060726051383004,-1.2075262797225614,-1.2112855842117398,-1.2130740281974703,-1.2146824666631453,-1.2166507697535638,-1.219739539160184,-1.2217566465563223,-1.224518827764358,-1.2277789558020817,-1.2277956245747346,-1.22931719126158,-1.2315125732309495,-1.233598708901385,-1.2328793220831273,-1.2339122444935933,-1.2359250488414197,-1.2378620828540987,-1.2401633818010191,-1.2426198755087345,-1.2450930146398889,-1.2472256043488452,-1.2493491102114769,-1.2518026750475455,-1.257588205981312,-1.2600870916411246,-1.262144157523045,-1.2649000057436044,-1.267900244436826,-1.2694142072775554,-1.2710636460875278,-1.273679415639197,-1.275291404091085,-1.2781131182476686,-1.2805013473743427,-1.2822775646344293,-1.2840031006180483,-1.285420607311124,-1.2868257547299904,0
2017-02-24,-1.1832714923591574,-1.1839375740910596,-1.185670434280062,-1.182893723270292,-1.180293582526812,-1.1942836554352085,-1.1946092654397642,-1.1977936973676464,-1.1997576323100447,-1.201408915889075,-1.2039852350063143,-1.2054264545751512,-1.209142885335706,-1.2109620150930585,-1.2125883021796433,-1.2145204337713664,-1.2176237184958207,-1.219739539160184,-1.2225686841672225,-1.2258190674574199,-1.225827120950257,-1.227307295273399,-1.2294800928769802,-1.2315125732309495,-1.2308250626476387,-1.2318996215872622,-1.2339122444935933,-1.2357615117943783,-1.2380257495692653,-1.2404909769913124,-1.2429477320096183,-1.2450930146398889,-1.2472256043488452,-1.249677755020514,-1.2554206712520772,-1.257917381392273,-1.2599223700994628,-1.2626387281176856,-1.265559978951636,-1.2670745885533667,-1.268753125927213,-1.271394465645352,-1.273017218457115,-1.2759541608423561,-1.2786105984816587,-1.2803353930891026,-1.2821114803796019,-1.2835044638580562,-1.2849215827173361,-1.286659284156107,0
2017-02-25,-1.1816691565219712,-1.1834565345950476,-1.1806961354914594,-1.1782369894173972,-1.1921848997639781,-1.1925147211941673,-1.195735794101795,-1.1976326444714482,-1.1992741100182747,-1.2018928005032787,-1.2033395749658513,-1.2070418309830244,-1.208819564213077,-1.2104766614150362,-1.2124263935070343,-1.2154926311220384,-1.2176237184958207,-1.220550956578386,-1.223867944344663,-1.2238687079178272,-1.2253391622373007,-1.2274700717071776,-1.2294800928769802,-1.2287411016559338,-1.2298461286757283,-1.2318996215872622,-1.2337488343929766,-1.2359250488414197,-1.2383530829995977,-1.2408185721816056,-1.2429477320096183,-1.2450930146398889,-1.2475539860944953,-1.253292847919921,-1.2557495799979437,-1.2577527936867925,-1.2604165347244478,-1.2632981555772067,-1.2647350124415968,-1.2664140638465993,-1.2690836666023841,-1.2707328265297035,-1.273679415639197,-1.2764512284058096,-1.2784447717369956,-1.2801694388038622,-1.2816132276151193,-1.283005827098064,-1.2847552411860736,-1.2869922253038741,0
2017-02-26,-1.1811884557708152,-1.1784857931362576,-1.176042759205347,-1.1901196895937496,-1.190417271526021,-1.1936404066202844,-1.1955748614357906,-1.1971494857828537,-1.1997576323100447,-1.201247621017674,-1.2049537250670086,-1.2067187557014498,-1.2083345825291336,-1.2103148768556953,-1.2133978455426881,-1.2154926311220384,-1.2184345091143682,-1.2218492244475099,-1.2219190540785023,-1.223381118032929,-1.2255018151416195,-1.2274700717071776,-1.2267107654151757,-1.227762935217693,-1.2298461286757283,-1.2317363381712845,-1.2339122444935933,-1.2362521229355026,-1.23868041642993,-1.2408185721816056,-1.2429477320096183,-1.2454211336329446,-1.2511661852966447,-1.253621492728958,-1.2555851256250103,-1.2582465568032342,-1.2610754208910948,-1.2624738712528054,-1.2640750392335653,-1.266744326199983,-1.2684225852520419,-1.271394465645352,-1.2741760635257589,-1.276285539217992,-1.278278944992332,-1.2796715759481416,-1.2811149748506367,-1.2828396148447334,-1.2850879242485989,-1.2869922253038741,0
2017-02-27,-1.1762212146755375,-1.1738357446748087,-1.1879168917974954,-1.188353342270238,-1.1915421258592664,-1.1934795944165533,-1.1950920634377773,-1.1976326444714482,-1.199112935921018,-1.2028605697316859,-1.2046308950467772,-1.206234142779088,-1.2081729219678192,-1.2112855842117398,-1.2133978455426881,-1.2163027955809316,-1.2197317741040443,-1.2199018226438245,-1.221431831511962,-1.2235436479945618,-1.2255018151416195,-1.224702872332943,-1.225733355722774,-1.227762935217693,-1.229682973013743,-1.2318996215872622,-1.234239064694826,-1.2365791970295852,-1.23868041642993,-1.2408185721816056,-1.2432755885105022,-1.2490304425565555,-1.2514945670422946,-1.2534571703244393,-1.2560784887438101,-1.2589049076251564,-1.2602518131827865,-1.2618144437932846,-1.264405025837581,-1.2660838014932154,-1.2690836666023841,-1.2718906949820883,-1.2740105142302385,-1.276119850030174,-1.277781464758342,-1.2791737130924212,-1.2809488905958093,-1.2831720393513948,-1.2850879242485989,-1.2874916370255247,0
2017-02-28,-1.1715744407476971,-1.1857013855764367,-1.1861518180337975,-1.1894773814761088,-1.1913814323830885,-1.1929971578053602,-1.1955748614357906,-1.1969884328866558,-1.200724676893585,-1.2025379799888836,-1.20414665001643,-1.2060726051383004,-1.209142885335706,-1.2112855842117398,-1.214207388905733,-1.217599058715161,-1.2177858766195304,-1.219414972192903,-1.2215942390341423,-1.2235436479945618,-1.222736715768201,-1.2237262137302718,-1.225733355722774,-1.2275999074779862,-1.2298461286757283,-1.2322261884192172,-1.2345658848960588,-1.2365791970295852,-1.23868041642993,-1.2411461673718993,-1.2468820100202236,-1.249358561549611,-1.2513303761694694,-1.253950137537995,-1.2567363062355432,-1.2580819690977536,-1.2595929270161395,-1.262144157523045,-1.2637450526295495,-1.266744326199983,-1.269579477615141,-1.2717252852031764,-1.2738449649347179,-1.2756227824667206,-1.2772839845243522,-1.279007758807181,-1.2812810591054642,-1.2831720393513948,-1.2855869488423868,-1.2879910487471753,1
