date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,transaction
2017-02-19,-1.0343389577937068,-1.0358101383474783,-1.0369431867328462,-1.037787976892745,-1.0399192935683692,-1.0408322124322318,-1.0418956061445503,-1.0434432467723795,-1.0448856168493361,-1.0448109815731277,-1.0467933381615477,-1.047981412434872,-1.0487778174645985,-1.0493555182632541,-1.050950974531717,-1.0520314586445763,-1.0532440514495836,-1.0547178878596464,-1.0550825258750685,-1.0571976557248866,-1.058314554134065,-1.0595062755429614,-1.0607544720995516,-1.0623775428513407,-1.0636789220775205,-1.0644456819944548,-1.0663614286164649,-1.0677459251653745,-1.0688234223590678,-1.0701204160650626,-1.0715244317356074,-1.0721721540493039,-1.0735753788605409,-1.0747805274106983,-1.075957012942297,-1.0773332776905553,-1.0785639655226027,-1.079925912687726,-1.0811919387867401,-1.0828117285580832,-1.0844482987529525,-1.085724471262878,-1.087264047584741,-1.0886472245174357,-1.089876098960141,-1.0913810278802412,-1.0929071067954388,-1.0943524146609476,-1.0965142672144508,-1.0969183925953532,0
2017-02-20,-1.0344836319803272,-1.0356196785508316,-1.0364756822527519,-1.0387260126007996,-1.0396293523868,-1.0407024380940935,-1.042234202945911,-1.0436113553008028,-1.043532414834822,-1.0455427490964135,-1.0467627261154469,-1.047539868674677,-1.0480960159997519,-1.049705535057613,-1.0507924924838024,-1.0520007691855489,-1.0534768979174665,-1.053885871613703,-1.0560020390787423,-1.0571182155660208,-1.0582966071371078,-1.0595473177677683,-1.061157400221835,-1.0624468711402844,-1.0632242057992252,-1.0651525191338593,-1.0665491559073053,-1.067591551779531,-1.0688774805821428,-1.0702929760454147,-1.0709420667211715,-1.072355202820582,-1.0735624815580314,-1.074734073558964,-1.0760861171401312,-1.0773126103447979,-1.0786751100961767,-1.0798457436466513,-1.0813575393350363,-1.0830317925582493,-1.0843343190158323,-1.0858903525576804,-1.0873107275837264,-1.08857716630966,-1.0902161931405059,-1.0916927188929084,-1.0931461921427725,-1.0953040430711898,-1.095710432725128,-1.096931406273662,0
2017-02-21,-1.0342932712084583,-1.0351524171830582,-1.0374132319981584,-1.0384362129511568,-1.0394996418582034,-1.0410408692111992,-1.0424022284262857,-1.0422588457766693,-1.04426380650745,-1.0455121525449174,-1.0463214024508278,-1.0468584109638555,-1.0484458542045607,-1.0495471332966622,-1.0507618185390448,-1.0522334975831742,-1.0526453033893128,-1.0548049295592221,-1.0559226382171438,-1.0571002774656317,-1.0583376288444384,-1.0599500445986862,-1.061226693593183,-1.061992385690542,-1.063930685892622,-1.0653401522654102,-1.0663948595038748,-1.067645582464576,-1.0690499520557628,-1.0697109080519882,-1.0711250221018127,-1.0723423120620414,-1.0735160512689967,-1.0748631120360033,-1.0760654604684778,-1.077423697328245,-1.0785949826129024,-1.0800112539249993,-1.0815774775632423,-1.0829178770758106,-1.0845001077243708,-1.0859370066718435,-1.0872407075852484,-1.0889170783547937,-1.090527729794275,-1.09193168200262,-1.0940973360245574,-1.0945006190854936,-1.0957234397556994,-1.0970381184357942,1
2017-02-22,-1.0338262527814726,-1.0360894793825604,-1.0371235824833174,-1.0383065657394746,-1.039837906570034,-1.0412088124723196,-1.0410503870614543,-1.0429898631654195,-1.0442332256709639,-1.045071052260846,-1.0456402844250863,-1.0472080727855129,-1.0482875332651582,-1.049516474891317,-1.0509944292867903,-1.0514023247345123,-1.0535638954988733,-1.054725568009609,-1.055904708990331,-1.0571412788379497,-1.0587401543476183,-1.0600193033530478,-1.060772437047679,-1.062698507152006,-1.0641182242446874,-1.0651859332531766,-1.0664488632450755,-1.067817966078768,-1.068468182607433,-1.0698937701207196,-1.0711121379200774,-1.0722959053312948,-1.0736450242940927,-1.074842465879677,-1.0761764900786153,-1.0773436113634343,-1.078760407094501,-1.08023107226343,-1.0814636271862885,-1.0830835723229943,-1.0845467357986471,-1.0858670255005987,-1.0875804342445303,-1.08922844816713,-1.0907665745621646,-1.092882339591255,-1.0932943211079686,-1.0945136194736116,-1.0958300974063864,-1.0969652418372648,0
2017-02-23,-1.0347628277790688,-1.0357999804916571,-1.0369940024372044,-1.0386446653307244,-1.0400057672541005,-1.0398576325987616,-1.0417810433170223,-1.0429592979784332,-1.0437923519449546,-1.0443902789900537,-1.045989771951403,-1.0470498316691423,-1.0482568905026934,-1.0497489677985188,-1.0501636766162703,-1.052320451050419,-1.0534845741746495,-1.0547076476596964,-1.0559456900801885,-1.057543604803818,-1.0588093784787382,-1.0595652737411214,-1.0614782028669647,-1.0628859503035948,-1.0639640831334007,-1.0652399099074583,-1.066621160895573,-1.0672364929920908,-1.068650950885448,-1.0698808925102457,-1.0710657548658304,-1.0724248129167018,-1.0736243886100774,-1.0749534389699307,-1.076096445475958,-1.0775089501294952,-1.078980111484124,-1.080117283947066,-1.0816292277345847,-1.0831301741112649,-1.0844767936872326,-1.0862065637758973,-1.087891634237766,-1.0894671650232544,-1.0917167613561607,-1.092079735233637,-1.0933073148768455,-1.0946202226561796,-1.0957572580351855,-1.0968741460891034,0
2017-02-24,-1.0344734794058277,-1.0356704678299375,-1.0373319268711856,-1.0388124440752546,-1.038655251750476,-1.0405879313251478,-1.0417504932296815,-1.0425186498660508,-1.0431119283331367,-1.044739589619636,-1.0458316097132159,-1.0470192043562967,-1.0484892647847195,-1.0489186359870837,-1.051081338796937,-1.052241169947931,-1.053466662907889,-1.0547486084594966,-1.0563478170244136,-1.0576127946196043,-1.0583555758413956,-1.06027068697999,-1.0616655516117204,-1.0627318874392753,-1.064018032522351,-1.065412121137786,-1.0660399777759848,-1.0674191681653389,-1.068638079879954,-1.069834533112539,-1.0711945966831835,-1.0724041877030368,-1.0737353054116598,-1.0748734351141664,-1.0762616988491858,-1.07772854067817,-1.078866382153025,-1.0802827942254138,-1.081675802888793,-1.083060271428859,-1.0848161424500222,-1.0865175912036518,-1.0881302208992465,-1.09041684295088,-1.090914554472705,-1.0920927223591648,-1.0934138637816355,-1.0945474204827186,-1.0956662088211846,-1.0973790768074847,0
2017-02-25,-1.0343440340809567,-1.036008216535991,-1.0374996186955672,-1.0374625878124444,-1.0393851913917946,-1.0405573961867622,-1.0413100628038514,-1.041838574455611,-1.0434610595496874,-1.0445815074369054,-1.0458009976671152,-1.0472514614787114,-1.0476593566346257,-1.0498358332803306,-1.0510020977729797,-1.0522232677634984,-1.0535076029461983,-1.055150536307537,-1.056416972613548,-1.0571592169383388,-1.0590606364361372,-1.0604579421306717,-1.0615115663420582,-1.062785809441787,-1.0641901567632879,-1.064831229525039,-1.0662225618533774,-1.0674063037165187,-1.0685917442601756,-1.0699633092172793,-1.0711739819924069,-1.072515048226487,-1.0736553421361004,-1.0750386043647766,-1.0764811759855037,-1.0776148702765032,-1.0790318066346234,-1.0803293439911992,-1.0816059401574807,-1.0833994288879387,-1.085126996278532,-1.08675604556493,-1.0890793808786148,-1.0896150656841141,-1.0909275351666121,-1.0921992167884926,-1.0933410986759253,-1.0944564177658922,-1.0961708816073614,-1.0974727752913083,0
2017-02-26,-1.0346816071830713,-1.0361758211570402,-1.0361504617448603,-1.0381921711409312,-1.0393546712674189,-1.0401171812750383,-1.040630323360518,-1.042187527007035,-1.0433030585611753,-1.0445509108854092,-1.0460331390167126,-1.0464219717558014,-1.0485760859450373,-1.0497566323998553,-1.0509842046385376,-1.0522641870422018,-1.0539093270721063,-1.0552196576572002,-1.0559636193070012,-1.057863928025051,-1.0592477979758321,-1.0603040337876457,-1.06156546118644,-1.0629578463069438,-1.0636095585774417,-1.0650137220228488,-1.0662097038197582,-1.0673599917007655,-1.0687204543151156,-1.0699427050405208,-1.0712847859553305,-1.0724351255235345,-1.0738204276082233,-1.0752579697757432,-1.0763675642914097,-1.0777802090425639,-1.079078332270073,-1.080259519342521,-1.0819449037797744,-1.0837101074764086,-1.085365317547056,-1.0877046792195815,-1.0882780408960333,-1.0896280394262947,-1.09103397685665,-1.092126488885537,-1.0932501422937875,-1.0949608328248728,-1.0962645322274767,-1.0974571588773376,0
2017-02-27,-1.0348491246623162,-1.034827365796781,-1.0368796671023988,-1.038161665914653,-1.0389146728076692,-1.039437774445961,-1.0409791035243257,-1.0420296068742738,-1.0432724777246893,-1.0447829347342559,-1.0452040627681507,-1.0473382388651082,-1.0484969254753358,-1.0497387483300704,-1.0510251032315479,-1.0526657074644785,-1.053978413386753,-1.0547665288094092,-1.056667981788924,-1.058050996786251,-1.0590939665733432,-1.0603579017077047,-1.0617374114042297,-1.0623775428513407,-1.063791958892464,-1.0650008704384961,-1.0661634148987291,-1.0674886361889686,-1.0686998607063252,-1.0700534524905976,-1.0712049040285716,-1.0726001272328556,-1.0740396817508862,-1.0751444159159487,-1.0765328176646374,-1.0778267105705186,-1.0790085438168986,-1.0805982981935145,-1.0822554048078297,-1.0839482943942353,-1.0863134217240102,-1.0869037835931137,-1.0882910075624181,-1.0897344241121765,-1.0909612849707706,-1.0920355790068426,-1.0937543005262087,-1.095054435619323,-1.0962489237907909,-1.0976185284883668,0
2017-02-28,-1.0335013703974827,-1.0355561919519494,-1.0368491776797837,-1.037721882235809,-1.03823560004031,-1.0397863839425288,-1.040821261406398,-1.0419990416872877,-1.043504382401376,-1.0439542781312316,-1.0461198731473313,-1.0472591183069229,-1.0484790505305646,-1.0497796262038641,-1.0514264206754607,-1.0527347587472904,-1.0535255142129585,-1.055470542555977,-1.056854958011398,-1.0578972416400592,-1.0591478075642142,-1.0605297660240838,-1.061157400221835,-1.0625598505741185,-1.063779113799857,-1.064954604734826,-1.066291995234921,-1.067468053070856,-1.068810551353574,-1.0699736113056586,-1.0713698215547836,-1.0728192701280477,-1.0739261854888018,-1.0753095851665586,-1.0765792951758577,-1.0777569582785866,-1.0793471470526705,-1.0809086299654167,-1.0824934555960055,-1.0848958640890685,-1.085512973115598,-1.08691674306927,-1.0883973342267736,-1.0896617711559646,-1.0908704201134212,-1.092539479477321,-1.093847855662122,-1.0950388351535814,-1.0964102109698783,-1.0978085281916752,1
