date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,price 51,price 52,price 53,price 54,price 55,price 56,price 57,price 58,price 59,price 60,transaction
2017-03-01,-1.0320001994653716,-1.0335312499147178,-1.0347128425142713,-1.0356353569171135,-1.0379689694794374,-1.0390975269195966,-1.0403458175622393,-1.042064851090923,-1.0436026318825327,-1.0435919946843422,-1.0456612836184815,-1.0469870220993103,-1.0479001762371742,-1.0485620714075388,-1.0501286827350118,-1.0511976780094867,-1.052384361295192,-1.0538498279072417,-1.0543212368358756,-1.05653965174595,-1.0577397198828309,-1.0589666027089795,-1.0602722394830342,-1.0619619178991504,-1.0633074411209855,-1.0641238666839639,-1.0661009469917928,-1.0675605485769237,-1.0686344512074082,-1.0699159851822715,-1.0713144620725594,-1.0719752755025287,-1.073394459119994,-1.0746320064359152,-1.0758473758644007,-1.0772268133175558,-1.078445276013026,-1.0797808970873624,-1.0809618750155872,-1.0823991728513402,-1.0838792684840328,-1.085025789931374,-1.0864419139920083,-1.0877372299250083,-1.0889215272169188,-1.0905390537586908,-1.0921333386423921,-1.093655685265221,-1.0959861110837352,-1.0966814083717378,-1.0981490783608043,-1.0996828249361694,-1.101021204725349,-1.1023026889469387,-1.104140516448677,-1.1054318190880439,-1.1066640650248918,-1.1080640926005443,-1.1094964176447493,-1.111068608792903,1
2017-03-02,-1.0321441634890103,-1.0333417223808503,-1.0342476210038356,-1.0365688282807253,-1.037680424597259,-1.0389683709024198,-1.0406828167718862,-1.0422321737015108,-1.0422557236646697,-1.0443203700423649,-1.0456308127513403,-1.0465474988229981,-1.047221474129652,-1.048910504702135,-1.0499709186158004,-1.051167127632602,-1.052616151185393,-1.0530215875347415,-1.0552366041372911,-1.0564605673301413,-1.0577218528160601,-1.05900746261085,-1.0606733847723395,-1.0620309408453652,-1.0628547212359554,-1.064827611073637,-1.0662878565958023,-1.067406844007364,-1.0686882752430302,-1.0700877971247,-1.0707346214973805,-1.072157531636066,-1.0733816175826516,-1.074585752931129,-1.0759759249110936,-1.0772062347865246,-1.0785559427368852,-1.0797010732077428,-1.0811267589952116,-1.0826182748694195,-1.0837657914835936,-1.0851909339934966,-1.086488385020645,-1.0876674869845018,-1.0892600869863625,-1.0908493497800904,-1.0923713592509923,-1.094603099403638,-1.095185795142195,-1.0966943661266515,-1.0982553937986403,-1.0996101774535767,-1.1009303433917788,-1.1028066036763085,-1.1042340780300346,-1.1054162175241582,-1.1068253661917355,-1.108254111367852,-1.109829776558088,-1.1095494653130165,1
2017-03-03,-1.0319547371421172,-1.0328767481644285,-1.0351805924024813,-1.0362804387537559,-1.0375513387289161,-1.0393051895354495,-1.0408500494623878,-1.0408859872436,-1.0429837136053979,-1.0442899153235625,-1.0451915244167203,-1.0458691594312333,-1.047569722027519,-1.0487528195615148,-1.0499403836249854,-1.0513988013239772,-1.0517883301489601,-1.0539364745923647,-1.0551575612783946,-1.0564427095588296,-1.0577626918258214,-1.0594084003979547,-1.0607423715418378,-1.0615784570868472,-1.0635580995884033,-1.065014423220714,-1.0661342322637397,-1.0674606406067098,-1.0688599995471584,-1.069508252363673,-1.0709167838019722,-1.0721446966970845,-1.0733353880482195,-1.0747142348888685,-1.0759553570636227,-1.0773168443908165,-1.078476159749917,-1.079865870894699,-1.0813457455306503,-1.0825048573541785,-1.0839308489387778,-1.0852373807609685,-1.08641867847769,-1.0880058693995525,-1.0895702180728757,-1.0910872433964969,-1.0933182673243367,-1.093803233368745,-1.0951987452383365,-1.096800619716945,-1.0981827881337767,-1.0995193681003361,-1.1014339747835675,-1.1029001136260885,-1.1042184844331417,-1.1055774336843094,-1.1070152853075357,-1.108587294959843,-1.1083114308824902,-1.1086426695480074,0
2017-03-04,-1.031490011171073,-1.0338092236310568,-1.034892357336233,-1.0361514223864274,-1.0378879744247909,-1.0394723326165018,-1.0395045864524441,-1.0416135870805499,-1.0429532750016042,-1.0438508597941623,-1.0445135476228269,-1.0462172212165208,-1.0474121207890683,-1.0487222998568786,-1.0501719406386665,-1.0505713952833517,-1.0527027540015124,-1.053857473202988,-1.0551397128909017,-1.0564835273218276,-1.058163424609103,-1.0594773514823612,-1.060290124941793,-1.06228146857607,-1.0637448145692348,-1.0648608789902398,-1.0661880007799616,-1.0676322773760516,-1.068280750401891,-1.0696903217355,-1.070903955470663,-1.072098490916751,-1.0734638034216422,-1.0746936777756302,-1.0760659092437788,-1.0772371025830711,-1.078640873013335,-1.0800847428226878,-1.0812323877946586,-1.0826698282854381,-1.0839772713480484,-1.0851677106097606,-1.086756884297212,-1.0883158380240263,-1.0898079852392026,-1.092033646261766,-1.0925188285411034,-1.0938161761848435,-1.0953049360266962,-1.0967280562894277,-1.0980920310526971,-1.1000227113725847,-1.1015274321552397,-1.1028845286344584,-1.1043796182677015,-1.1057672527115843,-1.1073482941681165,-1.1070697478181952,-1.1074051113368504,-1.1087468989462843,0
2017-03-05,-1.0324219887977868,-1.033521141779578,-1.0347634100697536,-1.0364878768345585,-1.0380550267249995,-1.0381275905553082,-1.0402317952732612,-1.0415831647877158,-1.0425144517969145,-1.04317324230081,-1.0448614233560232,-1.046059704204201,-1.0473816173235617,-1.0489537409503695,-1.0493449513040913,-1.0514853607251504,-1.052623792610345,-1.0538396341795802,-1.055180509205171,-1.0568840516212457,-1.058232340438075,-1.0590253388179185,-1.0609927679644615,-1.0624680861713909,-1.063591350201428,-1.0649146194709056,-1.0663595479507648,-1.0670533234973767,-1.0684627269032803,-1.0696774999487517,-1.0708577734779494,-1.0722268403065662,-1.0734432569618946,-1.0748041722592863,-1.075986208834829,-1.0774017308313197,-1.078859632816312,-1.0799714444129056,-1.0813972717742828,-1.0827162263598549,-1.0839076377341426,-1.085505739861918,-1.0870666911547895,-1.088553480636123,-1.0907538850530683,-1.0912346340066619,-1.0925317644437447,-1.093922307276852,-1.0952324154883044,-1.0966373520050308,-1.098595084587824,-1.1001161152787753,-1.1015118559266277,-1.1030455735479685,-1.1045693403632315,-1.1061000860744767,-1.1058315428734393,-1.1061639049274692,-1.1075092859972688,-1.1091898738889612,1
2017-03-06,-1.0321340607505094,-1.0333922630565482,-1.03509968431371,-1.0366548391922776,-1.0367110150369583,-1.0388544097107932,-1.0402013893295334,-1.0411445767326903,-1.0418371928625088,-1.0435209336738034,-1.04470399054246,-1.046029217040526,-1.04761293527032,-1.0481271656164735,-1.050258456445976,-1.0514064389181983,-1.052605962618791,-1.0538804090902263,-1.0555808230389376,-1.0569529315963049,-1.057780558892592,-1.0597276183813182,-1.0611792877486608,-1.0623147018464696,-1.0636450627301604,-1.0650860771949353,-1.0657808962999957,-1.0672352072380225,-1.0684499116567037,-1.0696313415164576,-1.070986056791042,-1.0722063044041956,-1.073553694183038,-1.0747245134454877,-1.076150751614596,-1.0776203777235247,-1.0787463924477123,-1.0801362420998617,-1.0814436453935523,-1.0826466292482297,-1.0842454897127227,-1.085815384978398,-1.087304209745599,-1.0894988849407685,-1.0899552975052964,-1.0912475630075533,-1.0926378388454034,-1.0938498275067,-1.0951417648153143,-1.097140112895688,-1.0986884347283632,-1.1001005479610768,-1.101672810288952,-1.1032351909461333,-1.104902003763613,-1.1045841341169265,-1.104926175033735,-1.1062680247999663,-1.107952028304047,-1.1093774868058597,1
2017-03-07,-1.0320052508346222,-1.03372835854994,-1.035266557246801,-1.0353115511324462,-1.0374374394333195,-1.0388240200596928,-1.0397630369741282,-1.0404676807171307,-1.042184700255818,-1.0433635842933247,-1.0446735196753187,-1.0462604113650602,-1.0467867997461828,-1.0490402134468386,-1.0501795743863702,-1.0513886178650156,-1.0526467168852,-1.0542805129009418,-1.055649666819267,-1.0565013850931393,-1.058482479372862,-1.0599140416836026,-1.0610259838164422,-1.062368386360192,-1.0638164312742113,-1.0645077272601493,-1.0659626850929365,-1.0672223985238924,-1.0684037767690273,-1.0697595593839413,-1.0709655314609474,-1.0723166848794368,-1.0734740766515158,-1.0748889703513944,-1.0763692849939743,-1.077507195802854,-1.07891110571113,-1.0801825914493182,-1.0813740849646483,-1.0829843041231517,-1.0845549724411931,-1.0860527795676993,-1.0882491206612102,-1.0887007157327482,-1.0899682196339011,-1.0913535808148649,-1.0925653977906122,-1.0937592277940098,-1.0956442285456014,-1.0972334087310676,-1.0986728763716065,-1.1002614102439605,-1.1018623210703982,-1.103567670767573,-1.1033868259321877,-1.103679243411562,-1.1050302403026664,-1.1067105342580796,-1.1081395426928,-1.1081345512314074,0
2017-03-08,-1.0323411668897793,-1.0338951427797434,-1.03392398864875,-1.0360375844152552,-1.037407066287827,-1.0383859025896618,-1.0390865047261904,-1.0408150018936537,-1.0420274341362181,-1.0433331295745223,-1.0449045904178067,-1.0454347173488672,-1.0476993617559223,-1.0489613708765286,-1.0501617623083948,-1.0514293517008617,-1.0530466181243385,-1.0543493205626573,-1.0551983575926638,-1.0572029403946677,-1.0586688073548973,-1.059760817051588,-1.0610796401927185,-1.062539665523021,-1.0632383821554723,-1.0646894212662104,-1.0659498830652647,-1.0671762871530246,-1.0685319292347946,-1.0697390445251438,-1.071075855110207,-1.0722371082577513,-1.073638448329497,-1.075107389679552,-1.0762561618328845,-1.0776718240511023,-1.0789574313164665,-1.0801130674251336,-1.0817115818604421,-1.0832936246192635,-1.0847922425330203,-1.0869971971729635,-1.0874513680029483,-1.0887136310921013,-1.0900741810884598,-1.0912811784098717,-1.092474846472123,-1.0942614090586351,-1.09573746923782,-1.097217859425171,-1.0988336460580905,-1.1004508126092913,-1.1021946139474545,-1.1020533290808587,-1.1024823973124005,-1.103783253837466,-1.1054725176956255,-1.106897950028575,-1.1068972598673108,-1.1081996946053303,0
2017-03-09,-1.0325078620750452,-1.0325532878399615,-1.0346496330699186,-1.0360072276229426,-1.0369691867736441,-1.0377097328526772,-1.039433639250413,-1.040657820047344,-1.0419969955324246,-1.0435640778587734,-1.044079337766064,-1.046346791662139,-1.0476205611366969,-1.0489435677154908,-1.0502024756294817,-1.0518290524651024,-1.0531153909489037,-1.053898248113634,-1.0558995442441659,-1.057389171438346,-1.0585156610682929,-1.0598144456727931,-1.061250829583696,-1.0619619178991504,-1.063419981657377,-1.0646766259136708,-1.0659037957656459,-1.0673043742943242,-1.0685114248402716,-1.06984931189118,-1.0709963194560896,-1.0724013954767146,-1.0738567544643154,-1.0749943255567411,-1.0764207046126513,-1.077718125745922,-1.078887942908462,-1.0804503876906222,-1.0820207393222379,-1.083530770332949,-1.0857361648548551,-1.0861998609980275,-1.087464276622014,-1.0888195370387965,-1.0900018171682735,-1.0911906754036302,-1.0929767594946058,-1.094354597334545,-1.09572192912245,-1.0973785355861025,-1.099022939398628,-1.1007829153868574,-1.1006811237339864,-1.1011493995663193,-1.1025863546250199,-1.1042252981475578,-1.1056598351797025,-1.1056563205490448,-1.1069623690300723,-1.1082283576898564,0
2017-03-10,-1.031166723539042,-1.0332785465362277,-1.0346192925366293,-1.035569583867103,-1.0362933842864368,-1.038056681369407,-1.0392765418744876,-1.04062739775451,-1.0422278216111922,-1.0427392625578766,-1.0449909245413735,-1.046268033155979,-1.0476027674484847,-1.0489842606550057,-1.0506019750926456,-1.0518977908130929,-1.052664546876754,-1.0545990668903649,-1.0560856774280192,-1.0572361048271035,-1.0585692622686045,-1.0599855465118762,-1.0606733847723395,-1.0621434226836408,-1.06340719296006,-1.0646305626445285,-1.0660318160423647,-1.0672838803517162,-1.0686216359608316,-1.06976981681334,-1.0711605220968483,-1.0726195894394002,-1.0737437489357036,-1.0751587824626476,-1.0764669822694608,-1.0776486732036923,-1.0792250903695204,-1.080759383353665,-1.082257760042948,-1.0844741978460901,-1.084939246829044,-1.0862127628778808,-1.087570127298353,-1.0887472110264194,-1.0899113622680403,-1.0916923206382263,-1.0930698979936235,-1.0943390659552268,-1.0958825103146037,-1.0975677188078448,-1.099354851009433,-1.0992702910171612,-1.0997777024744892,-1.1012532995105193,-1.1030281732036515,-1.104412516914185,-1.1044188568476938,-1.1057213954693557,-1.1069910170616875,-1.1089345118631828,1
