date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2017-01-30,-1.0363112177912155,-1.0376059910716497,-1.0385758327616144,-1.0392631541141246,-1.0413795694020775,-1.0422698434194368,-1.0433108151292567,-1.0448125422869177,-1.0461298197900486,-1.0459458276931242,-1.047872654798613,-1.0490209634310965,-1.0497531165611957,-1.050233300509702,-1.0517500983619863,-1.0527594839713845,-1.0539204917368408,-1.055350913421785,-1.0557071212036426,-1.0579189565226783,-1.0592288681631932,-1.0605639288675126,-1.0619326937523075,-1.0636509834598247,-1.0649977120436733,-1.0657797926032861,-1.0676041958248503,-1.0689531677940256,-1.0699488050547945,-1.0711570401699386,1
2017-01-31,-1.0364571473300634,-1.0374138877863524,-1.0381043147066442,-1.0402092031094932,-1.0410871539721342,-1.0421389627081394,-1.043652295680175,-1.0449820798119143,-1.0447651654413563,-1.0466837669465765,-1.0478417851721482,-1.0485757104829316,-1.049065601035614,-1.0505862408384739,-1.051590296658363,-1.0527285396569066,-1.0541552678229202,-1.0545120151928737,-1.0566342370937085,-1.0578388578676299,-1.05921077158375,-1.0606053145557952,-1.0623390054028325,-1.0637208954135164,-1.0645391633476289,-1.0664925889536665,-1.067793499789729,-1.068797499966201,-1.070003315127309,-1.071331037484834,1
2017-02-01,-1.0362651347789478,-1.0369425943930894,-1.039049913414709,-1.039916927810111,-1.040956336542949,-1.0424802790728958,-1.0438217521941646,-1.0436180733608056,-1.0455027469819864,-1.0466529123436448,-1.0473967480572832,-1.0478885281872086,-1.0494183711742084,-1.0504265160181538,-1.0515593672963717,-1.052963200708365,-1.053316781801208,-1.055438675082656,-1.0565541797327278,-1.0578207710745544,-1.059252135193906,-1.0610114116220677,-1.0624088806548335,-1.0632625837170924,-1.0652515977623873,-1.0666818039848582,-1.0676379074898286,-1.0688519837059396,-1.0701772282158077,-1.0707441211689184,0
2017-02-02,-1.035794063986877,-1.0378877425567525,-1.0387577772284777,-1.039786173070914,-1.0412974878778831,-1.0426496541110455,-1.0424583975134305,-1.0443553047195027,-1.0454719073356884,-1.0462080918180445,-1.0467098988684453,-1.048241127342692,-1.0492587233742605,-1.0503956015368017,-1.0517939149581408,-1.0521251255245854,-1.0542429863605762,-1.0553586570977445,-1.0565361022641193,-1.0578621123158698,-1.059658015618562,-1.0610812499710445,-1.061950809558382,-1.0639746499121012,-1.0654407167161233,-1.066526284781139,-1.0676923647947938,-1.0690258127803438,-1.0695905960068421,-1.0709285063832104,0
2017-02-03,-1.0367387657383667,-1.0375957455631006,-1.038627084724111,-1.040127160920193,-1.0414667810215346,-1.0412869549404773,-1.0431952765969912,-1.0443244797149578,-1.0450273024348904,-1.0455215769028117,-1.0470623271039163,-1.0480815569219621,-1.0492278238000772,-1.0506300363537229,-1.0509562447375358,-1.0530508762660526,-1.05416300769389,-1.0553405885205063,-1.0565774221923674,-1.0582677732462764,-1.0597278167107003,-1.060623420794419,-1.0626625019398745,-1.064163671120231,-1.065285276480176,-1.0665807165024406,-1.0678661095296826,-1.0684394639622046,-1.069774891966296,-1.0709155215089645,0
2017-02-04,-1.0364469066606705,-1.0374651153290984,-1.0389679102747145,-1.0402963729356247,-1.0401047407294297,-1.042023479727583,-1.0431644663217203,-1.0438800858994366,-1.044341120304757,-1.0458738336196165,-1.046902834033849,-1.0480506723244019,-1.0494621455709683,-1.049792769150432,-1.0518815481504504,-1.0529709367869844,-1.0541449479949607,-1.0553818881256218,-1.0569828739883014,-1.058337536590996,-1.0592702317733493,-1.0613347373117747,-1.062851423917507,-1.064008311223138,-1.0653396805627575,-1.0667543796132606,-1.0672800452000577,-1.068623670891797,-1.069761913377602,-1.0708687759616793,0
2017-02-05,-1.036316338125912,-1.0378057784883592,-1.0391370417509538,-1.0389349853569239,-1.0408409093995503,-1.0419926842661011,-1.0427202848532326,-1.0431942295483143,-1.0446932062666605,-1.0457144181711353,-1.0468719644073847,-1.0482848805225693,-1.0486252821034998,-1.0507176273842211,-1.051801647298639,-1.0529528859368722,-1.0541862273067988,-1.0557871405008192,-1.0570526013672201,-1.0578801991089453,-1.059981168822906,-1.0615235595145638,-1.062696145579727,-1.0640626871871206,-1.0655132554928988,-1.0661685906125846,-1.06746416275494,-1.0686106985728117,-1.0697151904583038,-1.0709986247041383,0
2017-02-06,-1.036656840383224,-1.0379748293794209,-1.037776302146665,-1.0396708012422105,-1.0408101288279774,-1.0415487163630723,-1.0420347562284566,-1.043546148350201,-1.0445338680941203,-1.0456835635682038,-1.0471060590747412,-1.0474484226719705,-1.0495496943644882,-1.050637764974061,-1.0517836051708103,-1.0529941450228428,-1.0545912805542106,-1.0558568335844518,-1.0565954996609759,-1.0585907516940523,-1.0601698902942427,-1.0613683631835042,-1.06275049299795,-1.064236172405541,-1.0649277639374972,-1.066352621670319,-1.0674511967299483,-1.0685639982244644,-1.0698449763452431,-1.070977848905345,0
2017-02-07,-1.0368258114282058,-1.0366147381195154,-1.0385117678084934,-1.0396400354212227,-1.0403663755878,-1.040863517345103,-1.042386506871132,-1.0433868858267195,-1.0445030284478223,-1.0459175443071032,-1.0462700066913244,-1.0483723868823245,-1.0494698704645142,-1.0506197315266055,-1.0518248443201326,-1.0533989998039304,-1.0546609393929376,-1.05539995670286,-1.0573056859277394,-1.0587793711075535,-1.0600147767561576,-1.061422681899375,-1.0629238871418047,-1.0636509834598247,-1.0651117015500347,-1.0663396617366758,-1.0674045190399781,-1.0686937214143182,-1.0698242106033329,-1.0710895188238598,0
2017-02-08,-1.0354663625663063,-1.03734985335792,-1.0384810166309952,-1.0391964948353183,-1.039681507870301,-1.0412150988636866,-1.0422273204488992,-1.0433560608221746,-1.044736895765583,-1.0450818988110333,-1.0471935230163911,-1.0482926016719596,-1.0494518457129072,-1.0506609508350753,-1.0522295034728557,-1.0534686245115057,-1.054204287005728,-1.0561097936657853,-1.057494208100371,-1.058624341452621,-1.0600690664944874,-1.0615959844690583,-1.0623390054028325,-1.0638348260047177,-1.0650987481970393,-1.06629300597556,-1.0675341792898951,-1.0686729657039415,-1.0699358264661005,-1.0710090126035352,0
2017-02-09,-1.0362011305952425,-1.0373191168322724,-1.0380376871553985,-1.0385119553183444,-1.0400329193957594,-1.041055988979364,-1.0421965101736286,-1.0435898171066396,-1.0439016553450087,-1.0460049656820767,-1.0471137764813576,-1.048274585656716,-1.0494930451451516,-1.0510654152994343,-1.0522990945373367,-1.053012195872955,-1.054913775177946,-1.0562982231141254,-1.057339258369441,-1.0586786018318473,-1.0602422766120159,-1.0610114116220677,-1.0625227514358724,-1.0638218793466268,-1.065052116126255,-1.0664226053119927,-1.0675134336499084,-1.0687845276472157,-1.0698553592161983,-1.071175218993883,0
2017-02-10,-1.036170408587064,-1.0368759985875198,-1.037353473456067,-1.038863198441286,-1.0398738864426322,-1.0410251935178825,-1.042430154761099,-1.0427549732335506,-1.0448242747634278,-1.0459252579578362,-1.047095769199253,-1.04831576512013,-1.049897314574052,-1.051134972882477,-1.051842886447961,-1.0537213364130762,-1.0551021120382076,-1.0561433495949417,-1.0573934907752665,-1.0588517182798554,-1.059658015618562,-1.0611950606138212,-1.0625098115743907,-1.0637752713774988,-1.065181649656211,-1.0664018694181634,-1.0676249414648369,-1.0687040992695065,-1.0700214851514807,-1.0713959618560636,0
2017-02-11,-1.0357274996358237,-1.0361921108918613,-1.0377045493991697,-1.0387042416995167,-1.0398431058710593,-1.0412587257674524,-1.0415957098058475,-1.0436771546195165,-1.0447446056771574,-1.0459072594394592,-1.047136928701206,-1.0487198386048808,-1.0499668386159646,-1.0506789842825308,-1.0525516843269345,-1.0539095809928174,-1.0549473146188146,-1.0561975553266558,-1.0575665179748053,-1.0582677732462764,-1.0598415666386292,-1.061182127586233,-1.0624632280730566,-1.0639047379584095,-1.065160924291418,-1.0665133248474956,-1.0675445521098885,-1.0688701449525193,-1.0702421211592774,-1.0712816949626995,0
2017-02-12,-1.0350439349538516,-1.036543019559671,-1.0375456683154296,-1.0386734758785292,-1.0400765252054878,-1.040424682018988,-1.042517450541033,-1.0435975233577757,-1.0447266158834836,-1.045948398910035,-1.0475408063141183,-1.0487893289493921,-1.049511069896759,-1.051387441146854,-1.0527398379457165,-1.0537548594204273,-1.055001493715602,-1.0563704974230779,-1.0569828739883014,-1.0584512250046132,-1.0598286405104556,-1.0611355686869153,-1.0625926266878736,-1.0638840233054638,-1.0652723231271803,-1.0664329732589073,-1.0677105172297823,-1.0690906743752708,-1.0701279095787708,-1.0714479013530471,0
2017-02-13,-1.0353946778805563,-1.0363842141771586,-1.0375149171379319,-1.0389067833543517,-1.0392428847253858,-1.0413459795749842,-1.0424378573299167,-1.0435795421051246,-1.044767735411881,-1.0463520799650596,-1.0476102629736637,-1.0483337811353737,-1.0502191851384628,-1.051575504241747,-1.0525851911357587,-1.053809011970764,-1.0551743508339244,-1.0557871405008192,-1.0571662311699022,-1.0584383058667022,-1.05978210644903,-1.061264898962798,-1.0625719229095028,-1.063995364565047,-1.0651920123386076,-1.0665988604095413,-1.067930939654641,-1.0689765179681994,-1.070294035514053,-1.0714946469003324,0
