date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.035454342790272,-1.0368273788075664,-1.037831233727251,-1.0385753906482535,-1.0407526677936874,-1.0416863271725938,-1.042773052174298,-1.0443345090342158,-1.0457232721922445,-1.0455406141267123,-1.0474491380214248,-1.048592482939504,-1.0493361693201244,-1.0498348551785615,-1.0513805533528215,-1.0524271209072733,-1.0535912908613376,-1.055008377810076,-1.0553429412671511,-1.0574685009409233,-1.0586042842394294,-1.0597901180610254,-1.0610336709538544,-1.062632260309583,-1.063894342489415,-1.0646350650099305,-1.06656491058255,-1.0679790870091879,-1.069049576768151,-1.0704221504716271,-1.0720196871776044,-1.0728219353289485,-1.074365134789764,-1.0756960027596087,-1.0769562552156575,-1.0783558526702035,-1.0794740350417666,-1.0807721001665227,-1.081869424846951,-1.0832162511137897,0
2017-02-10,-1.0355996196987884,-1.0366361303237992,-1.037361808877254,-1.0395172552082443,-1.0404615402521464,-1.0415560212335162,-1.043113037773621,-1.0445033074347292,-1.0443645379752926,-1.0462753521796293,-1.0474184023932909,-1.0481491627437498,-1.0486516353162019,-1.0501862669783433,-1.0512214421201334,-1.0523963099337608,-1.0538250558318192,-1.054173094174942,-1.056266057084693,-1.057388749490802,-1.0585862668418722,-1.0598313211578119,-1.0614381773211587,-1.062701859537918,-1.0634378549618495,-1.065344649538344,-1.0667533679037748,-1.0678241122036318,-1.0691038454202495,-1.0705953854149302,-1.071435016709851,-1.0730057160145572,-1.0743521854504792,-1.075649359936553,-1.0770858874923877,-1.0783351006785864,-1.0795856308973526,-1.080691607245164,-1.0820356862218878,-1.0834371767937763,0
2017-02-11,-1.0354084658717932,-1.0361669340436235,-1.038303209799259,-1.0392262726612551,-1.0403312989835622,-1.0418958386824835,-1.0432817524319318,-1.043145247576052,-1.0450989197460367,-1.0462446314248035,-1.0469752970876958,-1.0474649633664876,-1.0490028756103493,-1.0500272339010697,-1.0511906463976777,-1.052629959816233,-1.0529901809372417,-1.0550957613288285,-1.0561863451338747,-1.0573707410988393,-1.05862744946486,-1.06023562654503,-1.0615077421104404,-1.062245597929944,-1.0641470869962026,-1.0655330119767956,-1.066598471475371,-1.0678783533855765,-1.0692769882626592,-1.0700110406808039,-1.0716186963700745,-1.0729927737127538,-1.0743055678290532,-1.07577892333393,-1.077065146328111,-1.078446642633529,-1.0795051780712326,-1.080857786179582,-1.082256502110476,-1.0833228152653127,0
2017-02-12,-1.0349395018162315,-1.0371078765837582,-1.0380123704900217,-1.0390960962586548,-1.0406709477820268,-1.0420644698977606,-1.0419243663173412,-1.0438792648631336,-1.0450682138880265,-1.0458017405427316,-1.0462914293617194,-1.0478160319608132,-1.0488439201487645,-1.0499964533054684,-1.0514241806263007,-1.0517954959502598,-1.0539123965900212,-1.0550160881205541,-1.056168345661109,-1.0574119031376115,-1.0590315539529263,-1.0603051567708572,-1.0610517062695943,-1.0629544789592822,-1.0643353558635036,-1.0653781935342326,-1.0666526852253122,-1.068051408585114,-1.0686929541972177,-1.0701946180087816,-1.0716057611827348,-1.0729461814262615,-1.074435061221903,-1.0757581931903497,-1.0771766300860988,-1.0783662286660123,-1.0796712742283836,-1.0810784925768562,-1.0821421974152068,-1.0834891593067142,0
2017-02-13,-1.0358799786450479,-1.036817178888432,-1.0378822581674683,-1.0394355758968088,-1.040839495306077,-1.0407077551203043,-1.0426580194527226,-1.0438485742448584,-1.0446255377683795,-1.0451182037478575,-1.0466423277829133,-1.0476571542027973,-1.0488131545755546,-1.0502298728221118,-1.05059012980979,-1.0527172575745196,-1.0538327623693078,-1.054998097396105,-1.0562094873131445,-1.0578158056430633,-1.059101049629218,-1.059849347512656,-1.0617602365307959,-1.0631426546507066,-1.0641806143287358,-1.0654323799891297,-1.0668256529036968,-1.067467670150853,-1.0688764339257413,-1.0701816900279382,-1.0715591945083118,-1.0730756044442957,-1.0744143422790469,-1.075869617712094,-1.077096258074526,-1.07853224459895,-1.0798918706871001,-1.0809642445594436,-1.0823084587901437,-1.0835359435683585,0
2017-02-14,-1.0355894248280153,-1.0366871299194704,-1.0382215706949116,-1.0396040394766446,-1.0394834538625832,-1.041441045404918,-1.0426273440603024,-1.0434061178313911,-1.0439423324276522,-1.045468932365452,-1.0464835270375554,-1.0476264036689877,-1.0490464601723968,-1.0493962316912426,-1.0515114351732588,-1.0526376625596114,-1.0538147804485014,-1.0550392190519886,-1.0566131897737407,-1.0578852665834915,-1.058645466862417,-1.0605575257386748,-1.0619483191092238,-1.062987989698851,-1.0642347738659044,-1.065605260583325,-1.0662422096900417,-1.0676510570040942,-1.068863512818099,-1.0701351492969013,-1.0716885463817087,-1.0730548967614104,-1.0745257065968976,-1.0757892884057203,-1.0772621873887405,-1.078752734509883,-1.0797776795790586,-1.0811304234938617,-1.0823552198018447,-1.083465767175892,0
2017-02-15,-1.0354594402256587,-1.0370262772306842,-1.038389951347628,-1.0382486734025116,-1.0402163802171644,-1.0414103851839587,-1.0421851071529122,-1.0427232515747682,-1.0442928909732687,-1.0453102084655186,-1.046452791409422,-1.0478595952170433,-1.0482132258979597,-1.050317084509649,-1.0514318795569146,-1.0526196894917288,-1.053855881981773,-1.0554427253003458,-1.0566826163115501,-1.0574299115295744,-1.0593532931950171,-1.0607455148677634,-1.061793730688598,-1.0630421224320004,-1.0644075685797287,-1.0650221111163378,-1.0664255037969865,-1.0676381424369648,-1.0688169968305858,-1.0702644291053365,-1.0716678500819652,-1.07316620055692,-1.074445420693331,-1.0759551295543632,-1.0774825622591817,-1.0786385985559883,-1.0799437757362096,-1.0811771613191667,-1.0822850782842932,-1.083806252635636,0
2017-02-16,-1.0357984196788634,-1.0371945758963994,-1.0370352524598647,-1.0389812347269487,-1.0401857352127917,-1.0409683669984597,-1.0415025796715645,-1.0430736361334099,-1.044134244040216,-1.045279487710693,-1.0466858699227695,-1.0470267682597019,-1.049133629296492,-1.050237567971012,-1.051413915385482,-1.052660770789746,-1.0542591907769996,-1.0555121180946492,-1.0562274867859098,-1.058137384070971,-1.0595411889123982,-1.0605910032548138,-1.061847836635817,-1.0632148316282393,-1.0638247087987696,-1.0652053129400374,-1.0664125957612862,-1.0675916499952978,-1.068946207907011,-1.070243744335987,-1.0717790926930864,-1.0730859582857386,-1.0746111722361786,-1.0761753873299043,-1.0773684858556591,-1.078804614488926,-1.0799904902804085,-1.0811070545812091,-1.0826253945361173,-1.084118147713264,0
2017-02-17,-1.0359666350466192,-1.0358405366313277,-1.0377674531769798,-1.0389506049851605,-1.0397439363997514,-1.0402861770821117,-1.0418527904016943,-1.042915067938988,-1.044103538182206,-1.0455124534347886,-1.0458534466608134,-1.0479467217295038,-1.0490541515656995,-1.0502196126235779,-1.0514549763487564,-1.0530638810265391,-1.0543285496143953,-1.0550572097764377,-1.0569346089302663,-1.0583251858728688,-1.0593867540761945,-1.060645082319346,-1.0620204603721828,-1.062632260309583,-1.0640078196149114,-1.0651924114031572,-1.0663661268327649,-1.0677207956665946,-1.0689255341347828,-1.070354924971241,-1.0716988945315804,-1.0732516197488227,-1.074831311004023,-1.0760613715402125,-1.0775344151698736,-1.0788513064700647,-1.0799204184641102,-1.0814472020875963,-1.082937134614124,-1.0843572672727788,0
2017-02-18,-1.0346132659514933,-1.03657238082921,-1.0377368385128494,-1.0385090262077121,-1.039062085052458,-1.040636214604732,-1.0416943008741903,-1.042884377320713,-1.0443363909387833,-1.0446804329915897,-1.046772954202482,-1.0478672828504958,-1.0490362049813269,-1.050260653417713,-1.0518578870508863,-1.0531332057169431,-1.0538738639025793,-1.0557639882369356,-1.0571223177176774,-1.0581708282274733,-1.0594408062688658,-1.06081762028714,-1.0614381773211587,-1.062815280502612,-1.0639949244870142,-1.0651459658703883,-1.0664952071897682,-1.067700132359187,-1.0690366556605084,-1.0702747714900112,-1.0718644649295284,-1.0734716388794812,-1.0747173568183155,-1.0762272126888552,-1.0775810827894965,-1.0787812684983566,-1.080260396535779,-1.0817587875896302,-1.083176135340596,-1.085308547259544,1
2017-02-19,-1.0353447479294615,-1.0365417810718074,-1.0372954771049718,-1.037827514452922,-1.03941194885238,-1.0404778034631081,-1.0416636254817702,-1.0431171145092997,-1.0435047739510068,-1.0455994955734618,-1.046693553829803,-1.0478493450391069,-1.049077225745607,-1.0506633662101639,-1.0519271774264118,-1.0526787438576286,-1.0545802965056832,-1.0559516057919043,-1.056968036522545,-1.0582248534033616,-1.0596132585026268,-1.06023562654503,-1.0616211069522326,-1.0628023917566243,-1.0639485020265838,-1.0652749812391906,-1.0664745543326477,-1.0678111976365023,-1.0689565447931249,-1.0704402496448082,-1.0720843631143029,-1.0733577466236108,-1.074883108361163,-1.076273855511911,-1.0775110813600621,-1.0791210823610886,-1.0805718268304376,-1.0819976698078562,-1.0841269425785167,-1.084505417434652,0
