date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,transaction
2017-02-19,-1.0345398508627361,-1.0360049593174883,-1.0371244506450796,-1.0378479174590312,-1.039984651113773,-1.0408857857253357,-1.0419624156039036,-1.043571747588121,-1.0450159595434487,-1.0449125132717874,-1.0468589695341748,-1.0480637941914401,-1.0488800328551084,-1.0494418740388172,-1.0510275208244115,-1.0521097987640482,-1.0533172191289422,-1.0547439983875155,-1.0551059056762517,-1.0572174246753963,-1.058345038496451,-1.059531492906346,-1.0607896021685381,-1.062420989715916,-1.0637090846395973,-1.0644609544648709,-1.0663604205047452,-1.0677769005590738,-1.0688628292844276,-1.0701452934622329,-1.071545056898124,-1.0721809902888844,-1.073578909847862,-1.0747861358569555,-1.0759839362217978,-1.07736122905248,-1.078588400107526,-1.0800424034391238,-1.0814130379463684,-1.082991367984954,-1.084597948902408,-1.0858545121452838,-1.087353375703231,-1.0886958372648416,-1.089787788839778,-1.0913385536116884,-1.0928528580112034,-1.0942983146973324,-1.0964535852132997,-1.096851501084827,0
2017-02-20,-1.0346845948802144,-1.0358144078758726,-1.0366567226990584,-1.0387863727080644,-1.0396945798997745,-1.0407559536220463,-1.0423011643110094,-1.0437399342218054,-1.0436621284179632,-1.0456446156167523,-1.0468283437827324,-1.0476220508070908,-1.0481979196318456,-1.049792049391333,-1.0508689674321423,-1.0520790954786146,-1.0535501701397034,-1.053911619690548,-1.0560258186819405,-1.0571379500801763,-1.0583270836667977,-1.059572552975193,-1.0611927065548141,-1.0624903484826487,-1.0632541702540186,-1.0651680964420207,-1.0665482278124843,-1.0676224599594584,-1.0689169111671657,-1.070317928220677,-1.0709624403378453,-1.0723641174807776,-1.073566007042419,-1.0747396621631662,-1.0761130963483563,-1.077340552750929,-1.078699592713454,-1.0799621977395244,-1.0815787183392669,-1.083211535978495,-1.0844839161496922,-1.0860204697557407,-1.0874000766716299,-1.0886257483842103,-1.0901280177714179,-1.0916503725716664,-1.0930920405795745,-1.0952503299446834,-1.0956494258450693,-1.0968645199966152,0
2017-02-21,-1.0344941422256377,-1.0353469216724418,-1.0375947205908076,-1.0384964434441353,-1.0395648111987752,-1.0410945353816055,-1.0424692651731824,-1.0423867963053437,-1.0443938601185552,-1.0456140050657432,-1.0463868225327688,-1.0469402850058118,-1.0485479178025834,-1.049633575874136,-1.0508382796788,-1.052311928726487,-1.0527182022441275,-1.0548310780050445,-1.055946383297048,-1.0571200042038362,-1.0583681232774336,-1.0599754549007536,-1.061262030239078,-1.0620356632340684,-1.063960958141217,-1.0653558104941367,-1.0663938656417398,-1.0676765141693239,-1.0690894581263772,-1.0697356079907017,-1.0711454747439504,-1.0723512211996584,-1.073519556942823,-1.0748687557570251,-1.076092430728107,-1.077451687871766,-1.0786194306022037,-1.0801277836999879,-1.0817987626110852,-1.0830975666641915,-1.0846497819718244,-1.0860671453336816,-1.0873300252190317,-1.0889658092494954,-1.0904396778614698,-1.0918894337743161,-1.0940435712320082,-1.094446579367002,-1.095662438132581,-1.0969712750732787,1
2017-02-22,-1.034026898379743,-1.0362844347651914,-1.037304932624251,-1.0383667382471147,-1.0399032276151066,-1.0412625533976274,-1.041116817327519,-1.0431181533336384,-1.0443632650648718,-1.0451727029553637,-1.0457053995631718,-1.047290104911337,-1.0483895244698407,-1.0496029035804852,-1.0510709951416466,-1.051480381412656,-1.0536372067810869,-1.05475168188318,-1.055928446274653,-1.0571610233497561,-1.0587708244567988,-1.0600447437669327,-1.0608075749755697,-1.0627420951174558,-1.0641485781985462,-1.0652015249718496,-1.0664478924015004,-1.0678489728388945,-1.0685074340550067,-1.0699185493018886,-1.0711325849970417,-1.0723047945876292,-1.0736485849972557,-1.0748481007820077,-1.0762035084369472,-1.0773715672032556,-1.078784926573817,-1.080347702553728,-1.0816848573409674,-1.0832633402122693,-1.0846964317342993,-1.0859971319667703,-1.0876699044890452,-1.0892773153856345,-1.0906786172638427,-1.092840481602249,-1.0932402297795438,-1.0944595850397798,-1.095769138890178,-1.0968983691672647,1
2017-02-23,-1.0349639254402603,-1.0359947965739353,-1.0371752906392124,-1.0387049890550317,-1.0400711635811057,-1.039910772086906,-1.0418478013796948,-1.0430875739456957,-1.0439221863742711,-1.0444916181954136,-1.0460550435588076,-1.047131792253362,-1.0483588676957616,-1.0498355018073386,-1.050239868488623,-1.0523989213685494,-1.0535578498433549,-1.0547337537266297,-1.0559694451829844,-1.057563523719096,-1.058840078799747,-1.0595905167553137,-1.0615136495375177,-1.062929620671955,-1.0639943699322483,-1.06525552490465,-1.066620263492165,-1.0672672465803432,-1.068690282325216,-1.0699056661109598,-1.0710861819081698,-1.0724337573988214,-1.0736279405085465,-1.0749591212727263,-1.0761234291584811,-1.077536977615664,-1.0790047259111162,-1.0802338622059096,-1.0818505377338659,-1.0833099640226662,-1.084626457090587,-1.086336826450674,-1.0879812442783705,-1.0895161367566746,-1.091629180538501,-1.0920375477803057,-1.0932532288321726,-1.0945662315565596,-1.0956962700801118,-1.096807236784747,0
2017-02-24,-1.0346744374053036,-1.0358652215936368,-1.0375133766001952,-1.0388728428394116,-1.0387200424001133,-1.0406413958838496,-1.0418172375865724,-1.042646721102856,-1.0432414464298179,-1.0448410886527664,-1.0458968105096877,-1.0471011510937542,-1.048591348232529,-1.0490047938542901,-1.051157943776117,-1.0523196045478456,-1.0535399305348347,-1.0547747323701728,-1.0563717469709877,-1.0576327435278359,-1.058386078107087,-1.0602962366886202,-1.0617010802394167,-1.062775490079216,-1.0640483428254526,-1.0654278104045376,-1.0660388326490278,-1.067450001289888,-1.068677405686469,-1.0698592866236167,-1.0712150793772581,-1.0724131233490306,-1.0737389046353585,-1.0748790832445339,-1.076288754120476,-1.077756663319644,-1.0788909474306319,-1.0803994481663728,-1.0818971353443685,-1.083240028307071,-1.0849659636952644,-1.0866479969702807,-1.0882199381168534,-1.090466230471899,-1.0908266558066175,-1.0920505402369716,-1.0933598210637294,-1.0944933997890027,-1.0956051840675292,-1.0973123705621306,0
2017-02-25,-1.0345449296001916,-1.0362031328167687,-1.0376811485808333,-1.0375223828469007,-1.039450309403776,-1.0406108471536637,-1.0413766095690589,-1.0419663297211323,-1.043590739959369,-1.0446829341392199,-1.0458661847582453,-1.0473335132207817,-1.0477610606012167,-1.04992240663935,-1.0510786670799823,-1.052301694298009,-1.0535808889543092,-1.0551768353099387,-1.0564409326287971,-1.0571789692260962,-1.059091446414892,-1.0604835732527342,-1.061547027607719,-1.0628294357866745,-1.064220542056152,-1.064846668270589,-1.0662214945510753,-1.06743713123992,-1.0686310497869793,-1.0699881185329032,-1.071194455782204,-1.072524031366656,-1.0736589072416103,-1.0750443230446731,-1.0765083263356254,-1.0776429436611132,-1.0790564434022452,-1.0804460192177532,-1.0818272389286145,-1.0835793460382928,-1.0852769621117626,-1.0868865610353124,-1.0891695244742958,-1.0896641021713407,-1.090839641643703,-1.0921570783816306,-1.0932870263690078,-1.0944023600795567,-1.0961100608229877,-1.097406106727006,1
2017-02-26,-1.0348826656409742,-1.0363708180853906,-1.0363313467366089,-1.0382522924850375,-1.039419775591776,-1.0401704362934854,-1.0406965651720868,-1.0423154444001441,-1.0434326655153385,-1.044652323588211,-1.046098430040018,-1.0465036484813972,-1.0486782090924203,-1.0498431698807515,-1.0510607658905324,-1.0523426320119207,-1.053982793445403,-1.0552459867709176,-1.0559873822053796,-1.0578839857965958,-1.0592786896384185,-1.0603295979945582,-1.0616009460288132,-1.0630015482819,-1.0636396909197632,-1.065029239471962,-1.0662086310368466,-1.0673907990600355,-1.0687598161744505,-1.0699675054274174,-1.0713053076056198,-1.0724440744237167,-1.0738240631512839,-1.0752637821542332,-1.076394665424254,-1.0778083540735215,-1.0791029891442616,-1.0803761626406827,-1.0821663659828284,-1.083890171440939,-1.085515394231078,-1.087835631120113,-1.088367824516783,-1.0896770815936798,-1.090946125507804,-1.0920843206243025,-1.0931960330006056,-1.0949069801833438,-1.0962037492930727,-1.09739048403286,0
2017-02-27,-1.0350502639770018,-1.0350217138787512,-1.0370609006524136,-1.03822177361515,-1.0389795798021118,-1.0394907270468514,-1.0410455018102336,-1.0421574508957738,-1.0434020704616553,-1.044884453600029,-1.0452689826051154,-1.0474203298396711,-1.048599012426049,-1.049825277709455,-1.051101682894989,-1.052744333329679,-1.0540519107782662,-1.0547926605267228,-1.0566920509423277,-1.0580711356498556,-1.0591247910985337,-1.0603834893349198,-1.0617729714675423,-1.062420989715916,-1.063822170701549,-1.0650163823451049,-1.0661623223856231,-1.0675194995597148,-1.0687392135524552,-1.070078300869404,-1.071225391174785,-1.0726091468220431,-1.0740434108438193,-1.0751501797916374,-1.0765599903862488,-1.0778548757520114,-1.079033170531237,-1.080715096403506,-1.0824770167195132,-1.0841284709163008,-1.086463939401398,-1.0870343670321256,-1.0883807970080048,-1.0897835128568607,-1.0908734048201252,-1.0919933734276424,-1.093700396242606,-1.0950006210273455,-1.0961881345480586,-1.0975519185390343,0
2017-02-28,-1.0337018591825988,-1.0357508907286672,-1.037030396655934,-1.0377817932409423,-1.0383002024851156,-1.0398394917164726,-1.0408875888791014,-1.0421268715078313,-1.0436340829520867,-1.0440554178435355,-1.0461852030024386,-1.047341173510684,-1.048581129307836,-1.0498661741009896,-1.0515031810012192,-1.0528134157219051,-1.0535988082628294,-1.0554969809626185,-1.0568791084615903,-1.0579173138526556,-1.0591786555874934,-1.0605554283732164,-1.0611927065548141,-1.0626033775839905,-1.063809320012691,-1.0649700966884188,-1.0662909575279103,-1.0674989074797663,-1.0688499526456805,-1.0699984250856462,-1.071390379935218,-1.07282838360107,-1.0739298661559187,-1.0753154195917767,-1.07660648803181,-1.0777850932342767,-1.0793719200981333,-1.0810255700793745,-1.0827151822843046,-1.0850764883943715,-1.0856631184789147,-1.0870473324704426,-1.0884871714360245,-1.0897108280917616,-1.0907825039605268,-1.0924974807462733,-1.093793989421534,-1.094985014220012,-1.096349486913205,-1.0977419946511426,0
2017-03-01,-1.0344306580074456,-1.0357204024980087,-1.036590630706686,-1.0371027483859507,-1.0386487968387803,-1.0396816566105127,-1.0408570250859792,-1.0423587651997295,-1.0428054669148312,-1.0449711834945545,-1.0461060864778786,-1.0473232995009123,-1.0486220050066082,-1.050267469942924,-1.0515722284462397,-1.0523605422617572,-1.0543027810975474,-1.0556839460237835,-1.056725362555347,-1.0579711514816756,-1.0593505089570314,-1.0599754549007536,-1.0613750021689898,-1.062590533367929,-1.0637630575328014,-1.0650986679569914,-1.0662703759051442,-1.0676095899094906,-1.0687701174854483,-1.070163329929533,-1.0716095056326682,-1.0727148963272208,-1.0740950220655923,-1.075361893285566,-1.0765367415634683,-1.0781236676721753,-1.0796822250449085,-1.0812635998975404,-1.0836626670311928,-1.0842761129825578,-1.0856760767462688,-1.0871536490646416,-1.0884145254851818,-1.0896199721353876,-1.0912863544394438,-1.0925910264342669,-1.0937783905583793,-1.0951462845624593,-1.0965394663108776,-1.0980752787929213,1
2017-03-02,-1.0344001855827132,-1.0352808638393485,-1.0359119167850137,-1.0374511721504969,-1.0384910388101145,-1.039651107880327,-1.0410888005171568,-1.0415305734429496,-1.0437207689375227,-1.0448921062377814,-1.0460882214562037,-1.0473641543803898,-1.0490230978008115,-1.0503364826036388,-1.051119584084439,-1.0530641592196142,-1.0544896538864,-1.0555302761104972,-1.0567791736225323,-1.0581429191552156,-1.0587708244567988,-1.0601576589562618,-1.0613621644496818,-1.0625442941901073,-1.063891564421383,-1.0650780965540196,-1.066381002127511,-1.0675297955996892,-1.0689349384614117,-1.0703823441753204,-1.0714960758598706,-1.0728799687255468,-1.0741414721651878,-1.0752921827448823,-1.0768751410950517,-1.078433812195441,-1.0799201255041027,-1.0822105446089398,-1.08286274138423,-1.0842890640410014,-1.0857823345385724,-1.0870810426100668,-1.0883237180466285,-1.090123573722146,-1.0913798524664595,-1.0925754354862678,-1.0939395788109774,-1.0953361673850184,-1.0968725808711801,-1.0965572736784126,1
2017-03-03,-1.033960874792823,-1.0346025007071964,-1.036260170744823,-1.037293491322746,-1.0384605049981148,-1.0398827690842356,-1.0402610311200937,-1.0424454067989004,-1.0436417317155076,-1.044874250083026,-1.0461290557914606,-1.0477650428852618,-1.0490920755424897,-1.0498840662722861,-1.051822845098536,-1.0532509375393362,-1.0543360598133704,-1.0555840605801474,-1.0569508565511705,-1.057563523719096,-1.0589529377289957,-1.0601448276847472,-1.0613159486601724,-1.0626727363507231,-1.06387100331921,-1.0651886678449922,-1.0663012483392933,-1.067694532239279,-1.069153841320113,-1.0702689720951482,-1.0716610646203033,-1.072926395337576,-1.0740717970157945,-1.0756304079607923,-1.0771851253987923,-1.0786715896632781,-1.080866555591767,-1.0814110748935781,-1.082875685164925,-1.084395262720239,-1.0857097682413897,-1.0869902845418482,-1.0888270507060378,-1.0902170255629877,-1.091364269461957,-1.0927365419489232,-1.0941293649793589,-1.0956691126081355,-1.095355348147302,-1.0956511574179513,0
2017-03-04,-1.0332828633425302,-1.0349505746738812,-1.0361025667630115,-1.037262972452859,-1.0386920530724466,-1.039055407641704,-1.0411753979310034,-1.0423664100467152,-1.043623884600859,-1.044915064151038,-1.0465297427061675,-1.04783398549438,-1.0486398881248211,-1.050586973001789,-1.0520095289313691,-1.0530974211121673,-1.0543898177389306,-1.0557556586499839,-1.0563717469709877,-1.0577455461791159,-1.0589401128506721,-1.0600986351072943,-1.0614443258532538,-1.0626521856050246,-1.0639815192433901,-1.0651089536584772,-1.0664659013214206,-1.067913323088734,-1.0690405268991383,-1.070433876939035,-1.0717074677091751,-1.0728567554195323,-1.0744098505184076,-1.0759402325860536,-1.07742278003166,-1.079617530459239,-1.080067520353821,-1.0814240112967393,-1.0829818241666258,-1.0843227367929549,-1.085619060369911,-1.0874933435485454,-1.0889204526428355,-1.0902014502561808,-1.091525293841817,-1.0929262318162432,-1.0944621407266582,-1.0941526511622186,-1.0944496929364795,-1.0957553087122571,0
