date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,transaction
2017-01-30,-1.0363525498407666,-1.0376577406079537,-1.038622503750746,-1.0393191513301372,-1.0414438315943784,-1.0423212641949762,-1.0433481467970878,-1.044834177714223,-1.0461821453575846,-1.0460057473009492,-1.0479190081742225,-1.0490632096371075,-1.0497841718563696,-1.0502589576359365,-1.0517779533269214,-1.0528077465060899,-1.0539697233356018,-1.055396941663584,-1.0558408776085408,-1.058153335975107,-1.0594235030894685,-1.0607298095056716,-1.062079932364633,-1.0637594362586045,-1.0650672797593477,-1.0657182910447625,-1.0675867461582407,-1.0689244707478944,-1.06992015114981,-1.0711218062890007,1
2017-01-31,-1.0364985426890472,-1.0374655534526198,-1.0381507805589307,-1.0402656142823261,-1.0411512876244051,-1.0421903264286303,-1.0436897748173664,-1.0450037876630973,-1.044816896407807,-1.0467440096528984,-1.047888125155366,-1.04861776409763,-1.0490963611937463,-1.0506120489086692,-1.0516180832089805,-1.0527767887686443,-1.0542046012929842,-1.0545576803285028,-1.0567684163264435,-1.058073198967448,-1.0594053980026512,-1.0607712143692036,-1.0624864303870762,-1.0638293795831666,-1.0646085301288988,-1.0664313721365746,-1.0677761282720022,-1.0687687392144543,-1.0699746835240067,-1.0712958744145376,1
2017-02-01,-1.0363064468360463,-1.0369940542982004,-1.0390967906555602,-1.039973211093845,-1.0410204126904696,-1.042531791584003,-1.0438593045116398,-1.043639198528973,-1.045554799324165,-1.0467131415406217,-1.0474428949668524,-1.0479302845656033,-1.049449282769699,-1.0504522557779434,-1.0515871406055082,-1.0530115516109406,-1.0533657514451895,-1.0554847413109465,-1.056688322453867,-1.0580551035141053,-1.0594467810582333,-1.0611774995926104,-1.062556337690299,-1.0633708622332596,-1.0653212767298788,-1.0666206627536736,-1.0676204717401434,-1.0688232452511583,-1.0701486677654921,-1.0707087192448164,0
2017-02-02,-1.0358351716766843,-1.0379396151024436,-1.0388045273736746,-1.0398423991411034,-1.0413617139887719,-1.0427012404580978,-1.0424953610622572,-1.0443767448218046,-1.0455239462405541,-1.0462681262553004,-1.0467557477972969,-1.0482830362355944,-1.0492895664360562,-1.0504213280752224,-1.0518217886818406,-1.0521731128884533,-1.054292357892446,-1.0554046886912924,-1.0566702367407044,-1.0580964645503166,-1.0598528522911306,-1.0612473702998204,-1.0620980564802835,-1.064083247946392,-1.0655104785548661,-1.066465081424551,-1.067674951526294,-1.0689971454634999,-1.0695617955479448,-1.070893179497251,1
2017-02-03,-1.0367802832734485,-1.037647490626336,-1.038673778010726,-1.0401835361943315,-1.0415310815503356,-1.04133794724379,-1.043232558369174,-1.044345906649282,-1.0450791476184986,-1.0455813107571454,-1.047108328929241,-1.0481233967937007,-1.0492586535972868,-1.050655863154191,-1.0509837598377962,-1.0530992652003703,-1.0542123445223486,-1.055386612293306,-1.0567115755136471,-1.058502319718139,-1.059922686197425,-1.060789328996999,-1.0628100753094034,-1.0642723539720598,-1.0653549702055614,-1.0665195348897438,-1.0678487679868696,-1.068410556687542,-1.0697461669083246,-1.0708801893386288,0
2017-02-04,-1.0364882975768872,-1.037516803360709,-1.0390147518395925,-1.0403528222508205,-1.0401684425323015,-1.0420747931053838,-1.0432017347883968,-1.0439013229954148,-1.0443926665081584,-1.045933721705637,-1.0469487666651496,-1.0480924988372051,-1.049493075957956,-1.0498182378721603,-1.0519094593916791,-1.0530192910453022,-1.0541942769871653,-1.0554279297744178,-1.0571172122231478,-1.0585721164667454,-1.0594648861450504,-1.0615009750889532,-1.0629990839440426,-1.0641169243619217,-1.0654093981278179,-1.0666932673739309,-1.0672624617168682,-1.0685948390021127,-1.0697331830097063,-1.070833424767589,0
2017-02-05,-1.0363576723968466,-1.0378576152495012,-1.039183956897526,-1.0389908389781586,-1.0409049348075854,-1.0420439842191846,-1.0427573614988617,-1.0432151736567874,-1.0447449058793816,-1.0457742364588745,-1.0469178836462933,-1.0483268083406299,-1.0486558532412797,-1.050743491645234,-1.0518295243327087,-1.0530012323651254,-1.0542355742104415,-1.0558333575578265,-1.0571869714024886,-1.058114560003659,-1.060176157412864,-1.0616898847788176,-1.0628437343813255,-1.06417132472547,-1.065583049117875,-1.066107244367569,-1.0674466552795676,-1.068581861374326,-1.0696864409746805,-1.0709633263538105,0
2017-02-06,-1.036698322376168,-1.038026739946195,-1.0378226252950593,-1.039726976829861,-1.040874140705483,-1.041599822776482,-1.0420715368265732,-1.0435672427930869,-1.0445854982807259,-1.0457433683465978,-1.047152079872621,-1.0474899886855416,-1.04958066233447,-1.0506635950798713,-1.051811474480683,-1.0530425093483864,-1.0546408032138377,-1.0559030808072023,-1.0567296612268098,-1.058825452813539,-1.0603649676039564,-1.061534616540573,-1.0628981067282763,-1.0643448877901243,-1.0649973010021605,-1.066291348940364,-1.067433683901913,-1.0685351419142939,-1.0698162799608635,-1.0709425421000152,0
2017-02-07,-1.036867366726809,-1.0366660548864306,-1.038558410925771,-1.0396961975468628,-1.0404301924001722,-1.040914325058553,-1.0424234393737775,-1.0434079122350535,-1.0445546451971153,-1.0459774515313622,-1.046315664778593,-1.0484143525507008,-1.0495008041676483,-1.0506455539199504,-1.051852731285313,-1.0534475397466343,-1.054710492278116,-1.0554460061724042,-1.057440171386763,-1.0590141625412526,-1.0602097811455242,-1.0615889604239586,-1.063071580406644,-1.0637594362586045,-1.0651813192155044,-1.066278383829604,-1.0673869869423551,-1.0686649181921608,-1.0697955057230741,-1.0710542574641657,0
2017-02-08,-1.035507328087563,-1.0374014910675085,-1.0385276463697832,-1.0392524628836417,-1.0397450236283923,-1.0412660598426589,-1.0422641842064295,-1.043377074062531,-1.0447886144144969,-1.0451414401572037,-1.047239581759381,-1.0483345328297538,-1.0494827716783661,-1.050686790856912,-1.0522575636807439,-1.053517194655887,-1.0542536417456247,-1.0561561503790116,-1.0576287795383141,-1.0588590586554605,-1.0602640964059755,-1.0617623432899985,-1.0624864303870762,-1.0639433612972677,-1.0651683601863957,-1.066231709430867,-1.0675167007189041,-1.068644153987702,-1.0699071672511917,-1.0709737184807082,0
2017-02-09,-1.0362424148850462,-1.0373707411226551,-1.0380841240209568,-1.038567623836936,-1.0400965896273955,-1.0411068805972972,-1.0422333606256526,-1.0436109302041605,-1.0439530100667047,-1.0460649111828126,-1.0471598006273353,-1.048316509021798,-1.0495239887967256,-1.0510914283008468,-1.0523271845385567,-1.0530605680285632,-1.0549634377706818,-1.0563446613865837,-1.057473759139779,-1.0589133450154877,-1.0604373879512248,-1.0611774995926104,-1.0626702607029581,-1.0639304088297563,-1.0651217076816042,-1.0663613605384692,-1.0674959465146563,-1.0687557615866676,-1.069826667079758,-1.0711399925110718,0
2017-02-10,-1.036211679548566,-1.0369274294176847,-1.037399612650225,-1.0389190206511631,-1.0399374867665327,-1.0410760717110983,-1.0424671061132114,-1.0427757296983406,-1.0448760314847276,-1.0459851685594315,-1.0471417855330023,-1.0483577062971254,-1.0499284317706277,-1.0511610156319693,-1.0518707811373387,-1.0537700161783603,-1.0551518563518787,-1.0561897208324147,-1.0575280162792662,-1.0590865443546222,-1.0598528522911306,-1.0613612336745333,-1.062657314906065,-1.063883779946715,-1.0652512979726916,-1.066340616361253,-1.0676075003624885,-1.06867530029439,-1.0699928609820724,-1.0713608252076483,1
2017-02-11,-1.035768578447644,-1.0362432431446957,-1.0377508413310874,-1.0387599943556733,-1.0399066926644305,-1.0413097057647742,-1.0416323008005008,-1.0436983050263078,-1.0447963276853998,-1.0459671621606033,-1.0471829628914775,-1.0487619545612759,-1.0499979856578594,-1.0507048320168328,-1.0525798824669148,-1.053958342414488,-1.0549969917645936,-1.0562439500263738,-1.057701122390964,-1.058502319718139,-1.0600364896002752,-1.0613482946546795,-1.06261071003725,-1.0640133046218299,-1.0652305635261177,-1.0664521163137908,-1.0675270778210282,-1.0688414139300597,-1.0702135872585836,-1.0712465118117735,0
2017-02-12,-1.0350847172109612,-1.0365943050151059,-1.0375918911251496,-1.0387292150726755,-1.040140214605374,-1.0404752984302168,-1.0425544395920798,-1.0436186397472913,-1.0447783300532933,-1.0460083196436387,-1.047587015721516,-1.048831474963391,-1.0495420212860078,-1.0514135918708585,-1.0527681166380385,-1.0538035537272596,-1.0550511943701433,-1.056416966978529,-1.0571172122231478,-1.0586858593163262,-1.060023557395406,-1.0613017141832062,-1.0627401680061808,-1.0639925806738115,-1.0653420111764527,-1.0663717326270774,-1.0676931114550108,-1.0690620336024332,-1.0700993289507426,-1.071412785842137,0
2017-02-13,-1.0354356123024426,-1.0364354303000298,-1.0375611265691618,-1.0389626246354102,-1.0393062076734323,-1.041396997609005,-1.0424748120084057,-1.0436006508133195,-1.0448194674981077,-1.0464121774459247,-1.0476565025139428,-1.0483757301050813,-1.0502504405078108,-1.0516017353957452,-1.0526134036206765,-1.0538577297677896,-1.0552241264926119,-1.0558333575578265,-1.057300653028081,-1.0586729339925103,-1.0599770014578762,-1.0614311043817433,-1.0627194547311518,-1.0641039718944103,-1.0652616651959785,-1.0665376860448084,-1.0679136248751442,-1.0689478304779105,-1.0702655228530567,-1.0714595504131765,0
