date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,transaction
2017-02-09,-1.035317146769101,-1.036717788158885,-1.0377573082588563,-1.0384851890376876,-1.0406423368025055,-1.0415913879595682,-1.042687946671584,-1.0442473986168586,-1.0456411358057434,-1.0455053887713217,-1.0474158983055109,-1.0485631768070345,-1.0492964768225734,-1.0498006045138888,-1.0513364112749772,-1.052375034535797,-1.0535522673542521,-1.0549836556638672,-1.0553348346910902,-1.0574286599285958,-1.058556112645516,-1.059756215777976,-1.0610039742185915,-1.0626136912332211,-1.0638810056535124,-1.0646198557340756,-1.066528430935994,-1.0679415488612616,-1.0690155264522445,-1.0702977461174772,-1.071792469136146,-1.0726357433376474,-1.0742083653095447,-1.0755584075121973,-1.076858680292336,-1.0782981646262282,-1.0795506388088367,-1.0808038006559202,-1.0819128072248005,-1.0832594884116464,0
2017-02-10,-1.0354623562860834,-1.0365266270355153,-1.0372880933732531,-1.039426628312181,-1.0403513421664958,-1.041461140972581,-1.0430277793851754,-1.0444161210531295,-1.044283011030939,-1.0462398067575163,-1.047385176041835,-1.0481200488153455,-1.0486122415606653,-1.0501518635155245,-1.0511773696405946,-1.0523442371041563,-1.0537859304727275,-1.0541487324071706,-1.0562575567303547,-1.0573489432067185,-1.05853810313351,-1.0597974010139575,-1.0614083057881893,-1.0626832606231176,-1.0634247130632755,-1.065329136921177,-1.0667168065836223,-1.0677866412383064,-1.06906977163965,-1.0704709019522463,-1.0712080796588623,-1.0728194373900333,-1.0741954219820378,-1.0755117861156744,-1.0769882543751041,-1.0782774217220357,-1.0796621902961827,-1.0807233408530457,-1.0820790008130383,-1.0834803240452795,0
2017-02-11,-1.0352712911321589,-1.036057645079515,-1.0382290732253592,-1.0391357771542074,-1.0402211603556495,-1.0418008046837444,-1.043196418175379,-1.0430586723613129,-1.0450170634045148,-1.0462090993852713,-1.0469422634071712,-1.0474361460767272,-1.0489633285677118,-1.0499928995877768,-1.0511465873887789,-1.0525777842940989,-1.0529514193353153,-1.0550710014814908,-1.0561778787826743,-1.057330942656617,-1.058579267732381,-1.0602015311420243,-1.061477840516719,-1.0622271946226862,-1.0641336422288978,-1.0655174188362986,-1.0665619772842017,-1.0678408589063406,-1.0692428396185154,-1.0698868240618318,-1.0713916710433187,-1.0728065011891612,-1.074148826003012,-1.0756412899949046,-1.0769675225218611,-1.0783889148320709,-1.0795817694564682,-1.080889451413819,-1.0822997266724166,-1.083366009129046,0
2017-02-12,-1.0348025446211977,-1.036998157806494,-1.0379383640027573,-1.0390056595309036,-1.0405606540976609,-1.041969359608081,-1.041839642454197,-1.0437923593190368,-1.0449863713192085,-1.045766401435405,-1.046258693040378,-1.0477870624632093,-1.0488044424769316,-1.049962132375955,-1.05138001946505,-1.0517436871871606,-1.0538732331763339,-1.0549913626477752,-1.0561598869880369,-1.0573720867711345,-1.0589831953588025,-1.0602710312277428,-1.061022001740803,-1.0629357717420003,-1.0643218306983178,-1.0653626665772946,-1.066616167538999,-1.0680138390853073,-1.0686590580778654,-1.070070317558378,-1.0713787420725822,-1.072759930866021,-1.074278259278083,-1.0756205693742278,-1.077078956233042,-1.0783085360783244,-1.0797477995771692,-1.081110067002346,-1.082185468580503,-1.08353228537084,0
2017-02-13,-1.0357425851785058,-1.036707592898972,-1.0378083098768565,-1.0393449858818726,-1.0407291246764032,-1.0406132586259171,-1.0425729656782632,-1.043761682512442,-1.0445438937560425,-1.045083162402952,-1.0466094388840135,-1.0476282535875752,-1.0487736903303293,-1.050195450398939,-1.0505463334783671,-1.052665043683748,-1.0537936336524576,-1.0549733796853231,-1.0562010110900653,-1.0577758133948358,-1.059052660619397,-1.0598154195546994,-1.0617302258276782,-1.0631238667591274,-1.064167155244,-1.0654168298679458,-1.0667890602566852,-1.0674303537055096,-1.0688424584733793,-1.0700573954811565,-1.0713321977779313,-1.0728892928747433,-1.0742575499540719,-1.0757319427103658,-1.0769986203017257,-1.0784744793118652,-1.079968308331225,-1.0809958659918144,-1.0823516621687408,-1.0835790505638447,0
2017-02-14,-1.0354521661445406,-1.0365776033350806,-1.0381474706365588,-1.0395133733943835,-1.0393737022928844,-1.041346217160533,-1.0425423040800443,-1.043319425217368,-1.043860994857977,-1.0454337382360832,-1.0464507071883538,-1.0475975163858395,-1.049006894108732,-1.0493621717454238,-1.0514672358451953,-1.0525854836520092,-1.053775659566421,-1.055014483599499,-1.05660454134122,-1.057845244088084,-1.0585972772443872,-1.0605232907981283,-1.0619182271307395,-1.0629692681149134,-1.0642212916530112,-1.065589636557167,-1.0662058698955343,-1.0676136610593399,-1.0688295429525685,-1.0700108760031588,-1.071461487485295,-1.0728685949533479,-1.074368862570633,-1.075651650305243,-1.077164475127669,-1.0786948726689116,-1.0798541626232432,-1.0811619765525875,-1.0823984041154326,-1.0835089027743376,0
2017-02-15,-1.0353222418398722,-1.0369165957271895,-1.0383157759759598,-1.0381586193164543,-1.0401062940519614,-1.0413155708106536,-1.0421002660390568,-1.0426368662706353,-1.044211396165224,-1.0452750834794835,-1.0464199849246778,-1.0478306068323349,-1.0481740234715784,-1.0502826241657683,-1.051387715028004,-1.052567518483552,-1.0538167431916474,-1.0554178157573495,-1.0566739382633932,-1.0573900873212358,-1.0593047937874818,-1.0607111984372932,-1.0617637055117848,-1.0630233776403883,-1.0643940125769993,-1.0650067363815854,-1.0663890845665154,-1.0676007520907602,-1.0687830470776494,-1.0701400967753742,-1.0714408011321168,-1.072979846280849,-1.074288613940089,-1.0758174152706577,-1.0773847510683752,-1.0785807866958523,-1.080020192743944,-1.081208695147805,-1.0823282911953949,-1.0838492494567602,0
2017-02-16,-1.0356610640461648,-1.037084817515755,-1.0369616830180513,-1.0388908498632823,-1.0400756630376444,-1.0408737525998921,-1.0414180454786883,-1.042987093145925,-1.0440528203911414,-1.0452443761072385,-1.046652962090888,-1.0469981409519944,-1.049094025190773,-1.0502031422018947,-1.0513697587144446,-1.0526085817257396,-1.054219876264182,-1.0554871786125213,-1.056219002884703,-1.0580972517895026,-1.0594926072698305,-1.0605567538023633,-1.061817788078419,-1.063196012793094,-1.0638114016990696,-1.0651898598880734,-1.0663761821248972,-1.0675542798038737,-1.0689122022857578,-1.07011942145182,-1.0715519902804496,-1.0728996418354413,-1.07445428853218,-1.076037571865349,-1.0772707258755392,-1.0787467299293931,-1.080066888715391,-1.0811386172549788,-1.0826684686963188,-1.0841610174101242,0
2017-02-17,-1.0358292013816182,-1.0357313967622972,-1.0376935562363558,-1.0388602339519166,-1.0396340659145773,-1.0401918713150753,-1.0417680987250197,-1.0428285963118524,-1.044022128305835,-1.0454772403467636,-1.045820900782994,-1.0479176955705858,-1.049014582145383,-1.050185194661665,-1.051410801716866,-1.0530115147897068,-1.0542892048817516,-1.055032466561951,-1.0569258233883176,-1.058284971811988,-1.0593382400240643,-1.0606108094245887,-1.061990337219585,-1.0626136912332211,-1.063994434320012,-1.0651769638664899,-1.066329733335071,-1.0676833694896697,-1.0688915374524603,-1.0702305513159254,-1.071471830661884,-1.073065225206606,-1.0746743250998008,-1.0759236084516266,-1.0774365807014825,-1.0787934014638265,-1.0799968447582204,-1.0814786248090615,-1.0829800816742645,-1.0844000395077034,0
2017-02-18,-1.0344764600918337,-1.0364629066610587,-1.0376629552655556,-1.0384188545630622,-1.0389525258460282,-1.0405417504761985,-1.0416096804675559,-1.0427979195052577,-1.044254876619408,-1.0446455823484597,-1.046740008504637,-1.0478382911327688,-1.0489966433931979,-1.050226217610761,-1.0518135361781251,-1.0530808090108987,-1.053834717277684,-1.0557389400868482,-1.0571134521038226,-1.058130681382548,-1.0593922685600825,-1.0607832726002606,-1.0614083057881893,-1.0627966329622078,-1.063981544698819,-1.0651305381887886,-1.0664587577512548,-1.0676627151399423,-1.0690026109314337,-1.0701504344371515,-1.0716373214873096,-1.0732851406214339,-1.0745604238177382,-1.0760893734170411,-1.077483227371279,-1.0787233941621766,-1.0803366876615301,-1.0817900821105115,-1.0832189849573564,-1.0853509317654637,1
