Date	Open	High	Low	Close	Volume	Market Cap
Aug 11, 2019 	206.73 	216.60 	206.51 	216.09 	6,440,605,605 	23,183,002,869
Aug 10, 2019 	210.53 	213.73 	203.79 	206.73 	6,584,748,527 	22,176,113,561
Aug 09, 2019 	220.91 	221.36 	208.25 	210.49 	6,964,818,795 	22,576,055,651
Aug 08, 2019 	226.52 	226.77 	216.52 	220.94 	6,713,525,644 	23,694,202,562
Aug 07, 2019 	225.93 	229.66 	222.78 	226.39 	7,020,342,210 	24,275,514,217
Aug 06, 2019 	234.25 	239.12 	223.55 	226.02 	7,647,742,672 	24,232,708,406
Aug 05, 2019 	222.65 	235.64 	222.60 	234.22 	7,765,060,287 	25,108,076,876
Aug 04, 2019 	222.58 	224.23 	218.49 	222.67 	5,238,542,572 	23,867,371,249
Aug 03, 2019 	217.90 	224.62 	217.33 	222.49 	5,697,798,687 	23,845,116,864
Aug 02, 2019 	217.88 	222.18 	215.98 	217.87 	6,159,440,229 	23,347,127,327
Aug 01, 2019 	218.55 	218.81 	212.91 	217.81 	5,965,442,642 	23,337,361,749
Jul 31, 2019 	210.49 	218.65 	210.44 	218.65 	6,003,828,340 	23,425,015,630
Jul 30, 2019 	211.34 	213.61 	206.87 	210.52 	5,489,918,859 	22,551,013,736
Jul 29, 2019 	211.12 	213.93 	208.76 	211.27 	5,485,190,664 	22,627,969,069
Jul 28, 2019 	207.41 	212.04 	202.25 	211.19 	5,504,887,934 	22,616,386,468
Jul 27, 2019 	219.62 	223.52 	204.90 	207.41 	6,257,703,908 	22,208,955,063
Jul 26, 2019 	219.63 	220.24 	214.13 	219.63 	5,729,852,178 	23,514,586,698
Jul 25, 2019 	216.97 	224.25 	216.14 	219.62 	6,731,281,160 	23,510,336,985
Jul 24, 2019 	212.55 	217.54 	203.89 	217.05 	7,168,982,843 	23,232,101,233
Jul 23, 2019 	217.57 	218.52 	209.64 	212.73 	6,976,091,534 	22,767,023,810
Jul 22, 2019 	225.70 	226.86 	213.45 	217.56 	6,338,843,919 	23,281,138,563
Jul 21, 2019 	229.17 	229.86 	219.03 	225.63 	6,685,082,868 	24,141,704,293
Jul 20, 2019 	221.41 	234.20 	221.19 	229.12 	7,976,245,988 	24,511,869,214
Jul 19, 2019 	226.66 	226.94 	215.84 	221.33 	7,606,433,131 	23,675,884,534
Jul 18, 2019 	211.44 	229.24 	208.04 	226.57 	9,327,816,059 	24,232,572,603
Jul 17, 2019 	199.07 	217.98 	193.99 	211.48 	9,387,747,640 	22,616,651,114
Jul 16, 2019 	229.75 	234.51 	197.38 	199.19 	9,036,620,494 	21,298,941,499
Jul 15, 2019 	227.97 	235.03 	210.39 	229.78 	9,723,674,244 	24,566,488,597
Jul 14, 2019 	269.28 	269.64 	227.27 	227.58 	8,578,339,386 	24,328,422,207
Jul 13, 2019 	276.29 	276.69 	263.07 	269.46 	6,716,829,429 	28,801,816,023
