Date	Open	High	Low	Close	Volume	Market Cap
Aug 11, 2019 	85.45 	91.03 	85.45 	89.75 	3,025,787,942 	5,655,924,170
Aug 10, 2019 	84.39 	87.11 	83.14 	85.42 	3,088,060,147 	5,382,272,086
Aug 09, 2019 	90.09 	90.36 	83.49 	84.44 	3,003,278,177 	5,319,984,195
Aug 08, 2019 	90.91 	91.72 	88.50 	90.03 	3,034,717,882 	5,671,748,769
Aug 07, 2019 	93.04 	93.74 	88.54 	90.91 	3,105,989,436 	5,726,708,990
Aug 06, 2019 	96.89 	98.98 	91.66 	93.07 	3,245,339,849 	5,861,986,121
Aug 05, 2019 	93.09 	105.59 	93.09 	96.83 	4,134,352,823 	6,098,470,159
Aug 04, 2019 	94.60 	95.39 	91.45 	93.20 	2,427,608,117 	5,868,857,449
Aug 03, 2019 	95.02 	96.84 	94.16 	94.58 	2,512,959,054 	5,954,227,577
Aug 02, 2019 	99.20 	99.20 	93.54 	94.94 	2,882,784,454 	5,975,497,672
Aug 01, 2019 	98.57 	100.26 	95.98 	99.18 	2,953,184,689 	6,240,801,535
Jul 31, 2019 	90.47 	99.48 	90.33 	98.51 	3,051,471,469 	6,197,337,878
Jul 30, 2019 	90.47 	92.19 	89.02 	90.57 	2,302,521,844 	5,696,275,523
Jul 29, 2019 	89.77 	91.39 	88.57 	90.43 	2,457,824,867 	5,686,062,706
Jul 28, 2019 	88.89 	90.41 	85.35 	89.77 	2,460,180,908 	5,643,415,873
Jul 27, 2019 	94.32 	95.65 	87.70 	88.89 	2,626,517,608 	5,586,678,799
Jul 26, 2019 	93.41 	94.55 	90.75 	94.31 	2,260,844,511 	5,925,662,076
Jul 25, 2019 	94.36 	95.85 	92.47 	93.45 	2,690,273,677 	5,870,441,888
Jul 24, 2019 	90.46 	96.42 	88.15 	94.31 	3,247,150,970 	5,923,434,071
Jul 23, 2019 	95.41 	95.48 	89.44 	90.62 	2,700,924,026 	5,690,513,769
Jul 22, 2019 	99.56 	100.25 	92.30 	95.42 	2,693,989,249 	5,990,269,582
