Date	Open	High	Low	Close	Volume	Market Cap
Aug 21, 2019 	0.275765 	0.275765 	0.260688 	0.266261 	1,164,536,124 	11,420,125,836
Aug 20, 2019 	0.283159 	0.283241 	0.273442 	0.275806 	1,056,822,925 	11,829,516,782
Aug 19, 2019 	0.282290 	0.289091 	0.278425 	0.283328 	1,241,578,947 	12,152,144,825
Aug 18, 2019 	0.265714 	0.288718 	0.263579 	0.282646 	1,216,547,019 	12,122,901,988
Aug 17, 2019 	0.261885 	0.268046 	0.259252 	0.265721 	1,004,931,822 	11,396,948,393
Aug 16, 2019 	0.265075 	0.265452 	0.256977 	0.261971 	1,133,224,404 	11,236,137,963
Aug 15, 2019 	0.263707 	0.268241 	0.256112 	0.264882 	1,342,788,578 	11,360,984,400
Aug 14, 2019 	0.296719 	0.297220 	0.252390 	0.263343 	1,794,754,610 	11,294,964,982
Aug 13, 2019 	0.300661 	0.301178 	0.293562 	0.296639 	853,175,560 	12,723,035,973
Aug 12, 2019 	0.302169 	0.303528 	0.298506 	0.300322 	762,308,356 	12,881,006,909
Aug 11, 2019 	0.298566 	0.306181 	0.296911 	0.301915 	838,671,654 	12,943,909,474
Aug 10, 2019 	0.297245 	0.304747 	0.293443 	0.298721 	1,077,459,339 	12,806,941,381
Aug 09, 2019 	0.307567 	0.308218 	0.293271 	0.297343 	1,021,136,188 	12,747,895,720
Aug 08, 2019 	0.311785 	0.312618 	0.305112 	0.307661 	907,305,889 	13,190,251,227
Aug 07, 2019 	0.311492 	0.315573 	0.308720 	0.311969 	967,534,123 	13,374,954,845
Aug 06, 2019 	0.324018 	0.324946 	0.308895 	0.311326 	1,069,603,911 	13,347,360,882
Aug 05, 2019 	0.319723 	0.331414 	0.319410 	0.323564 	1,203,381,139 	13,872,050,658
Aug 04, 2019 	0.316862 	0.322925 	0.312325 	0.319842 	926,896,287 	13,712,472,285
Aug 03, 2019 	0.312506 	0.319651 	0.311696 	0.316757 	789,419,360 	13,580,218,029
Aug 02, 2019 	0.317809 	0.318876 	0.310844 	0.312394 	816,728,848 	13,393,149,204
Aug 01, 2019 	0.320734 	0.320851 	0.313134 	0.317906 	882,867,288 	13,629,460,730
Jul 31, 2019 	0.317887 	0.322465 	0.317244 	0.320909 	996,700,948 	13,758,215,467
