Date	Open	High	Low	Close	Volume	Market Cap
Jul 28, 2019 	0.997934 	1.01 	0.984961 	1.00 	14,944,677,257 	4,036,568,223
Jul 27, 2019 	1.00 	1.02 	0.994444 	0.998904 	18,615,240,948 	4,023,148,586
Jul 26, 2019 	1.00 	1.01 	0.996531 	1.00 	15,599,639,006 	4,040,171,251
Jul 25, 2019 	1.00 	1.01 	0.992710 	1.00 	17,296,727,538 	4,037,152,968
Jul 24, 2019 	0.999094 	1.01 	0.994108 	1.00 	19,783,566,756 	4,036,055,230
Jul 23, 2019 	1.00 	1.00 	0.992193 	0.997631 	19,014,521,713 	4,014,962,125
Jul 22, 2019 	1.00 	1.01 	0.991956 	1.00 	17,683,364,720 	4,028,586,251
Jul 21, 2019 	1.01 	1.01 	0.995798 	1.00 	18,408,364,222 	4,030,144,850
Jul 20, 2019 	1.00 	1.01 	0.998099 	1.01 	21,153,364,428 	4,047,279,803
Jul 19, 2019 	1.01 	1.02 	0.995676 	1.00 	21,977,173,846 	4,030,698,285
Jul 18, 2019 	1.01 	1.01 	0.990635 	1.01 	26,607,023,339 	4,007,527,468
Jul 17, 2019 	0.996799 	1.01 	0.989308 	1.01 	27,923,279,924 	3,995,324,969
Jul 16, 2019 	1.01 	1.01 	0.989860 	0.995924 	26,416,562,733 	3,936,469,134
Jul 15, 2019 	1.00 	1.01 	0.991671 	1.01 	27,881,783,429 	3,969,197,087
Jul 14, 2019 	0.998877 	1.01 	0.995528 	0.999995 	23,891,996,870 	3,916,691,732
Jul 13, 2019 	1.01 	1.01 	0.993898 	0.998694 	21,428,894,196 	3,906,601,065
Jul 12, 2019 	0.996719 	1.01 	0.994522 	1.01 	23,688,826,133 	3,912,950,351
Jul 11, 2019 	1.00 	1.01 	0.994273 	0.996514 	30,184,888,505 	3,853,202,592
Jul 10, 2019 	1.00 	1.01 	0.995900 	0.999782 	33,907,842,504 	3,844,539,299
Jul 09, 2019 	1.00 	1.02 	1.00 	1.00 	26,933,807,933 	3,847,191,980
Jul 08, 2019 	1.00 	1.01 	0.995300 	1.00 	22,820,954,670 	3,778,152,236
Jul 07, 2019 	0.997018 	1.01 	0.994346 	1.00 	19,840,392,097 	3,710,332,355
Jul 06, 2019 	1.00 	1.01 	0.994577 	0.997410 	20,814,642,709 	3,688,689,726
Jul 05, 2019 	1.00 	1.01 	0.995091 	1.00 	22,749,205,293 	3,694,148,236
Jul 04, 2019 	1.00 	1.01 	0.997044 	0.999929 	24,764,753,311 	3,663,725,121
Jul 03, 2019 	1.00 	1.01 	0.993842 	1.01 	27,680,469,385 	3,651,596,466
