Row Labels,Max of mlp_eval,Max of svc_eval
BTC,0.684343434,0.778054863
BiffPredictor,0.684343434,0.778054863
1,0.588429752,0.603418803
2,0.629310345,0.665178571
3,0.646464646,0.732297064
4,0.684343434,0.778054863
BiffPredictorSmart,0.666666667,0.726600985
1,0.594527363,0.594527363
2,0.595041322,0.628992629
3,0.633851468,0.691588785
4,0.666666667,0.726600985
ETH,0.658354115,0.784037559
BiffPredictor,0.658354115,0.784037559
1,0.553488372,0.565217391
2,0.589519651,0.649874055
3,0.646464646,0.732323232
4,0.658354115,0.784037559
BiffPredictorSmart,0.658354115,0.702020202
1,0.560869565,0.572727273
2,0.564853556,0.623931624
3,0.611353712,0.702020202
4,0.658354115,0.699530516
LTC,0.651376147,0.752336449
BiffPredictor,0.651376147,0.752336449
1,0.582608696,0.565957447
2,0.566210046,0.631840796
3,0.629464286,0.752336449
4,0.651376147,0.736842105
BiffPredictorSmart,0.631313131,0.748878924
1,0.55,0.5375
2,0.58411215,0.630841121
3,0.583333333,0.663551402
4,0.631313131,0.748878924
XRP,0.676767677,0.72979798
BiffPredictor,0.676767677,0.72979798
1,0.590697674,0.617021277
2,0.621495327,0.665178571
3,0.631313131,0.687392055
4,0.676767677,0.72979798
BiffPredictorSmart,0.646464646,0.70074813
1,0.595454545,0.629166667
2,0.594458438,0.614609572
3,0.608585859,0.696581197
4,0.646464646,0.70074813
Grand Total,0.684343434,0.784037559
