crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,neurons,LSTM_acc,LSTM_loss
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,40,0.533195020746888,0.4668060667287265
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,20,0.5335570471798814,0.4597922163521683
LTC,2019-09-30,True,True,BiffPredictor,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,20,0.4932885918041204,0.498684395429672
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,40,0.4605809128630705,0.539419122751323
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,40,0.5183946484307381,0.4816063159086234
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,20,0.5072765072765073,0.49511390218120105
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,40,0.5016722416000622,0.49832745160546194
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,20,0.446985446985447,0.5530162489587701
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,20,0.550335571269861,0.4496644297302169
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,40,0.46473029045643155,0.5209910912879769
LTC,2019-09-30,True,True,BiffPredictorSmart,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,20,0.5100671152940532,0.48993285395355035
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,40,0.4605809128630705,0.5394380250907043
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,20,0.5322245322245323,0.4674675320885038
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,40,0.5183946484307381,0.4816053515692618
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,20,0.4656964656964657,0.5338844174902553
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,40,0.5016722416000622,0.49832763958934156
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,20,0.593959731143593,0.40693506018427394
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,20,0.49664429650210695,0.503355659944499
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,40,0.5062240663900415,0.49377593360995853
